"ReplaceID","DBH"
"FP2C_2_5001_2008",12.6
"FP3A_12_2107_2008",27.75
"FP3A_14_2119_2008",20.25
"FP3A_36_1993_2004",26.5
"FP3A_37_1978_2004",21.55
"FP3C_12_3713_1997",13.2
"FP3C_2_3508_2018",12.5
"FP4A_21_5628_2000",32.45
"FP4A_31_5683_1997",37.6
"FP4A_33_5692_1997",9.35
"FP4A_9_2862_1997",39.6
"FP5B_8_4978_2014",19.05
"FP5B_8_4979_2014",13.35
"FP5C_4_5403_1997",10.35
"FP5C_9_5512_1997",6.2
"FP5C_9_5521_2004",11.9
"FP5C_9_5528_2004",7.3
"UP1A_13_1275_2018",6.2
"UP1A_6_426_1994",4.2
"UP1A_8_61_2018",6.4
"UP1C_13_5792_2018",13.3
"UP1C_14_5789_2018",5.5
"UP1C_2_845_1995",3.6
"UP1C_4_885_2004",6.05
"UP1C_7_911_2004",5.7
"UP2A_14_4767_2018",18.95
"UP2A_22_728_1997",3.525
"UP2A_3_1026_1993",12.75
"UP2C_11_2230_1993",13.05
"UP3A_32_4100_1997",29.55
"UP3C_1_1440_2018",44.15
"UP3C_23_2894_2004",41.1
"UP4D_2_67_2008",10.1
