SITE,PLOT,UniqueID,Missing_Years
BDI1,BDI_1,BDI11_863,2014
BDI2,BDI_1,BDI21_864,2014
BDI2,BDI_1,BDI21_865,2014
BDI2,BDI_11,BDI211_502,2014
BDI2,BDI_12,BDI212_503,2014
BDI2,BDI_12,BDI212_877,2014
BDI2,BDI_12,BDI212_878,2014
BDI2,BDI_12,BDI212_879,2014
BDI2,BDI_12,BDI212_880,2014
BDI2,BDI_12,BDI212_881,2014
BDI2,BDI_2,BDI22_866,2014
BDI2,BDI_2,BDI22_867,2014
BDI2,BDI_3,BDI23_868,2014
BDI2,BDI_3,BDI23_869,2014
BDI2,BDI_3,BDI23_870,2014
BDI2,BDI_4,BDI24_871,2014
BDI2,BDI_4,BDI24_872,2014
BDI2,BDI_4,BDI24_873,2014
BDI2,BDI_4,BDI24_874,2014
BDI2,BDI_4,BDI24_875,2014
BDI2,BDI_7,BDI27_876,2014
BDI2,BDI_8,BDI28_504,2014
BDI2,BDI_9,BDI29_501,2014
BDI3,BDI_1,BDI31_506,2014
BDI3,BDI_1,BDI31_507,2014
BDI3,BDI_1,BDI31_508,2014
BDI3,BDI_1,BDI31_509,2014
BDI3,BDI_1,BDI31_513,2014
BDI3,BDI_1,BDI31_882,2014
BDI3,BDI_1,BDI31_883,2014
BDI3,BDI_1,BDI31_884,2014
BDI3,BDI_1,BDI31_887,2014
BDI3,BDI_11,BDI311_518,2014
BDI3,BDI_11,BDI311_519,2014
BDI3,BDI_11,BDI311_520,2014
BDI3,BDI_11,BDI311_521,2014
BDI3,BDI_11,BDI311_522,2014
BDI3,BDI_11,BDI311_523,2014
BDI3,BDI_11,BDI311_524,2014
BDI3,BDI_11,BDI311_525,2014
BDI3,BDI_11,BDI311_526,2014
BDI3,BDI_11,BDI311_527,2014
BDI3,BDI_11,BDI311_528,2014
BDI3,BDI_12,BDI312_529,2014
BDI3,BDI_12,BDI312_530,2014
BDI3,BDI_12,BDI312_531,2014
BDI3,BDI_12,BDI312_532,2014
BDI3,BDI_12,BDI312_533,2014
BDI3,BDI_12,BDI312_534,2014
BDI3,BDI_12,BDI312_535,2014
BDI3,BDI_12,BDI312_536,2014
BDI3,BDI_12,BDI312_537,2014
BDI3,BDI_13,BDI313_538,2014
BDI3,BDI_13,BDI313_539,2014
BDI3,BDI_13,BDI313_925,2014
BDI3,BDI_13,BDI313_926,2014
BDI3,BDI_14,BDI314_540,2014
BDI3,BDI_14,BDI314_927,2014
BDI3,BDI_14,BDI314_928,2014
BDI3,BDI_14,BDI314_929,2014
BDI3,BDI_2,BDI32_510,2014
BDI3,BDI_2,BDI32_888,2014
BDI3,BDI_2,BDI32_889,2014
BDI3,BDI_2,BDI32_890,2014
BDI3,BDI_2,BDI32_891,2014
BDI3,BDI_2,BDI32_892,2014
BDI3,BDI_2,BDI32_893,2014
BDI3,BDI_2,BDI32_894,2014
BDI3,BDI_2,BDI32_895,2014
BDI3,BDI_2,BDI32_896,2014
BDI3,BDI_2,BDI32_897,2014
BDI3,BDI_2,BDI32_898,2014
BDI3,BDI_3,BDI33_511,2014
BDI3,BDI_3,BDI33_512,2014
BDI3,BDI_3,BDI33_901,2014
BDI3,BDI_3,BDI33_902,2014
BDI3,BDI_3,BDI33_903,2014
BDI3,BDI_3,BDI33_904,2014
BDI3,BDI_3,BDI33_905,2014
BDI3,BDI_3,BDI33_906,2014
BDI3,BDI_3,BDI33_907,2014
BDI3,BDI_3,BDI33_908,2014
BDI3,BDI_3,BDI33_909,2014
BDI3,BDI_4,BDI34_514,2014
BDI3,BDI_4,BDI34_515,2014
BDI3,BDI_4,BDI34_910,2014
BDI3,BDI_4,BDI34_911,2014
BDI3,BDI_4,BDI34_912,2014
BDI3,BDI_4,BDI34_913,2014
BDI3,BDI_6,BDI36_516,2014
BDI3,BDI_6,BDI36_914,2014
BDI3,BDI_6,BDI36_915,2014
BDI3,BDI_7,BDI37_916,2014
BDI3,BDI_7,BDI37_917,2014
BDI3,BDI_7,BDI37_918,2014
BDI3,BDI_8,BDI38_919,2014
BDI3,BDI_8,BDI38_920,2014
BDI3,BDI_9,BDI39_517,2014
BDI3,BDI_9,BDI39_921,2014
BDI3,BDI_9,BDI39_922,2014
BDI3,BDI_9,BDI39_923,2014
BDI3,BDI_9,BDI39_924,2014
BDI4,BDI_1,BDI41_541,2014
BDI4,BDI_1,BDI41_542,2014
BDI4,BDI_1,BDI41_930,2014
BDI4,BDI_1,BDI41_931,2014
BDI4,BDI_1,BDI41_932,2014
BDI4,BDI_11,BDI411_964,2014
BDI4,BDI_11,BDI411_965,2014
BDI4,BDI_11,BDI411_966,2014
BDI4,BDI_11,BDI411_967,2014
BDI4,BDI_12,BDI412_968,2014
BDI4,BDI_13,BDI413_549,2014
BDI4,BDI_14,BDI414_550,2014
BDI4,BDI_14,BDI414_923,2018
BDI4,BDI_2,BDI42_933,2014
BDI4,BDI_2,BDI42_934,2014
BDI4,BDI_3,BDI43_935,2014
BDI4,BDI_3,BDI43_936,2014
BDI4,BDI_3,BDI43_937,2014
BDI4,BDI_3,BDI43_938,2014
BDI4,BDI_4,BDI44_543,2014
BDI4,BDI_4,BDI44_939,2014
BDI4,BDI_4,BDI44_940,2014
BDI4,BDI_4,BDI44_941,2014
BDI4,BDI_6,BDI46_487,2018
BDI4,BDI_6,BDI46_488,2018
BDI4,BDI_6,BDI46_489,2018
BDI4,BDI_6,BDI46_490,2018
BDI4,BDI_6,BDI46_491,2018
BDI4,BDI_6,BDI46_492,2018
BDI4,BDI_6,BDI46_493,2018
BDI4,BDI_6,BDI46_494,2018
BDI4,BDI_6,BDI46_495,2018
BDI4,BDI_6,BDI46_496,2018
BDI4,BDI_6,BDI46_497,2018
BDI4,BDI_6,BDI46_498,2018
BDI4,BDI_6,BDI46_499,2018
BDI4,BDI_6,BDI46_500,2018
BDI4,BDI_6,BDI46_544,2014
BDI4,BDI_6,BDI46_545,2014
BDI4,BDI_6,BDI46_546,2014
BDI4,BDI_6,BDI46_547,2014
BDI4,BDI_6,BDI46_942,2014
BDI4,BDI_6,BDI46_943,2014
BDI4,BDI_6,BDI46_944,2014
BDI4,BDI_6,BDI46_945,2014
BDI4,BDI_7,BDI47_946,2014
BDI4,BDI_7,BDI47_947,2014
BDI4,BDI_7,BDI47_948,2014
BDI4,BDI_8,BDI48_548,2014
BDI4,BDI_8,BDI48_949,2014
BDI4,BDI_8,BDI48_950,2014
BDI4,BDI_8,BDI48_951,2014
BDI4,BDI_8,BDI48_952,2014
BDI4,BDI_8,BDI48_953,2014
BDI4,BDI_8,BDI48_954,2014
BDI4,BDI_8,BDI48_955,2014
BDI4,BDI_8,BDI48_956,2014
BDI4,BDI_9,BDI49_957,2014
BDI4,BDI_9,BDI49_958,2014
