Site,Description,Type,Year Added
BCEFM2,This is a lowland black spruce site.,Mature,2013
BDI1,In 1969 this site burned in the Big Denver fire. It is now a birch stand.,Intermediate,2011
BDI2,In 1969 this site burned in the Big Denver fire. It is now a birch stand with a thick black spruce understory.,Intermediate,2011
BDI3,In 1969 this site burned in the Big Denver fire. It is now a mixed stand comprised of aspen and black spruce.,Intermediate,2011
BDI4,In 1969 this site burned in the Big Denver fire. It is now an aspen stand.,Intermediate,2011
BDI5,"In 2015 this site burned in the Baker fire. Prior to the fire, it was a mixed stand dominated by aspen with some black spruce.",Intermediate/Young,2011/2015
BDI6,In 2015 this site burned in the Baker fire. Prior to the fire it was an open black spruce stand.,Intermediate/Young,2011/2015
BDI7,In 1969 this site burned in the Big Denver fire. It is now a birch stand.,Intermediate,2011
BDI8,In 1969 this site burned in the Big Denver fire. It is now a mixed stand with birch and black spruce.,Intermediate,2011
BDM1,"This is a mesic, black spruce site.",Mature,2013
BFY1,In 2004 this site burned in the Boundary fire.,Young,2014
BFY10,No metadata,Un-Identifed,No metadata
BFY11,"In 2004 this site burned in the Boundary fire. In its last inventory (2014), the site was dominated by sapling birch.",Young,2014
BFY12,"In 2004 this site burned in the Boundary fire. In its last inventory (2014), the site was dominated by sapling birch.",Young,2014
BFY13,"In 2004 this site burned in the Boundary fire. In its last inventory (2014), the site was dominated by sapling birch.",Young,2014
BFY4,"In 2004 this site burned in the Boundary fire. In its last inventory (2014), the site was dominated by sapling birch.",Young,2014
BFY6,"In 2004 this site burned in the Boundary fire. In its last inventory (2014), the site was dominated by sapling birch.",Young,2014
BFY7,In 2004 this site burned in the Boundary fire.,Young,2014
BFY9,In 2004 this site burned in the Boundary fire. It is currently a black spruce stand. Many relic trees exist.,Young,2014
DCM1,"This is a mixed stand, composed mainly of black spruce with some white spruce.",Mature,2013
DCY12,In 2004 this site burned in the Dall City fire.,Young,2014
DCY13,No metadata,Un-Identifed,No metadata
DCY15,In 2004 this site burned in the Dall City fire.,Young,2014
DCY16,In 2004 this site burned in the Dall City fire.,Young,2014
DCY17,In 2004 this site burned in the Dall City fire.,Young,2014
DCY2,In 2004 this site burned in the Dall City fire.,Young,2014
DCY3,In 2004 this site burned in the Dall City fire.,Young,2014
DCY4,No metadata,Un-Identifed,No metadata
DCY5,In 2004 this site burned in the Dall City fire.,Young,2014
DCY6,No metadata,Un-Identifed,No metadata
DCY8,No metadata,Un-Identifed,No metadata
DCY9,No metadata,Un-Identifed,No metadata
DDM1,"This is a mesic-subhygric, black spruce site.",Mature,2013
DDM2,"This is a xeric, black spruce site.",Mature,2013
FP0A,No metadata,Un-Identifed,No metadata
FP0B,No metadata,Un-Identifed,No metadata
FP0C,No metadata,Un-Identifed,No metadata
FP0C ,No metadata,Un-Identifed,No metadata
FP1A,"FP1A is located on a low early successional terrace (1.8 - 2 m above winter low river level) adjacent to the Tanana River. Vegetation establishment occurred in 1982 to 1983. Significant bank erosion has occurred since the establishment of the study area, resulting in loss of some study plots.",Un-Identifed,1985
FP1B,FP1B is located on a low early successional terrace adjacent to the Tanana River.,Un-Identifed,1987
FP1C, FP1C is located on a low early successional terrace adjacent to the Tanana River.,Un-Identifed,1987
FP2A,FP2A is located adjacent to the LTER-2 weather station on a terrace that formed ca 1965.,Un-Identifed,1987
FP2B,Tall Balsam Poplar w/ Alder Understory Stand,Un-Identifed,1987
FP2C,Tall Balsam Poplar w/ Alder Understory Stand,Un-Identifed,1987
FP3A,Mixed Balsam Poplar and White Spruce (Open Populus balsamifera-Picea glauca community),Un-Identifed,1987
FP3B,Mixed Balsam Poplar and White Spruce (Open Populus balsamifera-Picea glauca community),Un-Identifed,1987
FP3C,Mixed Balsam Poplar and White Spruce (Open Populus balsamifera-Picea glauca community),Un-Identifed,1987
FP4A,Mature white spruce,Un-Identifed,1987
FP4B,Mature white spruce,Un-Identifed,1987
FP4C,Mature white spruce,Un-Identifed,1987
FP5A,"This is a subxeric-mesic, black spruce site on the Tanana River floodplain.",Mature,1987/2015
FP5B,Woodland white spruce/Labrador tea-lingonberry/feathermoss community. Black spruce seedlings and saplings have invaded the site.,Un-Identifed,1989
FP5C,FP5C is located on an older terrace of the Tanana River on the south side of the river opposite Sam Charley Island. The climate station and neighboring research plots were burned in August of 2010 by the Willow Creek Wildfire.,Young,1992/2003
FP5D,"This is a mesic, black spruce site on the Tanana River floodplain.",Mature,1987/2013
GRI1,In 1947 this site burned in the Gerstle River fire. It is now an open black spruce stand with some birch. Permafrost is currently present at this site.,Intermediate,2011
GRI2,In 1947 this site burned in the Gerstle River fire. It is now dominated by aspen with an understory of black spruce.,Intermediate,2011
