Site,Date collected,Tree #,Tree Species,DBH(cm),DCH(cm),ARC(cm),Core inner year,dist to pith(mm),# of rings to pith,# of rings to core ht,Est. inner date of est.,Condition of inner core,Condition of outer core
TKN0001,6/15/00,1,Picmar,15,17.9,20.5,1921,7.5,5,6.8495,1909,knotted,-0.999
TKN0001,6/15/00,2,Picmar,12,14.4,47,1927,0,0,13.395,1914,pristine,-0.999
TKN0001,6/15/00,3,Picmar,11.8,14.6,18,1928,5,3,6.232,1919,"squishy, moist",-0.999
TKN0001,6/15/00,4,Picmar,9.7,12.9,23,1924,0,0,7.467,1917,clean,-0.999
TKN0001,6/15/00,5,Picmar,10.2,13,22,1916,0,2,7.22,1907,clean,-0.999
TKN0002,6/16/00,1,Picmar,8.8,10.6,31,1908,5,3,9.443,1896,scarred,-0.999
TKN0002,6/16/00,2,Picmar,7,8.7,25,1905,2.5,3,7.961,1894,"solid, scarred",-0.999
TKN0002,6/16/00,3,Picmar,6.9,8.9,22,1904,0,2,7.22,1895,woody,-0.999
TKN0002,6/16/00,4,Picmar,8.3,10.3,23,1923,10,10,7.467,1906,knobby,-0.999
TKN0002,6/16/00,5,Picmar,7.5,9.2,29,1927,3,4,8.949,1914,fine,-0.999
TKN0002,6/16/00,6,Picmar,8.1,9.2,29,1905,0,0,8.949,1896,beautiful,-0.999
TKN0003,6/22/00,1,Picmar,10.4,11.9,21,1917,2,4,6.973,1906,"scar, mushy",-0.999
TKN0003,6/22/00,3,Picmar,12.8,15.8,29,1911,0,0,8.949,1902,healthy,-0.999
TKN0003,6/22/00,4,Picmar,7.7,10.4,31,1910,0,0,9.443,1901,small scars,-0.999
TKN0003,6/22/00,5,Picmar,9.1,11.3,28,1908,0,0,8.702,1899,good,-0.999
TKN0004,6/20/00,1,Picmar,12.8,16.3,23,1914,9,6,7.467,1901,no scars,-0.999
TKN0004,6/20/00,2,Picmar,9.9,12.1,33,1908,0,0,9.937,1898,bruises,-0.999
TKN0004,6/20/00,3,Picmar,8.7,11.1,22,1927,0,0,7.22,1920,nothing,burn signs on bark
TKN0004,6/20/00,4,Picmar,10.7,12.1,33,1931,7,5,9.937,1916,nothing,-0.999
TKN0004,6/20/00,5,Picmar,10.4,12,25,1924,4,3,7.961,1913,fine,exterior burn signs
