burn,site,type,moist.class,sev.class,moist.2008,TDR.2006,TDR.2008,TDR.2011,elev,Lat(N),Lon(W),slope.deg,aspect,pH,%sand,%silt,%clay,text.class,slope.pos,Burn.date,Burn.date.julian,NBR,soil.sev,soil.sev.rank,mortality (%),tree.sev.rank,%Can.cons,%Standing_BA,%Standing_Num,last.fire,oldest.tree,recruit.type,CBI.total,CBI.Under,CBI.Over,CBI.substrate,Resid.org,PreFireOrg,%OrgLoss,%org<3cm,org.cov,moss.cov,dmoss.cov,post.SON,post.SOC,BS.dens,BS.ba,TA.dens,TA.ba,PB.dens,PB.ba,BS.ntree,BS.nstand,PB.ntree,PB.nstand,TA.ntree,TA.nstand,Dec.nstand,WS.ntree,WS.nstand
TC,1,int,moist,high,6,68.3,59,71.7,600,64.06,142.02,3,155,6.9,41.6,40,18.4,4,3,12-Jul-04,194,-0.361,mod-low,2,100,1,73.1,0.78,0.88,30,30,2,2.09,2.18,1.84,2.3,3.1,9.9,63.7,55,45,52,0,0.069,2.04,0.58,0.8,0,0,0.025,4.949644676,1,2,1,3,3,3,3,3,3
TC,2,ext,NA,NA,3,39.5,55.6,34,706,64.05,142.06,4,80,4.1,30.6,53,16.4,5,0,22-Jun-04,174,-0.428,low,1,100,4,92.4,1,1,158,158,2,2.08,1.64,2.96,0.65,13.7,25,42.4,0,65,3,28,NA,NA,0.75,18.4,0,0,0,0,3,3,3,4,3,5,4,5,7
TC,3,ext,NA,NA,4,46.9,48.6,47,716,64.04,142.06,5,31,5.3,23.2,57.4,19.4,4,0,22-Jun-04,174,-0.393,mod-low,2,100,1,93.4,0.46,0.61,29,29,2,2.39,2.39,NA,2.4,4.9,11.8,74.9,38,28,52,13,NA,NA,0.6,2.3,0,0,0,0,2,3,3,3,4,4,3,4,4
TC,4,int,moist,low,4,46.3,75.8,48.7,697,64.02,142.08,4,198,4.9,52.2,35.4,12.4,4,1,19-Jun-04,171,-0.125,low,1,95,1,66.4,0.99,0.93,100,159,3,1.39,1.13,2.02,0.5,16.3,26.3,31.7,0,73,5,17,0.227,8.35,1.55,9.5,0,0,0,0,0,1,2,3,3,7,3,2,7
TC,5,ext,NA,NA,2,20.3,14.2,19.7,728,64.02,142.09,10,210,4.8,33.2,48.4,18.4,3,1,19-Jun-04,171,-0.328,moderate,3,100,4,82.8,1,1,101,194,3,2.67,2.44,3,2.35,3.5,11.9,73.7,50,27,8,27,NA,NA,0.98,13.5,0,0,0,0,1,1,1,3,2,7,3,2,7
TC,6,ext,NA,NA,5,58.5,71.4,65,647,63.98,142.16,2,255,5.7,51.2,33.4,15.4,3,2,20-Jun-04,172,-0.146,low,1,100,4,83.5,1,1,87,87,2,1.92,1.44,3,1.5,15.4,22.3,33.4,0,21,23,18,NA,NA,0.52,3.2,0,0,0,0,1,3,3,3,3,3,3,3,3
TC,7,ext,NA,NA,4,59.7,44.4,76,659,63.98,142.16,4,45,5.2,15.2,65.4,19.4,4,1,20-Jun-04,172,-0.289,low,1,100,4,97.7,1,1,98,98,2,2.02,1.72,3,1.63,21.5,27.3,26.5,0,25,3,58,NA,NA,1.6,6.4,0,0,0,0,3,3,4,4,4,4,4,4,7
TC,8,int,moist,low,3,63.7,50.6,51,653,63.96,142.17,4,180,6.5,22.2,63.4,14.4,4,0,20-Jun-04,172,-0.343,mod-low,2,100,4,98,1,0.91,95,95,2,2.26,1.89,3,0.8,10.8,18.5,46.3,0,62,13,18,0.122,3.47,0.92,10.3,0.1,13.60711045,0.011111111,0.031503193,3,3,3,3,3,3,3,3,3
TC,9,ext,NA,NA,2,20.5,26.8,36.7,694,63.86,142.23,6,255,4.3,19.2,47.4,33.4,3,0,12-Jul-04,194,-0.131,mod-high,4,100,1,36.4,1,1,34,34,2,2.23,2.21,2.3,2.25,4.9,9.7,67.5,36,20,28,7,NA,NA,0.48,3.7,0.683333333,126.4302548,0.05,6.954569837,0,0,0,1,1,1,1,1,3
TC,10,int,moist,high,5,48,56.4,60.3,722,63.85,142.22,6,288,5.6,23.2,62.4,14.4,2,1,17-Jul-04,199,-0.1,moderate,3,98,1,75.5,0.29,0.56,47,47,2.1,2.11,2.19,1.9,2.25,7.8,18.9,65.5,41,43,55,0,0.066,1.86,1.2,3.1,0,0,0,0,0,0,1,7,2,4,4,2,4
