site,cover_code,LTER_code,USDA_code,genus,species,subspecies_var,year
BCEFM2,2,ARCLAT,ARLA2,Arctagrostis,latifolia,,2013
BCEFM2,3,AULPAL,AUPA70,Aulacomnium,palustre,,2013
BCEFM2,2,AULTUR,AUTU70,Aulacomnium,turgidum,,2013
BCEFM2,3,BETNAN,BENA,Betula,nana,,2013
BCEFM2,2,CALCAN,CACA4,Calamagrostis,canadensis,,2013
BCEFM2,2,CARBIG,CABI5,Carex,bigelowii,,2013
BCEFM2,2,CHACAL,CHCA2,Chamaedaphne,calyculata,,2013
BCEFM2,2,CLADISP,CLADI3,Cladina,,,2013
BCEFM2,2,CLAGRA,CLGR13,Cladonia,gracilis,,2013
BCEFM2,2,CLAMIT,CLMI60,Cladina,mitis,,2013
BCEFM2,2,CLARAN,CLRA60,Cladina,rangiferina,,2013
BCEFM2,2,CLASTE,CLST60,Cladina,stellaris,,2013
BCEFM2,2,DICPOL,DIPO70,Dicranum,polysetum,,2013
BCEFM2,3,DICUND,DIUN8,Dicranum,undulatum,,2013
BCEFM2,2,DROROT,DRRO,Drosera,rotundifolia,,2013
BCEFM2,2,EQUARV,EQAR,Equisetum,arvense,,2013
BCEFM2,3,ERIVAG,ERVA4,Eriophorum,vaginatum,,2013
BCEFM2,5,HYLSPL,HYSP70,Hylocomium,splendens,,2013
BCEFM2,2,HYPPLI,HYPL70,Hypnum,plicatulum,,2013
BCEFM2,2,LARLAR,LALA,Larix,laricina,,2013
BCEFM2,5,LEDGRO,LEGR,Ledum,groenlandicum,,2013
BCEFM2,2,LEDPAL,LEPAD,Ledum,palustre,ssp. decumbens,2013
BCEFM2,2,NEPARC,NEAR60,Nephroma,arcticum,,2013
BCEFM2,2,PELAPH,PEAP60,Peltigera,aphthosa,,2013
BCEFM2,2,PELLEU,PELE61,Peltigera,leucophlebia,,2013
BCEFM2,2,PELTISP,PELTI2,Peltigera,,,2013
BCEFM2,5,PICMAR,PIMA,Picea,mariana,,2013
BCEFM2,3,PLESCH,PLSC70,Pleurozium,schreberi,,2013
BCEFM2,3,RUBCHA,RUCH,Rubus,chamaemorus,,2013
BCEFM2,2,SALFUS,SAFU,Salix,fuscescens,,2013
BCEFM2,2,SALPUL,SAPU15,Salix,pulchra,,2013
BCEFM2,3,SPHAGSP,SPHAG2,Sphagnum,,,2013
BCEFM2,2,SPHFIM,SPFI4,Sphagnum,fimbriatum,,2013
BCEFM2,2,SPHFUS,SPFU70,Sphagnum,fuscum,,2013
BCEFM2,2,SPHMAG,SPMA70,Sphagnum,magellanicum,,2013
BCEFM2,2,SPHOBT,SPOB70,Sphagnum,obtusum,,2013
BCEFM2,5,SPHRUS,SPRU6,Sphagnum,russowii,,2013
BCEFM2,2,SPHWAR,SPWA70,Sphagnum,warnstorfii,,2013
BCEFM2,2,TOMNIT,TONI70,Tomentypnum,nitens,,2013
BCEFM2,2,VACOXY,VAOX,Vaccinium,oxycoccos ,,2013
BCEFM2,3,VACULI,VAUL,Vaccinium,uliginosum,,2013
BCEFM2,5,VACVIT,VAVI,Vaccinium,vitis-idaea,,2013
BDI1,2,ABIABI,ABAB70,Abietinella,abietina,,2011
BDI1,2,ALNVIR,ALVIF,Alnus,viridis,ssp. fruticosa,2011
BDI1,8,BETNEO,BENE4,Betula,neoalaskana,,2011
BDI1,2,CHAANG,CHANA2,Chamerion,angustifolium,ssp. angustifolium,2011
BDI1,2,CLADOSP,CLADO3,Cladonia,,,2011
BDI1,2,CLAGRA,CLGR13,Cladonia,gracilis,,2011
BDI1,2,CORCAN,COCA13,Cornus,Canadensis,,2011
BDI1,2,DICRANUMSP,DICRA8,Dicranum,,,2011
BDI1,3,EQUPRA,EQPR,Equisetum,pratense,,2011
BDI1,3,EQUSYL,EQSY,Equisetum,sylvaticum,,2011
BDI1,5,HYLSPL,HYSP70,Hylocomium,splendens,,2011
BDI1,2,LEDGRO,LEGR,Ledum,groenlandicum,,2011
BDI1,2,LINBOR,LIBO3,Linnaea,borealis,,2011
BDI1,2,LYCANN,LYAN2,Lycopodium,annotinum,,2011
BDI1,2,LYCCOM,LYCO3,Lycopodium,complanatum,,2011
BDI1,2,MERPAN,MEPA,Mertensia,paniculata,,2011
BDI1,2,ORTSEC,ORSE,Orthilia,secunda,,2011
BDI1,2,PELLEU,PELE61,Peltigera,leucophlebia,,2011
BDI1,2,PELSCA,PESC60,Peltigera,scabrosa,,2011
BDI1,5,PICGLA,PIGL,Picea,glauca,,2011
BDI1,5,PICMAR,PIMA,Picea,mariana,,2011
BDI1,3,PLESCH,PLSC70,Pleurozium,schreberi,,2011
BDI1,1,POHCRU,POCR15,Pohlia,cruda,,2011
BDI1,2,POLCOM,POCO38,Polytrichum,commune,,2011
BDI1,2,POLSTR,POST70,Polytrichum,strictum,,2011
