"","date","site","probe","depth","flag","hit_type","crew","notes"
"1","9/20/2016","BCEFM2",1,65,"G","","Gl ko",""
"2","9/20/2016","BCEFM2",2,49,"G","","Gl ko",""
"3","9/20/2016","BCEFM2",3,53,"G","","Gl ko",""
"4","9/20/2016","BCEFM2",4,47,"G","","Gl ko",""
"5","9/20/2016","BCEFM2",5,60,"G","","Gl ko",""
"6","9/20/2016","BCEFM2",6,48,"G","","Gl ko",""
"7","9/20/2016","BCEFM2",7,74,"G","","Gl ko",""
"8","9/20/2016","BCEFM2",8,50,"G","","Gl ko",""
"9","9/20/2016","BCEFM2",9,54,"G","","Gl ko",""
"10","9/20/2016","BCEFM2",10,52,"G","","Gl ko",""
"11","9/20/2016","BCEFM2",11,60,"G","","Gl ko",""
"12","9/20/2016","BCEFM2",12,57,"G","","Gl ko",""
"13","9/20/2016","BCEFM2",13,47,"G","","Gl ko",""
"14","9/20/2016","BCEFM2",14,55,"G","","Gl ko",""
"15","9/20/2016","BCEFM2",15,60,"G","","Gl ko",""
"16","9/20/2016","BCEFM2",16,65,"G","","Gl ko",""
"17","9/20/2016","BCEFM2",17,54,"G","","Gl ko",""
"18","9/20/2016","BCEFM2",18,63,"G","","Gl ko",""
"19","9/20/2016","BCEFM2",19,62,"G","","Gl ko",""
"20","9/20/2016","BCEFM2",20,51,"G","","Gl ko",""
"21","9/28/2017","BCEFM2",1,67,"G","","Maw ko",""
"22","9/28/2017","BCEFM2",2,49,"G","","Maw ko",""
"23","9/28/2017","BCEFM2",3,49,"G","","Maw ko",""
"24","9/28/2017","BCEFM2",4,45,"G","","Maw ko",""
"25","9/28/2017","BCEFM2",5,49,"G","","Maw ko",""
"26","9/28/2017","BCEFM2",6,33,"G","","Maw ko","Using backward veg plot at this site"
"27","9/28/2017","BCEFM2",7,54,"G","","Maw ko",""
"28","9/28/2017","BCEFM2",8,48,"G","","Maw ko",""
"29","9/28/2017","BCEFM2",9,54,"G","","Maw ko",""
"30","9/28/2017","BCEFM2",10,47,"G","","Maw ko",""
"31","9/28/2017","BCEFM2",11,44,"G","","Maw ko",""
"32","9/28/2017","BCEFM2",12,39,"G","","Maw ko",""
"33","9/28/2017","BCEFM2",13,44,"G","","Maw ko",""
"34","9/28/2017","BCEFM2",14,46,"G","","Maw ko",""
"35","9/28/2017","BCEFM2",15,46,"G","","Maw ko",""
"36","9/28/2017","BCEFM2",16,47,"G","","Maw ko",""
"37","9/28/2017","BCEFM2",17,43,"G","","Maw ko",""
"38","9/28/2017","BCEFM2",18,55,"G","","Maw ko",""
"39","9/28/2017","BCEFM2",19,40,"G","","Maw ko",""
"40","9/28/2017","BCEFM2",20,65,"G","","Maw ko","Taken in a tussock"
"41","10/5/2018","BCEFM2",1,64,"G","","KO",""
"42","10/5/2018","BCEFM2",2,48,"G","","KO",""
"43","10/5/2018","BCEFM2",3,56,"G","","KO",""
"44","10/5/2018","BCEFM2",4,49,"G","","KO",""
"45","10/5/2018","BCEFM2",5,51,"G","","KO",""
"46","10/5/2018","BCEFM2",6,49,"G","","KO",""
"47","10/5/2018","BCEFM2",7,46,"G","","KO",""
"48","10/5/2018","BCEFM2",8,49,"G","","KO",""
"49","10/5/2018","BCEFM2",9,41,"G","","KO",""
"50","10/5/2018","BCEFM2",10,36,"G","","KO",""
"51","10/5/2018","BCEFM2",11,45,"G","","KO",""
"52","10/5/2018","BCEFM2",12,50,"G","","KO",""
"53","10/5/2018","BCEFM2",13,54,"G","","KO",""
"54","10/5/2018","BCEFM2",14,47,"G","","KO",""
"55","10/5/2018","BCEFM2",15,44,"G","","KO",""
"56","10/5/2018","BCEFM2",16,49,"G","","KO",""
"57","10/5/2018","BCEFM2",17,42,"G","","KO",""
"58","10/5/2018","BCEFM2",18,43,"G","","KO",""
"59","10/5/2018","BCEFM2",19,43,"G","","KO","One short"
"60","10/11/2019","BCEFM2",1,61,"G","Ice","KO CL",""
"61","10/11/2019","BCEFM2",2,47,"G","Ice","KO CL",""
"62","10/11/2019","BCEFM2",3,44,"G","Ice","KO CL",""
"63","10/11/2019","BCEFM2",4,43,"G","Ice","KO CL",""
"64","10/11/2019","BCEFM2",5,43,"G","Ice","KO CL",""
"65","10/11/2019","BCEFM2",6,36,"G","Ice","KO CL",""
"66","10/11/2019","BCEFM2",7,36,"G","Ice","KO CL",""
"67","10/11/2019","BCEFM2",8,47,"G","Ice","KO CL",""
"68","10/11/2019","BCEFM2",9,43,"G","Ice","KO CL",""
"69","10/11/2019","BCEFM2",10,38,"G","Ice","KO CL",""
"70","10/11/2019","BCEFM2",11,48,"G","Ice","KO CL",""
"71","10/11/2019","BCEFM2",12,45,"G","Ice","KO CL",""
"72","10/11/2019","BCEFM2",13,60,"G","Ice","KO CL",""
"73","10/11/2019","BCEFM2",14,48,"G","Ice","KO CL",""
"74","10/11/2019","BCEFM2",15,47,"G","Ice","KO CL",""
"75","10/11/2019","BCEFM2",16,41,"G","Ice","KO CL",""
"76","10/11/2019","BCEFM2",17,40,"G","Ice","KO CL",""
"77","10/11/2019","BCEFM2",18,45,"G","Ice","KO CL",""
"78","10/11/2019","BCEFM2",19,30,"G","Ice","KO CL",""
"79","10/11/2019","BCEFM2",20,37,"G","Ice","KO CL",""
"80","9/30/2020","BCEFM2",1,51,"G","Ice","KO",""
"81","9/30/2020","BCEFM2",2,34,"G","Ice","KO",""
"82","9/30/2020","BCEFM2",3,43,"G","Ice","KO",""
"83","9/30/2020","BCEFM2",4,44,"G","Ice","KO",""
"84","9/30/2020","BCEFM2",5,40,"G","Ice","KO",""
"85","9/30/2020","BCEFM2",6,35,"G","Ice","KO",""
"86","9/30/2020","BCEFM2",7,31,"G","Ice","KO",""
"87","9/30/2020","BCEFM2",8,41,"G","Ice","KO",""
"88","9/30/2020","BCEFM2",9,37,"G","Ice","KO",""
"89","9/30/2020","BCEFM2",10,29,"G","Ice","KO",""
"90","9/30/2020","BCEFM2",11,50,"G","Ice","KO",""
"91","9/30/2020","BCEFM2",12,51,"G","Ice","KO",""
"92","9/30/2020","BCEFM2",13,56,"G","Ice","KO",""
"93","9/30/2020","BCEFM2",14,49,"G","Ice","KO",""
"94","9/30/2020","BCEFM2",15,43,"G","Ice","KO",""
"95","9/30/2020","BCEFM2",16,34,"G","Ice","KO",""
"96","9/30/2020","BCEFM2",17,36,"G","Ice","KO",""
"97","9/30/2020","BCEFM2",18,29,"G","Ice","KO",""
"98","9/30/2020","BCEFM2",19,37,"G","Ice","KO",""
"99","9/30/2020","BCEFM2",20,50,"G","Ice","KO",""
"100","9/27/2021","BCEFM2",1,69,"G","Ice","MAW, OPH",""
"101","9/27/2021","BCEFM2",2,51,"G","Ice","MAW, OPH",""
"102","9/27/2021","BCEFM2",3,56,"G","Ice","MAW, OPH",""
"103","9/27/2021","BCEFM2",4,53,"G","Ice","MAW, OPH",""
"104","9/27/2021","BCEFM2",5,46,"G","Ice","MAW, OPH",""
"105","9/27/2021","BCEFM2",6,47,"G","Ice","MAW, OPH",""
"106","9/27/2021","BCEFM2",7,48,"G","Ice","MAW, OPH",""
"107","9/27/2021","BCEFM2",8,38,"G","Ice","MAW, OPH",""
"108","9/27/2021","BCEFM2",9,58,"G","Ice","MAW, OPH",""
"109","9/27/2021","BCEFM2",10,56,"G","Ice","MAW, OPH",""
"110","9/27/2021","BCEFM2",11,60,"G","Ice","MAW, OPH",""
"111","9/27/2021","BCEFM2",12,67,"G","Ice","MAW, OPH",""
"112","9/27/2021","BCEFM2",13,56,"G","Ice","MAW, OPH",""
"113","9/27/2021","BCEFM2",14,51,"G","Ice","MAW, OPH",""
"114","9/27/2021","BCEFM2",15,53,"G","Ice","MAW, OPH",""
"115","9/27/2021","BCEFM2",16,50,"G","Ice","MAW, OPH",""
"116","9/27/2021","BCEFM2",17,40,"G","Ice","MAW, OPH",""
"117","9/27/2021","BCEFM2",18,47,"G","Ice","MAW, OPH",""
"118","9/27/2021","BCEFM2",19,57,"G","Ice","MAW, OPH",""
"119","9/27/2021","BCEFM2",20,50,"G","Ice","MAW, OPH",""
"120","8/17/2011","BDI1",1,-9999,"N","","BC",""
"121","8/17/2011","BDI1",2,-9999,"N","","BC",""
"122","8/17/2011","BDI1",3,-9999,"N","","BC",""
"123","8/17/2011","BDI1",4,-9999,"N","","BC",""
"124","8/17/2011","BDI1",5,-9999,"N","","BC",""
"125","8/17/2011","BDI1",6,-9999,"N","","BC",""
"126","8/17/2011","BDI1",7,-9999,"N","","BC",""
"127","8/17/2011","BDI1",8,-9999,"N","","BC",""
"128","8/17/2011","BDI1",9,-9999,"N","","BC",""
"129","8/17/2011","BDI1",10,-9999,"N","","BC",""
"130","10/4/2011","BDI2",1,153,"R","","BC",""
"131","10/4/2011","BDI2",2,170,"R","","BC",""
"132","10/4/2011","BDI2",3,155,"R","","BC",""
"133","10/4/2011","BDI2",4,168,"R","","BC",""
"134","10/4/2011","BDI2",5,230,"R","","BC",""
"135","10/4/2011","BDI2",6,-9999,"N","","BC",""
"136","10/4/2011","BDI2",7,-9999,"N","","BC",""
"137","10/4/2011","BDI2",8,-9999,"N","","BC",""
"138","10/4/2011","BDI2",9,-9999,"N","","BC",""
"139","10/4/2011","BDI2",10,-9999,"N","","BC",""
"140","8/17/2011","BDI3",1,58,"R","","BC",""
"141","8/17/2011","BDI3",2,58,"R","","BC",""
"142","8/17/2011","BDI3",3,58,"R","","BC",""
"143","8/17/2011","BDI3",4,47,"R","","BC",""
"144","8/17/2011","BDI3",5,23,"R","","BC",""
"145","8/17/2011","BDI3",6,20,"R","","BC",""
"146","8/17/2011","BDI3",7,27,"R","","BC",""
"147","8/17/2011","BDI3",8,27,"R","","BC",""
"148","8/17/2011","BDI3",9,37,"R","","BC",""
"149","8/17/2011","BDI3",10,10,"R","","BC",""
"150","8/16/2011","BDI4",1,-9999,"N","","BC",""
"151","8/16/2011","BDI4",2,-9999,"N","","BC",""
"152","8/16/2011","BDI4",3,-9999,"N","","BC",""
"153","8/16/2011","BDI4",4,-9999,"N","","BC",""
"154","8/16/2011","BDI4",5,-9999,"N","","BC",""
"155","8/16/2011","BDI4",6,-9999,"N","","BC",""
"156","8/16/2011","BDI4",7,-9999,"N","","BC",""
"157","8/16/2011","BDI4",8,-9999,"N","","BC",""
"158","8/16/2011","BDI4",9,-9999,"N","","BC",""
"159","8/16/2011","BDI4",10,-9999,"N","","BC",""
"160","9/2/2015","BDI5",1,171,"R","","SF",""
"161","9/2/2015","BDI5",2,154,"R","","SF",""
"162","9/2/2015","BDI5",3,143,"R","","SF",""
"163","9/2/2015","BDI5",4,90,"R","","SF","Doesnt feel the same as the rock im hitting around 150, but cant break through. "
"164","9/2/2015","BDI5",5,100,"R","","SF",""
"165","9/2/2015","BDI5",6,92,"R","","SF",""
"166","9/2/2015","BDI5",7,68,"R","","SF",""
"167","9/2/2015","BDI5",8,150,"R","","SF",""
"168","9/2/2015","BDI5",9,162,"R","","SF","Ice(?) layer around 120 flr many probes in this corner. "
"169","9/2/2015","BDI5",10,176,"R","","KO",""
"170","9/2/2015","BDI5",11,231,"R","","KO",""
"171","9/2/2015","BDI5",12,159,"R","","KO",""
"172","9/2/2015","BDI5",13,167,"R","","KO",""
"173","9/2/2015","BDI5",14,142,"R","","KO",""
"174","9/2/2015","BDI5",15,89,"R","","KO",""
"175","9/2/2015","BDI5",16,138,"R","","KO",""
"176","9/2/2015","BDI5",17,184,"R","","KO","Ice layer at 125"
"177","9/2/2015","BDI5",18,216,"R","","KO","Ice layer at 124"
"178","9/2/2015","BDI5",19,164,"R","","KO",""
"179","9/2/2015","BDI5",20,184,"R","","KO",""
"180","10/16/2018","BDI5",1,164,"G","","KDO CBL",""
"181","10/16/2018","BDI5",2,152,"G","","KDO CBL",""
"182","10/16/2018","BDI5",3,136,"R","","KDO CBL",""
"183","10/16/2018","BDI5",4,83,"R","","KDO CBL",""
"184","10/16/2018","BDI5",5,90,"R","","KDO CBL",""
"185","10/16/2018","BDI5",6,89,"R","","KDO CBL",""
"186","10/16/2018","BDI5",7,73,"R","","KDO CBL",""
"187","10/16/2018","BDI5",8,142,"G","","KDO CBL",""
"188","10/16/2018","BDI5",9,160,"G","","KDO CBL",""
"189","10/16/2018","BDI5",10,180,"G","","KDO CBL",""
"190","10/16/2018","BDI5",11,250,"G","","KDO CBL",""
"191","10/16/2018","BDI5",12,156,"G","","KDO CBL",""
"192","10/16/2018","BDI5",13,218,"G","","KDO CBL",""
"193","10/16/2018","BDI5",14,140,"G","","KDO CBL",""
"194","10/16/2018","BDI5",15,92,"R","","KDO CBL",""
"195","10/16/2018","BDI5",16,144,"R","","KDO CBL",""
"196","10/16/2018","BDI5",17,185,"R","","KDO CBL",""
"197","10/16/2018","BDI5",18,260,"G","","KDO CBL",""
"198","10/16/2018","BDI5",19,163,"G","","KDO CBL",""
"199","10/16/2018","BDI5",20,174,"G","","KDO CBL",""
"200","10/16/2019","BDI5",2,151,"G","Ice","KO",""
"201","10/16/2019","BDI5",3,135,"R","Rock","KO",""
"202","10/16/2019","BDI5",4,80,"R","Rock","KO",""
"203","10/16/2019","BDI5",5,92,"R","Rock","KO",""
"204","10/16/2019","BDI5",6,87,"R","Rock","KO",""
"205","10/16/2019","BDI5",7,73,"R","Rock","KO",""
"206","10/16/2019","BDI5",8,138,"G","Ice","KO",""
"207","10/16/2019","BDI5",9,166,"G","Ice","KO",""
"208","10/16/2019","BDI5",10,131,"G","Ice","KO",""
"209","10/16/2019","BDI5",11,-9999,"N","None","KO",""
