date,site_name,alternative_name,crew,plot_stake,organic_depth,notes,photo
6/11/2015,BFY13,BF99,Jdm ko,1,4,,
6/11/2015,BFY13,BF99,Jdm ko,2,1.5,,
6/11/2015,BFY13,BF99,Jdm ko,3,3,,
6/11/2015,BFY13,BF99,Jdm ko,4,4,,
6/11/2015,BFY13,BF99,Ko jc,5,4,,
6/11/2015,BFY13,BF99,Ko jc,6,5,,
6/11/2015,BFY13,BF99,Ko jc,7,3.5,,
6/11/2015,BFY13,BF99,Ko jc,8,3,,
6/11/2015,BFY13,BF99,Ko jc,9,0.5,,
6/11/2015,BFY13,BF99,Ko jc,10,11,,
6/11/2015,BFY13,BF99,Ko jc,11,14,,
6/11/2015,BFY13,BF99,Ko jc,12,5,,
6/11/2015,BFY13,BF99,Ko jc,13,9,,
6/11/2015,BFY13,BF99,Ko jc,14,5.5,,
6/11/2015,BFY13,BF99,Ko jc,15,6,,
6/11/2015,BFY13,BF99,Ko jc,16,2,,
6/11/2015,BFY13,BF99,Ko jc,17,7,,
6/11/2015,BFY13,BF99,Ko jc,18,5.5,,
6/11/2015,BFY13,BF99,Ko jc,19,14,,
6/11/2015,BFY13,BF99,Ko jc,20,9,,
6/15/2015,GSI3,GS-1,Sf: jh,7,13,,
6/15/2015,GSI3,GS-1,Sf: jh,8,11,,
6/15/2015,GSI3,GS-1,Sf: jh,9,9.5,,
6/15/2015,GSI3,GS-1,Sf: jh,4,5,Hole was 25. Fluffing? Stake 4.,
6/15/2015,GSI3,GS-1,Sf: jh,11,6,,
6/15/2015,GSI3,GS-1,Sf: jh,12,7.5,,
6/15/2015,GSI3,GS-1,Sf: jh,7,5,,
6/15/2015,GSI3,GS-1,Sf: jh,14,5.2,,Soil_GSI3_Stake14.JPG
6/15/2015,GSI3,GS-1,Sf: jh,15,10,,Soil_GSI3_Stake15.JPG
6/15/2015,GSI3,GS-1,Sf: jh,9,8,Wetter spot,
6/15/2015,GSI3,GS-1,Sf: jh,17,10,,
6/15/2015,GSI3,GS-1,Sf: jh,18,6.5,,
6/15/2015,GSI3,GS-1,Sf: jh,19,7.5,,
6/15/2015,GSI3,GS-1,Sf: jh,13,6,,
6/15/2015,GSI3,GS-1,Sf: jh,1,10,plot stake is just placeholder. we hadn't figured out that we wanted to track this yet when these samples were taken. ,
6/15/2015,GSI3,GS-1,Sf: jh,2,11,plot stake is just placeholder. we hadn't figured out that we wanted to track this yet when these samples were taken. ,
6/15/2015,GSI3,GS-1,Sf: jh,3,9,plot stake is just placeholder. we hadn't figured out that we wanted to track this yet when these samples were taken. ,
