sitename,slope,aspect,elevation,canopy_typ,topo,moist,severity,ph,sol,treeden,treeba,seedlingde,site_descr,directions,site_histo,location,n_dd,w_dd,ecoregion,filename,photoDescription,photoCredit,photoDate,prelimID,age,burn_year
BCEFM2,0,0,141,Black Spruce,,SUBHYGRIC,NA,0,0,17909.09,2275,2.64,This is a lowland black spruce site.,"Drive to the T at mile 5 of BCEF road and turn east at the junction. Continue for 600m, then turn south. Continue for 2km then park. The site is 500m east of the road.","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"".",BCEF,64.69516,-148.32324,Yukon-Tanana Uplands,BCEFM2_SitePano.jpg,Panoramic site photo of BCEFM2 (Apex Beta).,Shalane Frost,6/3/2014,Apex Beta,Mature,Pre 1930
BDI1,5,193,241,Birch,Shoulder,SUBXERIC,NA,5.79,8.6,6258.33,28.06,22636.36,In 1969 this site burned in the Big Denver fire. It is now a birch stand.,Elliott Highway MP 141.2. Site on the north side of the Elliott.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".","Elliott Hwy, near Manley Hotsprings",65.063454,-150.403119,Ray Mountains,BDI1_SitePano.jpg,Panoramic site photo of BDI1 (BD-6).,Shalane Frost,9/11/2014,BD-6,Intermediate,1969
BDI2,4,209,254,Birch,Shoulder,SUBXERIC-MESIC,NA,5.71,7.8,8791.67,16.71,8363.64,In 1969 this site burned in the Big Denver fire. It is now a birch stand with a thick black spruce understory.,Elliott Highway MP 140. Site on the south side of the Elliott.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".","Elliott Hwy, near Manley Hotsprings",65.070412,-150.368877,Ray Mountains,BDI2_SitePano.jpg,Panoramic site photo of BDI2 (BD-10).,Shalane Frost,9/14/2014,BD-10,Intermediate,1969
BDI3,15,199,290,Aspen,Side Slope,SUBXERIC,NA,5.08,4.6,6625,11.93,6772.73,In 1969 this site burned in the Big Denver fire. It is now a mixed stand comprised of aspen and black spruce.,Elliott Highway MP 139.4. Site on the north side of the Elliott.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".","Elliott Hwy, near Manley Hotsprings",65.073548,-150.349093,Ray Mountains,BDI3_SitePano.jpg,Panoramic site photo of BDI3 (BD-9).,Shalane Frost,9/15/2014,BD-9,Intermediate,1969
BDI4,8,60,203,Aspen,Side Slope,SUBXERIC,NA,4.85,3.4,8691.67,20.6,11772.73,In 1969 this site burned in the Big Denver fire. It is now an aspen stand.,Elliott Highway MP 138.3. Site on the north side of the Elliott.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".","Elliott Hwy, near Manley Hotsprings",65.078379,-150.325606,Ray Mountains,BDI4_SitePano.jpg,Panoramic site photo of BDI4 (BD-11).,Shalane Frost,9/13/2014,BD-11,Intermediate,1969
BDI5,0,358,145,Aspen,Lowland,MESIC,NA,5.84,5.9,2866.67,5.12,18954.55,"In 2015 this site burned in the Baker fire. Prior to the fire, it was a mixed stand dominated by aspen with some black spruce.",Elliott Highway MP 136.5. Site on the north side of the Elliott.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"". After burning in 2015, it was reclassified as ""Young"". Note that some data sets were collected immediately preceding the fire at this site.","Elliott Hwy, near Manley Hotsprings",65.095197,-150.282723,Ray Mountains,BDI5_SitePano.jpg,Panoramic site photo of BDI5 (BD-7).,Shalane Frost,8/10/2015,BD-7,Intermediate,1969
BDI6,0,0,146,Black Spruce,Lowland,SUBHYGRIC,NA,6.48,34.7,66.67,0.06,35954.55,In 2015 this site burned in the Baker fire. Prior to the fire it was an open black spruce stand.,Elliott Highway MP 136. Site on the north side of the Elliott.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"". After burning in 2015, it was reclassified as ""Young"". Note that some data sets were collected immediately preceding the fire at this site.","Elliott Hwy, near Manley Hotsprings",65.10084,-150.269876,Ray Mountains,BDI6_SitePano_unburned.jpg,Panoramic site photo of BDI6 (BD-5).,Shalane Frost,9/16/2014,BD-5,Intermediate,1969
BDI7,6,195,358,Birch,Side Slope,SUBXERIC-MESIC,NA,5.53,7.9,7975,16.92,21681.82,In 1969 this site burned in the Big Denver fire. It is now a birch stand.,Elliott Highway MP 126.6. Site on the south side of the Elliott.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".","Elliott Hwy, near Manley Hotsprings",65.161836,-150.063616,Ray Mountains,BDI7_SitePano.jpg,Panoramic site photo of BDI7 (BD-2).,Shalane Frost,9/16/2014,BD-2,Intermediate,1969
BDI8,8,203,389,Birch,Side Slope,SUBXERIC-MESIC,NA,5.61,9.6,7783.33,10.97,24681.82,In 1969 this site burned in the Big Denver fire. It is now a mixed stand with birch and black spruce.,Elliott Highway MP 126.1. Site on the south side of the Elliott.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".","Elliott Hwy, near Manley Hotsprings",65.163552,-150.049912,Ray Mountains,BDI8_SitePano.jpg,Panoramic site photo of BDI8 (BD-1).,Shalane Frost,9/16/2014,BD-1,Intermediate,1969
BDM1,0,0,217,Black Spruce,,MESIC,NA,0,0,22818.18,3783.33,7.15,"This is a mesic, black spruce site.",Elliott Highway MP 128.7. Site on the south side of the Elliott.,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Was purposefully collocated with a site originally established by Heather Alexander. Baseline data for this site was collected at the adjacent site","Elliott Hwy, near Manley Hotsprings",65.15799,-150.13574,Ray Mountains,BDM1_SitePano.jpg,Panoramic site photo of BDM1 (BD69T2).,Shalane Frost,9/16/2014,BD69T2,Mature,Pre 1930
