,Site,Transect,Plot,FuelType,FuelLoad.kg.m2
1,BCEFM2,A,1,Fibric,0.68775
2,BCEFM2,A,2,Fibric,1.203125
3,BCEFM2,A,3,Fibric,5.67280093
4,BCEFM2,B,1,Fibric,0.248
5,BCEFM2,B,2,Fibric,1.84567901
6,BCEFM2,B,3,Fibric,6.8025
7,BDM1,A,1,Fibric,29.26388889
8,BDM1,A,2,Fibric,10.70740741
9,BDM1,A,3,Fibric,18.78555556
10,BDM1,B,1,Fibric,3.48861898
11,BDM1,B,2,Fibric,0.2553719
12,BDM1,B,3,Fibric,1.13157025
13,BFY10,A,1,Fibric,1.32825
14,BFY10,A,2,Fibric,1.3665
15,BFY10,A,3,Fibric,0.97825
16,BFY10,B,1,Fibric,1.9145
17,BFY10,B,2,Fibric,0.71775
18,BFY10,B,3,Fibric,0.33
19,BFY7,A,1,Fibric,3.47454545
20,BFY7,A,2,Fibric,0.4952381
21,BFY7,A,3,Fibric,1.55833333
22,BFY7,B,1,Fibric,7.69294118
23,BFY7,B,2,Fibric,1.12962963
24,BFY7,B,3,Fibric,1.53472222
25,BFY8,A,1,Fibric,0.33472222
26,BFY8,A,2,Fibric,0.99833333
27,BFY8,A,3,Fibric,0.49142857
28,BFY8,B,1,Fibric,0.55818182
29,BFY8,B,2,Fibric,1.23625
30,BFY8,B,3,Fibric,1.59185185
31,BFY9,A,1,Fibric,1.045
32,BFY9,A,2,Fibric,0.32708334
33,BFY9,A,3,Fibric,0.60714286
34,BFY9,B,1,Fibric,0.46074074
35,BFY9,B,2,Fibric,0.66530612
36,BFY9,B,3,Fibric,1.66875
37,DCY14,A,1,Fibric,8.65079365
38,DCY14,A,2,Fibric,10.4702381
39,DCY14,A,3,Fibric,1.32380952
40,DCY14,B,1,Fibric,8.14583333
41,DCY14,B,2,Fibric,1.7025
42,DCY14,B,3,Fibric,8.38320313
43,DCY2,A,1,Fibric,2.18111111
44,DCY2,A,2,Fibric,5.57873016
45,DCY2,A,3,Fibric,8.150625
46,DCY2,B,1,Fibric,2.13111111
47,DCY2,B,2,Fibric,1.84
48,DCY2,B,3,Fibric,1.965
49,DCY3,A,1,Fibric,1.005
50,DCY3,A,2,Fibric,1.55446429
51,DCY3,A,3,Fibric,4.2007451
52,DCY3,B,1,Fibric,0.18148148
53,DCY3,B,2,Fibric,0.63977273
54,DCY3,B,3,Fibric,0
55,DCY4,A,1,Fibric,2.234375
56,DCY4,A,2,Fibric,0.534375
57,DCY4,A,3,Fibric,1.3
58,DCY4,B,1,Fibric,0.67407407
59,DCY4,B,2,Fibric,2.10694445
60,DCY4,B,3,Fibric,1.02814815
61,DCY9,A,1,Fibric,0.78285714
62,DCY9,A,2,Fibric,0
63,DCY9,A,3,Fibric,0.542125
64,DCY9,B,1,Fibric,1.91805556
65,DCY9,B,2,Fibric,0.74444445
66,DCY9,B,3,Fibric,0
67,DDM2,A,1,Fibric,1.25175
68,DDM2,A,2,Fibric,0.92325
69,DDM2,A,3,Fibric,0
70,DDM2,B,3,Fibric,0.7095
71,DDM2,B,2,Fibric,1.11325
72,DDM2,B,1,Fibric,0
73,GRI1,A,1,Fibric,1.50816326
74,GRI1,A,2,Fibric,3.99857143
75,GRI1,A,3,Fibric,5
76,GRI1,B,1,Fibric,0.79285714
77,GRI1,B,2,Fibric,1.01354167
78,GRI1,B,3,Fibric,2.25277778
79,GRM3,A,1,Fibric,2.23125
80,GRM3,A,2,Fibric,1.83061224
81,GRM3,A,3,Fibric,0.90238095
82,GRM3,B,1,Fibric,3.61785714
83,GRM3,B,2,Fibric,2.075
84,GRM3,B,3,Fibric,1.71428571
85,GRM4,A,1,Fibric,1.71851852
86,GRM4,A,2,Fibric,1.35757576
87,GRM4,A,3,Fibric,3.6375
88,GRM4,B,1,Fibric,0.98205128
89,GRM4,B,2,Fibric,1.20555556
90,GRM4,B,3,Fibric,1.525
91,GSI1,A,1,Fibric,1.899
92,GSI1,A,2,Fibric,1.08311688
93,GSI1,A,3,Fibric,2.11666667
94,GSI1,B,1,Fibric,0
95,GSI1,B,2,Fibric,2.85506494
96,GSI1,B,3,Fibric,0.60826446
97,GSI2,A,1,Fibric,4.16583333
98,GSI2,A,2,Fibric,2.92441667
99,GSI2,A,3,Fibric,0.934
100,GSI2,B,1,Fibric,0.8032
101,GSI2,B,2,Fibric,3.8175
102,GSI2,B,3,Fibric,1.24865
103,GSM1,A,1,Fibric,1.9125
104,GSM1,A,2,Fibric,4.28285714
105,GSM1,A,3,Fibric,0.46296296
106,GSM1,B,1,Fibric,1.16958333
107,GSM1,B,2,Fibric,1.27767857
108,GSM1,B,3,Fibric,0.60333333
109,GSM3,A,1,Fibric,1.083
