Site,SiteType,SiteAge,ID,depth,BD,NH4_C,NO3_C,poreNO3,poreNH4,poreNPOC,poreTDN,Moist,AFDM,N2Oprod,denitrate,quantitative.depth,layer,streamTDN,streamDOC,streamNO3,streamNH4,LKcore,ThawDepth,fN2O
Oxbow Lake,Lake,NA,OX Sed 7cm,NA,NA,5.668132942,0.761485826,0.0088,6.036,48.336,NA,25.77,5.88,-0.1338240214,0.2801583933,7,Surface,NA,NA,NA,NA,oxbow'18,NA,-0.4776727188
Oxbow Lake,Lake,NA,OX Sed 25-45cm,NA,NA,2.730731225,0.7406126482,0.0036,3.035,26.484,NA,28.36,7.03,3.210217466,-6.473258907,25,Subsurface,NA,NA,NA,NA,oxbow'18,NA,-0.4959198315
Oxbow Lake,Lake,NA,OX Sed 64-90cm,NA,NA,1.918154762,0.2765376984,0.0017,1.713,18.348,NA,32.22,8.66,-3.150257164,1.694365951,64,Subsurface,NA,NA,NA,NA,oxbow'18,NA,-1.85925429
Goldstream Lake,Lake,NA,GSL-VC10-1_0.5-10cm,NA,NA,3.363682093,0.008551307847,NA,NA,108.56,NA,28.3,3.7,0.1047120419,-0.1539434176,0.5,Surface,NA,NA,NA,NA,GSL-VC-1,NA,-0.6801982411
Goldstream Lake,Lake,NA,GSL-VC10-1_15-24cm,NA,NA,1.221712538,0.04638124363,NA,NA,75.92,NA,25.98,2.4,0.1352722354,0,15,Surface,NA,NA,NA,NA,GSL-VC-1,NA,NA
Goldstream Lake,Lake,NA,GSL-VC10-1_29-41cm,NA,NA,1.260978044,0.1941117764,NA,NA,35.88,NA,48.52,9.75,0.2191914272,0,29,Subsurface,NA,NA,NA,NA,GSL-VC-1,NA,NA
Goldstream Lake,Lake,NA,GSL-VC10-1_50-60cm,NA,NA,2.661242604,0.1070019724,NA,NA,30.06,NA,87.5,74.96,-0.9519038076,0,50,Subsurface,NA,NA,NA,NA,GSL-VC-1,NA,NA
Goldstream Lake,Lake,NA,GSL-VC10-1_66-75cm,NA,NA,5.455792683,0.1839430894,NA,NA,27.38,NA,40.16,7.23,0,0.1247744443,66,Subsurface,NA,NA,NA,NA,GSL-VC-1,NA,0
Goldstream Lake,Lake,NA,GSL-VC10-1_90.5-100cm,NA,NA,2.241774676,0.1011964108,NA,NA,29.18,NA,22.46,3.24,0,0,90.5,Subsurface,NA,NA,NA,NA,GSL-VC-1,NA,NA
Big Trail Lake,Lake,NA,BTL 0.5-12 + 20-30cm,NA,NA,17.58059701,0.008457711443,0.00885,6.365,24.04,NA,34.59,8.51,1.892047637,2.183471101,0.5,Surface,NA,NA,NA,NA,BigTrail'18,NA,0.8665320264
Big Trail Lake,Lake,NA,BTL 40-53 + 60-70cm,NA,NA,14.61580517,0.008449304175,0.0073,14.911,122.68,NA,44.92,21.57,1.561075661,1.795214052,40,Subsurface,NA,NA,NA,NA,BigTrail'18,NA,0.8695763376
Big Trail Lake,Lake,NA,BTL 80-90 + 100-110cm,NA,NA,8.120304569,0.3979695431,0.02405,10.506,160.88,NA,32.06,12.56,0.08253851798,0,80,Subsurface,NA,NA,NA,NA,BigTrail'18,NA,NA
Big Trail Lake,Lake,NA,BTL 120-130 + 138-148cm,NA,NA,9.478712871,0.08465346535,0.0143,9.471,190.6,NA,23.34,4.43,0.1872964169,-0.06868923815,120,Subsurface,NA,NA,NA,NA,BigTrail'18,NA,-2.726721419
Vault Lake,Lake,NA,VL 0.5-10.5cm,NA,NA,6.481651376,0.008664627931,0.0054,6.919,182.56,NA,24.28,4.9,0.8363696588,1.123665106,0.5,Surface,NA,NA,NA,NA,Vault'18,NA,0.7443228899
Vault Lake,Lake,NA,VL 10-20cm,NA,NA,5.185531496,0.469242126,NA,NA,NA,NA,20.05,3.18,-0.2566894835,0.07520013917,10,Surface,NA,NA,NA,NA,Vault'18,NA,-3.413417666
Vault Lake,Lake,NA,VL 20-30cm,NA,NA,5.357775591,0.008366141732,0.0058,5.524,217.52,NA,19.96,2.68,0,0.02363940036,20,Surface,NA,NA,NA,NA,Vault'18,NA,0
Vault Lake,Lake,NA,VL 30-40cm,NA,NA,5.481199187,0.008638211382,NA,NA,NA,NA,19.79,2.99,0.0233426704,0.06461324682,30,Subsurface,NA,NA,NA,NA,Vault'18,NA,0.3612675658
Vault Lake,Lake,NA,VL 40-50cm,NA,NA,5.279899497,0.008542713568,0.0094,5.138,246.56,NA,20.3,2.93,0,0,40,Subsurface,NA,NA,NA,NA,Vault'18,NA,NA
Vault Lake,Lake,NA,VL 50-60cm,NA,NA,5.910334347,0.00861195542,NA,NA,NA,NA,18.33,2.79,0.1118210863,0.2696641968,50,Subsurface,NA,NA,NA,NA,Vault'18,NA,0.4146679003
Vault Lake,Lake,NA,VL 60-70cm,NA,NA,6.411678116,0.008341511286,0.0064,6.221,297.44,NA,18.63,3.16,0.1466049383,0.3342550525,60,Subsurface,NA,NA,NA,NA,Vault'18,NA,0.4386020111
Big Trail Lake,Lake,NA,BTL 0010,NA,0.76,14.08682106,0.1147193592,NA,14.44229835,136,21.6,48.62087615,13.78947368,NA,0.09487923909,10,Surface,NA,NA,NA,NA,Big Trail Lake '17,NA,NA
Big Trail Lake,Lake,NA,BTL 0020,NA,0.894285714,17.75930713,0.05492610418,NA,8.114086978,127.9,21.85,42.19759926,12.14057508,NA,-0.2583532323,20,Surface,NA,NA,NA,NA,Big Trail Lake '17,NA,NA
Big Trail Lake,Lake,NA,BTL 0040,NA,0.303,NA,NA,NA,24.80814153,324.2,55.07,71.57598499,62.37623762,NA,5.960362141,40,Subsurface,NA,NA,NA,NA,Big Trail Lake '17,NA,NA
Big Trail Lake,Lake,NA,BTL 0060,NA,1.138888889,18.00059619,0.08696136818,NA,NA,NA,NA,35.04435995,11.31707317,NA,0.3408989245,60,Subsurface,NA,NA,NA,NA,Big Trail Lake '17,NA,NA
Big Trail Lake,Lake,NA,BTL 0080,NA,1.64875,9.624427372,0.5728907618,NA,14.09288791,274.5,32.27,21.53480071,2.956785444,NA,0.1045847474,80,Subsurface,NA,NA,NA,NA,Big Trail Lake '17,NA,NA
Blacksheep Pond,Lake,NA,BSP 0020,NA,0.213636364,14.89152343,0.2478929964,NA,NA,NA,NA,75.8974359,66.80851064,NA,NA,8.5,Surface,NA,NA,NA,NA,Blacksheep Pond '17,NA,NA
Blacksheep Pond,Lake,NA,BSP 0040,NA,0.515833333,10.14086501,1.112105709,0.0138,9.084671545,232.9,31.42,54.21597633,26.8174475,NA,2.859524904,28.5,Surface,NA,NA,NA,NA,Blacksheep Pond '17,NA,NA
Blacksheep Pond,Lake,NA,BSP 0060,NA,0.567142857,9.770476989,0.08850272427,NA,9.554434475,NA,NA,55.24239008,21.15869018,NA,9.183493844,48.5,Subsurface,NA,NA,NA,NA,Blacksheep Pond '17,NA,NA
