SiteCode,AlternateName,FireName,BurnYear,YearSampled,Age,AgeCat,ForestType1,ForestType2,Latitude,Longitude,Aspect,SlopeDegree,ElevationMax,Heatload,GSM,VSM,MoistureClass,OLDepth,pH,TotalVascCover,BareGroundCover,CoarseWoodyDebrisCover,LeaflitterCover,LichenCover,LeafLitterDepth,DecIV,TotalBasalArea,BpBA,Pb_BA,PmBA,PtBA,ShrubBA,TotalBiomass,Bpbiomass,Pb_biomass,Pmbiomass,Ptbiomass,Shrubbiomass,TotalDensity,Bpdensity,Pbdensity,Pmdensity,Ptdensity,Shrubdensity,LocationDescription,SiteType
BC04BF72,BF72,Boundary,2004,2013,9,1,BP_PT,BN,65.11722182,-147.4286218,139,3,489,-0.6222829,NA,NA,1.693112,8.85,5.278,52,33.6,12.8,56.8,21.6,0.2,2.6662604,4.658000025,2.907700998,0,0.222424754,0.69307459,0.834799684,232.6580135,134.7955178,0,8.212557884,50.87569741,38.77424039,10.42,2.22,0,2.98,2.54,2.68,Accessed from the Poker Flats road  site located near the BF72 site from the Joint Fire Science Program,Early succession Alaska paper birch stand
BC04BF80,BF80,Boundary,2004,2013,9,1,BP,BN,65.15127909,-147.4738664,225,12.5,256,-0.4986671,NA,NA,2.029093,11.44,5.234,90.4,13.6,7.2,80.8,4,0.05,2.815906,17.56684314,13.20317107,0,0.71408399,2.486099276,1.163488806,1600.263109,1209.580706,0,50.63791298,263.3855444,76.65894604,43.78,7.14,0,6.28,22.24,8.12,Accessed from CPCRW site located near the BF80 site from the Joint Fire Science Program,Early succession Alaska paper birch stand
BC04BF84,BF84,Boundary,2004,2013,9,1,PM,PM,65.15310455,-147.4773318,203,4,240,-0.6005904,NA,NA,3.739539,16.13,5.402,96,11.2,0,74.4,12.8,1.04,1.9032388,1.817097139,0.24080307,0,0.845559639,0.221639355,0.509095075,62.68118873,7.724533991,0,28.21855495,11.50229077,15.23580901,20.62,0.96,0,13.02,3.38,3.26,Accessed from CPCRW site located near the BF84 site from the Joint Fire Science Program,Early succession Black spruce stand
BC04BFNF,NA,Boundary,2004,2013,9,1,PM_PT,PT,65.15164273,-147.3411746,315,12.5,260,-0.880865,NA,NA,5,18.11,4.858,56,29.6,7.2,58.4,25.6,0.03,1.7975541,0.457258798,0.003298672,0,0.037699111,0.023247785,0.39301323,19.1039768,0.045034031,0,0.969143564,1.042322322,17.04747689,2.5,0.1,0,1.8,0.38,0.22,Along the Steese highway (between mileposts 34 and 35 - near the blueberry pick up spot) on the North facing slope on the S. side of road,Early succession Trembling aspen stand
BC04BFTA,NA,Boundary,2004,2013,9,1,PT_BP,PT,65.22519182,-147.1393918,135,6,311,-0.5847315,NA,NA,2,8.76,4.834,34.4,20,17.6,67.2,3.2,0.08,2.7379706,5.931798,1.841444481,0,0.312117221,2.97006161,0.808174687,368.3800256,84.44777833,0,11.40052358,241.4475081,31.08421557,17,2.32,0,3.56,8.34,2.78,Along the Steese highway passed McKay Creek on the N. side of road. ,Early succession Trembling aspen stand
BD691,BD691,Big Denver,1969,2008,39,2,PM_PT,PM,65.0948,-150.28196,234,0.3,125,-0.6636693,3.318,0.3,6,6,5.322,36.8,1.6,22.4,50.4,46.4,0,1.3932544,16.55,0,0.424900406,11.83170917,3.598066066,0.693506578,3293.096,0,105.3665536,2187.215568,925.3239567,75.18744261,5.66,0,0.04,5.06,0.26,0.3,Big Denver 1969 Fire scar off Elliott Hwy near Manley Hot Springs. N side of road.,Mid-succession Black spruce stand
BD693,BD693,Big Denver,1969,2008,39,2,PT,PT,65.10202,-150.26078,192,0.3,136,-0.6624281,2.52,0.248,6,5,5.954,52.8,0,5.6,81.6,16,1.1,2.0371922,14.432,0,0.19242255,2.732871449,10.48365176,0.674499943,3447.634,0,24.86773411,419.9021247,2852.53923,71.29731568,2.26,0,0.02,1.48,0.58,0.16,Big Denver 1969 Fire scar off Elliott Hwy near Manley Hot Springs and gravel pit. S side of road.,Mid-succession Trembling aspen stand
BD694,BD694,Big Denver,1969,2008,40,2,BP,BN,65.07396,-150.3371,160,7.7,220.6685791,-0.5381143,0.526,0.092,5.24314,2.8,4.21,39.2,0,4.8,97.6,0,2.4,3,32.416,27.69518128,0,0,0,4.718436546,11112.33,10528.58074,0,0,0,583.748038,1.19,0.89,0,0,0,0.3,Big Denver 1969 Fire scar off Elliott Hwy near Manley Hot Springs. S side of road.,Mid-succession Alaska paper birch stand
BD695,BD695,Big Denver,1969,2008,40,2,PM_BP,PM,65.15992,-150.09578,255,7.3,269.3565674,-0.6251961,0.686,0.04,5.439407,12,4.966,85.6,0,3.2,84,4,0.8,2.126561,24.152,5.710944205,0,10.5983199,0,7.844478316,5547.338,2030.087119,0,2696.005379,0,821.2446308,3.33,0.26,0,1.43,0,1.64,Big Denver 1969 Fire scar off Elliott Hwy near Manley Hot Springs. S side of road.,Mid-succession Black spruce stand
BD696,BD696,Big Denver,1969,2008,41,2,PT,PT,65.16165,-150.07312,206,4.8,344.6904907,-0.5881142,0.948,0.152,6,4.6,4.932,2.4,0,11.2,93.6,4,3.7,2.5926468,21.56,0.125663706,0,0.873598377,17.81793543,2.70271216,5869.354,39.02910277,0,157.5128061,5357.350766,309.0561208,0.77,0.01,0,0.25,0.37,0.13,Big Denver 1969 Fire scar off Elliott Hwy near Manley Hot Springs. S side of road.,Mid-succession Trembling aspen stand
BF811,BF811,Bolio,1981,2010,29,2,PT,PT,63.87131,-145.85481,308,1.5,496.4542542,-0.6613808,0.454,0.07,5.971579,3.2,3.064,90.4,0,0.8,88.8,16.8,0.6,2.3623735,6.172,0,0,1.431702312,4.373254053,0.227294228,1167.794,0,0,141.322885,986.7890981,17.01057075,1.79,0,0,0.61,1.04,0.1,Bolio 1981 Fire scar off Meadows Rd in Fort Greely near Delta Junction. Had to gain special permission to access.,Mid-succession Trembling aspen stand
