UniqueID,DATE,DATE (new),SITE,PLOT,TREE,NEW TREE TAG,SPECIES,DBH,New DBH,DA,TOP,LEAN,BOWED,DOWN,New Notes,NOTES,Office Notes,DAMAGE,LOCATION,SEVERITY,,,,,,,,,
DCM11_821,8/19/2014,7/31/2024,DCM1,1,821,,PICMAR,5.5,7.5,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM11_822,8/19/2014,7/31/2024,DCM1,1,822,,PICMAR,8.4,10,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM11_823,8/19/2014,7/31/2024,DCM1,1,823,,PICGLA,5.1,6.6,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM11_824,8/19/2014,7/31/2024,DCM1,1,824,,PICMAR,7.8,8.3,1,3,0,-9999,1,,,,,,,,,,,,,,,
DCM11_825,8/19/2014,7/31/2024,DCM1,1,825,,PICMAR,14.7,16.3,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM11_826,8/19/2014,7/31/2024,DCM1,1,826,,PICMAR,10.7,11.7,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM11_827,8/19/2014,7/31/2024,DCM1,1,827,,PICMAR,8,8.6,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM11_828,8/19/2014,7/31/2024,DCM1,1,828,,PICMAR,5.6,-9999,0,-99,1,-9999,0,,,,,,,,,,,,,,,
DCM11_829,8/19/2014,7/31/2024,DCM1,1,829,,PICMAR,10.1,-7777,0,-99,1,-9999,1,"cant find tag, but found tree",Out of order dead tree near 821,,,,,,,,,,,,,
DCM11_830,8/19/2014,7/31/2024,DCM1,1,830,,PICMAR,7.5,-7777,0,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM11_831,8/19/2014,7/31/2024,DCM1,1,831,,PICMAR,5.9,-7777,0,2,0,-9999,1,,,,,,,,,,,,,,,
DCM11_832,8/19/2014,7/31/2024,DCM1,1,832,,PICGLA,3.1,3.8,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM11_833,8/19/2014,7/31/2024,DCM1,1,833,,PICMAR,4.3,5.6,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM11_834,8/19/2014,7/31/2024,DCM1,1,834,,PICMAR,12.2,13.5,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM11_835,8/19/2014,7/31/2024,DCM1,1,835,,PICMAR,5,6.1,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM11_836,8/19/2014,7/31/2024,DCM1,1,836,,PICMAR,6.5,7.4,1,-99,0,-9999,1,,,,,,,,,,,,,,,
,,7/31/2024,DCM1,1,2755,,PICMAR,,2.8,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_837,8/19/2014,7/31/2024,DCM1,2,837,,PICMAR,14.1,15.9,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_838,8/19/2014,7/31/2024,DCM1,2,838,,PICMAR,6.5,7.2,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_839,8/19/2014,7/31/2024,DCM1,2,839,,PICMAR,6.7,8.5,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_840,8/19/2014,7/31/2024,DCM1,2,840,,PICMAR,8.2,-7777,0,-99,0,-9999,1,"cant find tag, but found tree",,,,,,,,,,,,,,
DCM12_841,8/19/2014,7/31/2024,DCM1,2,841,,PICMAR,3.2,5,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_842,8/19/2014,7/31/2024,DCM1,2,842,,PICMAR,9.2,9.5,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_843,8/19/2014,7/31/2024,DCM1,2,843,,PICMAR,7.1,8.2,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_844,8/19/2014,7/31/2024,DCM1,2,844,,PICMAR,5.4,-7777,0,1,0,-9999,1,,,,,,,,,,,,,,,
DCM12_845,8/19/2014,7/31/2024,DCM1,2,845,,PICMAR,5.9,6.7,1,5,0,-9999,1,,,,,,,,,,,,,,,
DCM12_846,8/19/2014,7/31/2024,DCM1,2,846,,PICGLA,5.7,6.8,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_847,8/19/2014,7/31/2024,DCM1,2,847,,PICGLA,11.2,12.1,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_848,8/19/2014,7/31/2024,DCM1,2,848,,PICGLA,4.7,5.5,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_849,8/19/2014,7/31/2024,DCM1,2,849,,PICGLA,8.3,9,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_850,8/19/2014,7/31/2024,DCM1,2,850,,PICGLA,11,11.7,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_851,8/19/2014,7/31/2024,DCM1,2,851,,PICMAR,4,5.6,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_852,8/19/2014,7/31/2024,DCM1,2,852,,PICMAR,9.4,11.1,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_853,8/19/2014,7/31/2024,DCM1,2,853,,PICMAR,5.1,-9999,0,-99,0,-9999,0,,,,,,,,,,,,,,,
DCM12_854,8/19/2014,7/31/2024,DCM1,2,854,,PICMAR,12.9,-7777,0,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_855,8/19/2014,7/31/2024,DCM1,2,855,,PICMAR,7.1,-7777,0,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_856,8/19/2014,7/31/2024,DCM1,2,856,,PICMAR,6.5,7,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_857,8/19/2014,7/31/2024,DCM1,2,857,,PICMAR,12.1,-7777,0,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_858,8/19/2014,7/31/2024,DCM1,2,858,,PICMAR,10.4,10.9,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_859,8/19/2014,7/31/2024,DCM1,2,859,,PICMAR,5.8,5.8,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_860,8/19/2014,7/31/2024,DCM1,2,860,,PICMAR,3.7,-7777,0,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_861,8/19/2014,7/31/2024,DCM1,2,861,,PICMAR,10.3,11.3,1,7,0,-9999,1,,,,,,,,,,,,,,,
DCM12_862,8/19/2014,7/31/2024,DCM1,2,862,,PICGLA,6.1,6.4,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_863,8/19/2014,7/31/2024,DCM1,2,863,,PICGLA,5.2,5.9,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_864,8/19/2014,7/31/2024,DCM1,2,864,,PICMAR,11.6,11.9,1,6,0,-9999,1,,,,,,,,,,,,,,,
DCM12_865,8/19/2014,7/31/2024,DCM1,2,865,,PICMAR,10.7,11,1,5,0,-9999,1,,,,,,,,,,,,,,,
DCM12_866,8/19/2014,7/31/2024,DCM1,2,866,,PICMAR,8.8,-7777,0,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_867,8/19/2014,7/31/2024,DCM1,2,867,,PICMAR,4.4,5.5,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM12_868,8/19/2014,7/31/2024,DCM1,2,868,,PICMAR,11,11.3,1,-99,0,-9999,1,,,,,,,,,,,,,,,
,,7/31/2024,DCM1,2,2756,,PICMAR,,3,1,-99,0,-9999,1,,,,,,,,,,,,,,,
