Site,YearBurn,Transect,AgeClass,Subsection,Spp,Cat,TS,BD_cm,DBH_cm,Alive,Notes
GC,87,1,Int,0_20,PM,Evg,Tree,0.8,,Y,
GC,87,1,Int,0_20,PT,Dec,Tree,,13.1,Y,
GC,87,1,Int,0_20,PM,Evg,Tree,0.4,,Y,
GC,87,1,Int,0_20,PM,Evg,Tree,0.2,,Y,
GC,87,1,Int,0_20,PB,Dec,Tree,1.7,,Y,
GC,87,1,Int,0_20,PT,Dec,Tree,,4.3,Y,
GC,87,1,Int,0_20,PM,Evg,Tree,1.5,,N,
GC,87,1,Int,0_20,PM,Evg,Tree,2,,Y,
GC,87,1,Int,0_20,PM,Evg,Tree,1.7,,Y,
GC,87,1,Int,0_20,PM,Evg,Tree,1,,Y,
GC,87,1,Int,0_20,PM,Evg,Tree,1.9,,Y,
GC,87,1,Int,0_20,PT,Dec,Tree,,0.5,Y,
GC,87,1,Int,0_20,PM,Evg,Tree,0.3,,Y,
GC,87,1,Int,0_20,PM,Evg,Tree,1.5,,Y,
GC,87,1,Int,0_20,PM,Evg,Tree,0.2,,Y,
GC,87,1,Int,0_20,PM,Evg,Tree,,4,N,
GC,87,1,Int,0_20,PM,Evg,Tree,2.7,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,0.2,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,,8.2,Y,
GC,87,1,Int,20_40,SA,Dec,Shrub,2.7,,Y,
GC,87,1,Int,20_40,SA,Dec,Shrub,2.5,,N,
GC,87,1,Int,20_40,SA,Dec,Shrub,2.6,,Y,
GC,87,1,Int,20_40,SA,Dec,Shrub,2.2,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,,7.3,Y,
GC,87,1,Int,20_40,PM,Evg,Tree,1.4,,Y,
GC,87,1,Int,20_40,SA,Dec,Shrub,0.6,,Y,
GC,87,1,Int,20_40,SA,Dec,Shrub,1.1,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,0.8,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,0.9,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,20_40,SA,Dec,Shrub,0.1,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,1.6,,Y,
GC,87,1,Int,20_40,PM,Evg,Tree,2.2,,Y,
GC,87,1,Int,20_40,PM,Evg,Tree,1.8,,N,
GC,87,1,Int,20_40,SA,Dec,Shrub,0.9,,Y,
GC,87,1,Int,20_40,SA,Dec,Shrub,0.7,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,,9.7,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,0.2,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,0.1,,Y,
GC,87,1,Int,20_40,BN,Dec,Tree,1,,Y,
GC,87,1,Int,20_40,BN,Dec,Tree,1.1,,N,
GC,87,1,Int,20_40,BN,Dec,Tree,2.3,,N,
GC,87,1,Int,20_40,BN,Dec,Tree,2.3,,Y,
GC,87,1,Int,20_40,BN,Dec,Tree,1.1,,Y,
GC,87,1,Int,20_40,BN,Dec,Tree,0.7,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,0.1,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,0.2,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,0.1,,Y,
GC,87,1,Int,20_40,SA,Dec,Shrub,0.6,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,0.5,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,0.5,,Y,
GC,87,1,Int,20_40,PM,Evg,Tree,0.1,,Y,
GC,87,1,Int,20_40,PM,Evg,Tree,,6,N,
GC,87,1,Int,40_60,PM,Evg,Tree,2,,Y,
GC,87,1,Int,40_60,PM,Evg,Tree,0.2,,Y,
GC,87,1,Int,40_60,PM,Evg,Tree,0.5,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,,12.7,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,,8.2,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,,0.8,Y,
GC,87,1,Int,40_60,PM,Evg,Tree,1.9,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,1.1,,Y,
GC,87,1,Int,40_60,PM,Evg,Tree,1.1,,Y,
GC,87,1,Int,40_60,PM,Evg,Tree,1.7,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.1,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.1,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,1,,N,
GC,87,1,Int,40_60,PT,Dec,Tree,,0.6,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,1,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.9,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,1.1,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,1.1,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.7,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,1,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.7,,N,
GC,87,1,Int,40_60,PT,Dec,Tree,1.1,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.1,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.1,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.7,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.9,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,1.1,,N,
GC,87,1,Int,40_60,PT,Dec,Tree,0.1,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.6,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.4,,Y,
