"project","plot","subplot","DCM.cat","ABMC.cat"
"chrono","chrono_BD691","chrono_BD691_100","deciduous","aspen"
"chrono","chrono_BD691","chrono_BD691_20","mixed","mixed"
"chrono","chrono_BD691","chrono_BD691_40","conifer","conifer"
"chrono","chrono_BD691","chrono_BD691_60","deciduous","aspen"
"chrono","chrono_BD691","chrono_BD691_80","deciduous","poplar"
"chrono","chrono_BD692","chrono_BD692_100","conifer","conifer"
"chrono","chrono_BD692","chrono_BD692_20","conifer","conifer"
"chrono","chrono_BD692","chrono_BD692_40","conifer","conifer"
"chrono","chrono_BD692","chrono_BD692_60","conifer","conifer"
"chrono","chrono_BD692","chrono_BD692_80","conifer","conifer"
"chrono","chrono_BD693","chrono_BD693_100","deciduous","aspen"
"chrono","chrono_BD693","chrono_BD693_20","conifer","conifer"
"chrono","chrono_BD693","chrono_BD693_40","deciduous","aspen"
"chrono","chrono_BD693","chrono_BD693_60","deciduous","aspen"
"chrono","chrono_BD693","chrono_BD693_80","deciduous","aspen"
"chrono","chrono_BD694","chrono_BD694_100","deciduous","birch"
"chrono","chrono_BD694","chrono_BD694_20","deciduous","birch"
"chrono","chrono_BD694","chrono_BD694_40","deciduous","birch"
"chrono","chrono_BD694","chrono_BD694_60","deciduous","birch"
"chrono","chrono_BD694","chrono_BD694_80","deciduous","birch"
"chrono","chrono_BD695","chrono_BD695_100","mixed","mixed"
"chrono","chrono_BD695","chrono_BD695_20","mixed","mixed"
"chrono","chrono_BD695","chrono_BD695_40","conifer","conifer"
"chrono","chrono_BD695","chrono_BD695_60","conifer","conifer"
"chrono","chrono_BD695","chrono_BD695_80","mixed","mixed"
"chrono","chrono_BD696","chrono_BD696_100","deciduous","aspen"
"chrono","chrono_BD696","chrono_BD696_20","deciduous","aspen"
"chrono","chrono_BD696","chrono_BD696_40","deciduous","aspen"
"chrono","chrono_BD696","chrono_BD696_60","deciduous","aspen"
"chrono","chrono_BD696","chrono_BD696_80","deciduous","aspen"
"chrono","chrono_BF811","chrono_BF811_100","deciduous","aspen"
"chrono","chrono_BF811","chrono_BF811_20","deciduous","aspen"
"chrono","chrono_BF811","chrono_BF811_60","deciduous","aspen"
"chrono","chrono_BF811","chrono_BF811_80","deciduous","aspen"
"chrono","chrono_BF812","chrono_BF812_100","deciduous","aspen"
"chrono","chrono_BF812","chrono_BF812_20","deciduous","aspen"
"chrono","chrono_BF812","chrono_BF812_40","deciduous","aspen"
"chrono","chrono_BF812","chrono_BF812_60","deciduous","aspen"
"chrono","chrono_BF812","chrono_BF812_80","deciduous","aspen"
"chrono","chrono_BG471","chrono_BG471_100","mixed","mixed"
"chrono","chrono_BG471","chrono_BG471_20","mixed","mixed"
"chrono","chrono_BG471","chrono_BG471_40","deciduous","birch"
"chrono","chrono_BG471","chrono_BG471_60","deciduous","birch"
"chrono","chrono_BG471","chrono_BG471_80","deciduous","aspen"
"chrono","chrono_BG472","chrono_BG472_100","mixed","mixed"
"chrono","chrono_BG472","chrono_BG472_20","deciduous","birch"
"chrono","chrono_BG472","chrono_BG472_40","deciduous","aspen"
"chrono","chrono_BG472","chrono_BG472_60","deciduous","aspen"
"chrono","chrono_BG472","chrono_BG472_80","deciduous","aspen"
"chrono","chrono_BG473","chrono_BG473_100","conifer","conifer"
"chrono","chrono_BG473","chrono_BG473_20","conifer","conifer"
"chrono","chrono_BG473","chrono_BG473_60","conifer","conifer"
"chrono","chrono_BG473","chrono_BG473_80","mixed","mixed"
"chrono","chrono_BG474","chrono_BG474_20","conifer","conifer"
"chrono","chrono_BG474","chrono_BG474_60","conifer","conifer"
"chrono","chrono_BG474","chrono_BG474_80","conifer","conifer"
"chrono","chrono_CD581","chrono_CD581_100","conifer","conifer"
"chrono","chrono_CD581","chrono_CD581_20","conifer","conifer"
"chrono","chrono_CD581","chrono_CD581_40","conifer","conifer"
"chrono","chrono_CD581","chrono_CD581_60","conifer","conifer"
"chrono","chrono_CD581","chrono_CD581_80","conifer","conifer"
"chrono","chrono_CD582","chrono_CD582_100","deciduous","birch"
"chrono","chrono_CD582","chrono_CD582_20","deciduous","birch"
"chrono","chrono_CD582","chrono_CD582_40","deciduous","birch"
"chrono","chrono_CD582","chrono_CD582_60","deciduous","birch"
"chrono","chrono_CD582","chrono_CD582_80","deciduous","birch"
"chrono","chrono_CD583","chrono_CD583_100","deciduous","birch"
