"project","plot","subplot","DCM.cat","ABMC.cat","StdAge"
"chrono","chrono_BD691","chrono_BD691_100","conifer","conifer",39
"chrono","chrono_BD691","chrono_BD691_20","conifer","conifer",39
"chrono","chrono_BD691","chrono_BD691_40","conifer","conifer",39
"chrono","chrono_BD691","chrono_BD691_60","mixed","mixed",39
"chrono","chrono_BD691","chrono_BD691_80","conifer","conifer",39
"chrono","chrono_BD692","chrono_BD692_100","conifer","conifer",NA
"chrono","chrono_BD692","chrono_BD692_20","conifer","conifer",NA
"chrono","chrono_BD692","chrono_BD692_40","conifer","conifer",NA
"chrono","chrono_BD692","chrono_BD692_60","conifer","conifer",NA
"chrono","chrono_BD692","chrono_BD692_80","conifer","conifer",NA
"chrono","chrono_BD693","chrono_BD693_100","deciduous","aspen",39
"chrono","chrono_BD693","chrono_BD693_20","conifer","conifer",39
"chrono","chrono_BD693","chrono_BD693_40","mixed","mixed",39
"chrono","chrono_BD693","chrono_BD693_60","deciduous","aspen",39
"chrono","chrono_BD693","chrono_BD693_80","mixed","mixed",39
"chrono","chrono_BD694","chrono_BD694_100","deciduous","birch",40
"chrono","chrono_BD694","chrono_BD694_20","deciduous","birch",40
"chrono","chrono_BD694","chrono_BD694_40","deciduous","birch",40
"chrono","chrono_BD694","chrono_BD694_60","deciduous","birch",40
"chrono","chrono_BD694","chrono_BD694_80","deciduous","birch",40
"chrono","chrono_BD695","chrono_BD695_100","mixed","mixed",40
"chrono","chrono_BD695","chrono_BD695_20","conifer","conifer",40
"chrono","chrono_BD695","chrono_BD695_40","conifer","conifer",40
"chrono","chrono_BD695","chrono_BD695_60","conifer","conifer",40
"chrono","chrono_BD695","chrono_BD695_80","mixed","mixed",40
"chrono","chrono_BD696","chrono_BD696_100","deciduous","aspen",41
"chrono","chrono_BD696","chrono_BD696_20","deciduous","aspen",41
"chrono","chrono_BD696","chrono_BD696_40","deciduous","aspen",41
"chrono","chrono_BD696","chrono_BD696_60","mixed","mixed",41
"chrono","chrono_BD696","chrono_BD696_80","deciduous","aspen",41
"chrono","chrono_BF811","chrono_BF811_100","deciduous","aspen",29
"chrono","chrono_BF811","chrono_BF811_20","mixed","mixed",29
"chrono","chrono_BF811","chrono_BF811_40","conifer","conifer",NA
"chrono","chrono_BF811","chrono_BF811_60","deciduous","aspen",29
"chrono","chrono_BF811","chrono_BF811_80","deciduous","aspen",29
"chrono","chrono_BF812","chrono_BF812_100","deciduous","aspen",29
"chrono","chrono_BF812","chrono_BF812_20","deciduous","aspen",29
"chrono","chrono_BF812","chrono_BF812_40","deciduous","aspen",29
"chrono","chrono_BF812","chrono_BF812_60","deciduous","aspen",29
"chrono","chrono_BF812","chrono_BF812_80","deciduous","aspen",29
"chrono","chrono_BF813","chrono_BF813_100","conifer","conifer",NA
"chrono","chrono_BF813","chrono_BF813_20","conifer","conifer",NA
"chrono","chrono_BF813","chrono_BF813_40","conifer","conifer",NA
"chrono","chrono_BF813","chrono_BF813_60","conifer","conifer",NA
"chrono","chrono_BF813","chrono_BF813_80","conifer","conifer",NA
"chrono","chrono_BG471","chrono_BG471_100","mixed","mixed",62
"chrono","chrono_BG471","chrono_BG471_20","mixed","mixed",62
"chrono","chrono_BG471","chrono_BG471_40","mixed","mixed",62
"chrono","chrono_BG471","chrono_BG471_60","mixed","mixed",62
"chrono","chrono_BG471","chrono_BG471_80","mixed","mixed",62
"chrono","chrono_BG472","chrono_BG472_100","conifer","conifer",62
"chrono","chrono_BG472","chrono_BG472_20","deciduous","aspen",62
"chrono","chrono_BG472","chrono_BG472_40","deciduous","aspen",62
"chrono","chrono_BG472","chrono_BG472_60","deciduous","aspen",62
"chrono","chrono_BG472","chrono_BG472_80","deciduous","aspen",62
"chrono","chrono_BG473","chrono_BG473_100","conifer","conifer",62
"chrono","chrono_BG473","chrono_BG473_20","conifer","conifer",62
"chrono","chrono_BG473","chrono_BG473_40","conifer","conifer",NA
"chrono","chrono_BG473","chrono_BG473_60","conifer","conifer",62
"chrono","chrono_BG473","chrono_BG473_80","conifer","conifer",62
"chrono","chrono_BG474","chrono_BG474_100","conifer","conifer",NA
"chrono","chrono_BG474","chrono_BG474_20","conifer","conifer",NA
"chrono","chrono_BG474","chrono_BG474_40","conifer","conifer",NA
"chrono","chrono_BG474","chrono_BG474_60","conifer","conifer",NA
"chrono","chrono_BG474","chrono_BG474_80","conifer","conifer",NA
"chrono","chrono_CD581","chrono_CD581_100","conifer","conifer",50
"chrono","chrono_CD581","chrono_CD581_20","conifer","conifer",50
"chrono","chrono_CD581","chrono_CD581_40","conifer","conifer",50
"chrono","chrono_CD581","chrono_CD581_60","conifer","conifer",50
"chrono","chrono_CD581","chrono_CD581_80","conifer","conifer",50
"chrono","chrono_CD582","chrono_CD582_100","deciduous","birch",NA
"chrono","chrono_CD582","chrono_CD582_20","deciduous","birch",NA
"chrono","chrono_CD582","chrono_CD582_40","deciduous","birch",NA
"chrono","chrono_CD582","chrono_CD582_60","deciduous","birch",NA
"chrono","chrono_CD582","chrono_CD582_80","deciduous","birch",NA
"chrono","chrono_CD583","chrono_CD583_100","deciduous","birch",NA
"chrono","chrono_CD583","chrono_CD583_20","deciduous","birch",NA
"chrono","chrono_CD583","chrono_CD583_40","mixed","mixed",NA
"chrono","chrono_CD583","chrono_CD583_60","deciduous","birch",NA
"chrono","chrono_CD583","chrono_CD583_80","deciduous","birch",NA
"chrono","chrono_GC871","chrono_GC871_100","deciduous","aspen",21
"chrono","chrono_GC871","chrono_GC871_20","mixed","mixed",21
"chrono","chrono_GC871","chrono_GC871_40","deciduous","aspen",21
"chrono","chrono_GC871","chrono_GC871_60","deciduous","aspen",21
"chrono","chrono_GC871","chrono_GC871_80","deciduous","aspen",21
"chrono","chrono_GC872","chrono_GC872_100","deciduous","aspen",NA
