Site,Transect,Subsection,Stage,Soil Type,Horizon,Horizon Depth (cm),Rock-adjusted Volume (cm3),Coarse weight (g dry coarse),Soil Wt (g dry soil),Soil Bulk Density (g cm3),Coarse material density (g coarse cm3),Soil C(%),Soil N(%),g dry soil (m-2),Soil C (g C m-2),Coarse C (g C m-2),Soil & Coarse (g C m-2),Soil N (g N m-2),Coarse N (g N m-2),Soil & Coarse (g N m-2),C check,CN
BD69,1,20,Mid,1_OM,0_Litter,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BD69,1,20,Mid,1_OM,1_0-5,5.00,192.42,2.43,19.81,0.103,0.013,34.52,1.31,5147.84,1776.88,315.85,2092.73,67.44,1.58,69.02,1776.88,30.32
BD69,1,20,Mid,1_OM,2_5-10,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BD69,1,20,Mid,1_OM,3_10+,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BD69,1,20,Mid,1_OM,4_Total,5.00,192.42,2.43,19.81,0.103,0.013,34.52,1.31,5147.84,1776.88,315.85,2092.73,67.44,1.58,69.02,1776.88,30.32
BD69,1,20,Mid,1_OM,5_Total OM,5.00,192.42,2.43,19.81,0.103,0.013,34.52,1.31,5147.84,1776.88,315.85,2092.73,67.44,1.58,69.02,1776.88,30.32
BD69,1,20,Mid,2_MS,1_0-5,5.00,192.42,1.37,92.02,0.478,0.007,8.63,0.32,23911.71,2063.28,178.22,2241.50,77.55,0.89,78.44,2063.28,28.58
BD69,1,20,Mid,2_MS,2_5-10,5.00,192.42,1.61,164.25,0.854,0.008,2.95,0.13,42679.98,1257.42,209.28,1466.70,54.31,1.05,55.36,1257.42,26.50
BD69,1,20,Mid,2_MS,4_Total,10.00,384.85,2.98,256.27,0.666,0.008,4.99,0.20,66591.69,3320.70,387.50,3708.20,131.86,1.94,133.80,3320.70,27.72
BD69,1,20,Mid,3_Soil,6_Tot OM MS,15.00,577.27,5.41,276.09,,,,,71739.54,5097.58,703.35,5800.93,199.29,3.52,202.81,5097.58,28.60
BD69,1,40,Mid,1_OM,0_Litter,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BD69,1,40,Mid,1_OM,1_0-5,5.00,192.42,0.00,10.47,0.054,0.000,44.34,1.34,2721.63,1206.71,0.00,1206.71,36.44,0.00,36.44,1206.71,33.11
