"fire_scar","fire_year","site","plot","tree.age","biomass.as","biomass.br","biomass.bp","biomass.bs","biomass.ws","biomass.unk.con","biomass","biomass.con","biomass.dec","density.as","density.br","density.bp","density.bs","density.ws","density.unk.con","density","study","cores_processed","postfire.age"
"Shovel Creek",2019,27,"A",105,0,21363.3259240563,0,0,0,0,21363.3259240563,0,21363.3259240563,0,0.35,0,0,0,0,0.35,"FiSL","1",3
"Shovel Creek",2019,27,"B",90,0,13798.2809777464,0,0,0,0,13798.2809777464,0,13798.2809777464,0,0.2,0,0,0,0,0.2,"FiSL","1",3
"Shovel Creek",2019,27,"C",85,0,19646.963832635,0,0,0,0,19646.963832635,0,19646.963832635,0,0.3,0,0,0,0,0.3,"FiSL","1",3
"Aggie Creek",2015,44,"A",69,0,24160.3611556112,0,0,0,0,24160.3611556112,0,24160.3611556112,0,0.25,0,0,0,0,0.25,"FiSL","1",7
"Aggie Creek",2015,44,"B",72,0,20495.6686399578,0,773.53873599454,0,0,21269.2073759523,773.53873599454,20495.6686399578,0,0.3,0,0.05,0,0,0.35,"FiSL","1",7
"Aggie Creek",2015,44,"C",76,0,23811.8986786664,0,0,0,0,23811.8986786664,0,23811.8986786664,0,0.35,0,0,0,0,0.35,"FiSL","1",7
"2019MA014",2019,140,"A",81,10917.4144541282,0,0,2128.52999997441,0,0,13045.9444541026,2128.52999997441,10917.4144541282,0.25,0,0,0.25,0,0,0.5,"FiSL","1",3
"2019MA014",2019,140,"B",87,9342.87148567972,0,0,4153.51526881881,0,0,13496.3867544985,4153.51526881881,9342.87148567972,0.25,0,0,0.45,0,0,0.7,"FiSL","1",3
"2019MA014",2019,140,"C",81,5702.78719294948,0,0,3742.06407531714,0,0,9444.85126826662,3742.06407531714,5702.78719294948,0.15,0,0,0.35,0,0,0.5,"FiSL","1",3
"Shovel Creek",2019,29,"A",78,0,15393.7327914681,0,3237.89127484103,0,0,18631.6240663091,3237.89127484103,15393.7327914681,0,0.25,0,0.1,0,0,0.35,"FiSL","1",3
"Shovel Creek",2019,29,"B",78,0,20757.2610741188,0,3277.54812996486,0,0,24034.8092040836,3277.54812996486,20757.2610741188,0,0.4,0,0.15,0,0,0.55,"FiSL","1",3
"Shovel Creek",2019,29,"C",84,0,0,0,521.401788491623,0,0,521.401788491623,521.401788491623,0,0,0,0,0.15,0,0,0.15,"FiSL","1",3
"Aggie Creek",2015,43,"A",73,0,19892.2875658396,0,0,0,0,19892.2875658396,0,19892.2875658396,0,0.5,0,0,0,0,0.5,"FiSL","1",7
"Aggie Creek",2015,43,"B",71,0,11257.5582679268,0,0,0,0,11257.5582679268,0,11257.5582679268,0,0.35,0,0,0,0,0.35,"FiSL","1",7
"Aggie Creek",2015,43,"C",74,0,6871.598120526,0,0,0,0,6871.598120526,0,6871.598120526,0,0.15,0,0,0,0,0.15,"FiSL","1",7
"Shovel Creek",2019,20,"A",81,0,13367.9087166603,0,1113.55389095387,0,0,14481.4626076142,1113.55389095387,13367.9087166603,0,0.25,0,0.15,0,0,0.4,"FiSL","1",3
"Shovel Creek",2019,20,"C",86,0,12524.2065797904,0,0,0,0,12524.2065797904,0,12524.2065797904,0,0.3,0,0,0,0,0.3,"FiSL","1",3
"Shovel Creek",2019,20,"B",89,0,10170.4189189214,0,4973.06399947003,0,0,15143.4829183914,4973.06399947003,10170.4189189214,0,0.25,0,0.2,0,0,0.45,"FiSL","1",3
"2019MA014",2019,141,"A",81,20033.8710231261,0,0,1074.97771591016,0,0,21108.8487390362,1074.97771591016,20033.8710231261,0.5,0,0,0.35,0,0,0.85,"FiSL","1",3
"2019MA014",2019,141,"B",83,4201.71481597583,0,95.9240139339179,2225.89648286011,0,0,6523.53531276986,2225.89648286011,4297.63882990975,0.15,0,0.05,0.9,0,0,1.1,"FiSL","1",3
"2019MA014",2019,141,"C",77,1602.8915898232,0,2419.27456878378,2141.33775757696,0,0,6163.50391618394,2141.33775757696,4022.16615860698,0.1,0,0.05,0.8,0,0,0.95,"FiSL","1",3
"Hess Creek",2019,5,"A",75,0,4263.86870393719,0,0,87.9807134231122,0,4351.84941736031,87.9807134231122,4263.86870393719,0,0.5,0,0,0.1,0,0.6,"FiSL","1",3
"Hess Creek",2019,5,"B",49,0,1032.41608380265,0,0,56.431678130668,0,1088.84776193332,56.431678130668,1032.41608380265,0,0.15,0,0,0.1,0,0.25,"FiSL","1",3
"Hess Creek",2019,5,"C",70,0,438.922977516367,0,0,0,0,438.922977516367,0,438.922977516367,0,0.15,0,0,0,0,0.15,"FiSL","1",3
"2019BC005",2019,62,"A",86,822.753936151993,0,0,792.878348401283,0,0,1615.63228455328,792.878348401283,822.753936151993,0.05,0,0,0.85,0,0,0.9,"FiSL","1",3
"2019BC005",2019,62,"B",88,10755.8887976174,0,0,277.732022623215,0,0,11033.6208202406,277.732022623215,10755.8887976174,0.35,0,0,0.45,0,0,0.8,"FiSL","1",3
