"Region_PSP","scientific","common","decidBA","conifBA","Longitude","Latitude","surveyyr","ecoregion","site","ASPC","SLOP","SOMO","StdAge","biomass_kgM2","density_m2","SOORCM","SOOICM","SOOECM","SOOACM","ELEV","DF"
"13_10001","Betula neoalaskana","Alaskan birch",24.7657972654935,1.40130061901513,-148.257,64.80426,1994,"ALASKA BOREAL INTERIOR",1001,302,12,5,55,11.981966763693,0.106255220096569,7.62,3.81,3.81,0,84.1248,"CAFI"
"13_10002","Betula neoalaskana","Alaskan birch",18.9046667315806,0.894848568387445,-148.25743,64.80444,1994,"ALASKA BOREAL INTERIOR",1001,302,26,6,55,9.14179797198073,0.0963710135759577,12.065,2.54,5.08,4.445,81.0768,"CAFI"
"13_10003","Picea glauca","White spruce",18.2774082836331,6.34869214667728,-148.25816,64.80421,1994,"ALASKA BOREAL INTERIOR",1001,270,25,6,55,2.15919817998621,0.061776290753819,8.89,2.54,6.35,0,78.0288,"CAFI"
"13_10004","Picea glauca","White spruce",12.6623930971905,19.061757744718,-146.82965,64.85097,1994,"ALASKA BOREAL INTERIOR",1002,0,1,5,35,10.1605531193417,0.0321236711919859,10.795,6.35,4.445,0,57.6072,"CAFI"
"13_10005","Picea glauca","White spruce",17.8083401929235,27.7060381378445,-146.8285,64.85122,1994,"ALASKA BOREAL INTERIOR",1002,0,0,5,35,13.2146968586435,0.0667183940141245,7.62,3.81,3.81,0,54.2544,"CAFI"
"13_10006","Betula neoalaskana","Alaskan birch",5.22720339954266,22.2390337328575,-146.82867,64.85172,1994,"ALASKA BOREAL INTERIOR",1002,0,1,5,35,2.57708694072322,0.0197684130412221,11.43,3.81,7.62,0,56.9976,"CAFI"
"13_10007","Betula neoalaskana","Alaskan birch",14.8585432907605,2.24464153562407,-148.63641,64.78607,1994,"ALASKA BOREAL INTERIOR",1003,78,5,7,45,7.06193184651064,0.0790736521648883,5.715,1.905,3.175,0.635,59.436,"CAFI"
"13_10008","Picea glauca","White spruce",19.7562364516387,5.76055181762188,-148.63717,64.78654,1994,"ALASKA BOREAL INTERIOR",1003,89,6,6,45,2.16383740783237,0.0321236711919859,6.35,3.81,0,0,54.864,"CAFI"
"13_10009","Picea glauca","White spruce",18.0057601059839,8.07672334159712,-148.63577,64.78655,1994,"ALASKA BOREAL INTERIOR",1003,99,8,6,45,2.89631198303177,0.0568341874935135,5.08,3.175,1.27,0.635,56.6928,"CAFI"
"13_10010","Picea glauca","White spruce",8.05844518080118,17.9250008860102,-142.98146,63.35302,1994,"ALASKA BOREAL INTERIOR",1004,194,2,6,83,6.27930465690445,0.155676252699624,10.16,1.27,8.89,0,150.5712,"CAFI"
"13_10011","Picea mariana","Black spruce",15.3743560435467,9.34142231747515,-142.98185,63.35262,1994,"ALASKA BOREAL INTERIOR",1004,268,1,6,83,0.0298942195419972,0.00247105163015276,12.065,8.89,3.175,0,150.876,"CAFI"
