Site,Crew,Core_number,Bag_number,Top_depth,Bottom_depth,Notes,Date,Creation_timestamp,Device::Device_name
Apex Beta,jh ko,1,1,0,27,,04/09/2015,04/09/2015 11:37:49,Jamie's iPad 
Apex Beta,jh ko,1,2,27,70,,04/09/2015,04/09/2015 11:38:28,Jamie's iPad 
Apex Beta,jh ko,1,3,70,87,,04/09/2015,04/09/2015 11:38:45,Jamie's iPad 
Apex Beta,jh ko,1,4,87,117,,04/09/2015,04/09/2015 12:37:29,Jamie's iPad 
Apex Beta,jh ko,1,5,117,137,,04/09/2015,04/09/2015 12:37:53,Jamie's iPad 
Apex Beta,jh ko,1,6,137,153,,04/09/2015,04/09/2015 12:38:52,Jamie's iPad 
Apex Beta,jh ko,2,1,0,12,,04/09/2015,04/09/2015 12:49:28,Jamie's iPad 
Apex Beta,jh ko,2,2,12,73,,04/09/2015,04/09/2015 12:49:49,Jamie's iPad 
Apex Beta,jh ko,2,3,73,88,,04/09/2015,04/09/2015 12:50:12,Jamie's iPad 
Apex Beta,jh ko,3,1,0,45,,04/15/2015,04/15/2015 13:31:13,Jamie's iPad 
Apex Beta,jh ko,3,2,45,68,,04/15/2015,04/15/2015 13:32:45,Jamie's iPad 
Apex Beta,jh ko,3,3,68,88,,04/15/2015,04/15/2015 13:33:04,Jamie's iPad 
Apex Beta,jh ko,3,4,88,112,,04/15/2015,04/15/2015 13:42:13,Jamie's iPad 
Apex Beta,jh ko,3,5,112,128,start of ice,04/15/2015,04/15/2015 13:42:58,Jamie's iPad 
Apex Beta,jh ko,3,6,128,152,ice,04/15/2015,04/15/2015 13:48:33,Jamie's iPad 
Apex Beta,jh ko,3,7,152,188,,04/15/2015,04/15/2015 13:49:22,Jamie's iPad 
Apex Beta,jh ko,3,8,188,215,some mineral,04/15/2015,04/15/2015 13:59:12,Jamie's iPad 
Apex Beta,jh ko,3,9,215,236,,04/15/2015,04/15/2015 13:59:44,Jamie's iPad 
Apex Beta,jh ko,3,10,236,264,,04/15/2015,04/15/2015 14:18:27,Jamie's iPad 
Apex Beta,jh ko,4,1,0,22,,04/15/2015,04/15/2015 14:59:26,Jamie's iPad 
Apex Beta,jh ko,4,2,22,26,,04/15/2015,04/15/2015 14:59:47,Jamie's iPad 
Apex Beta,jh ko,4,3,26,56,,04/15/2015,04/15/2015 15:00:05,Jamie's iPad 
Apex Beta,jh ko,4,4,56,70,,04/15/2015,04/15/2015 15:00:24,Jamie's iPad 
Apex Beta,jh ko,4,5,70,81,,04/15/2015,04/15/2015 15:01:01,Jamie's iPad 
BD-5,"sf, qd",1,1,0,10,,04/09/2015,04/09/2015 17:14:04,Shalane's iPad
BD-5,"sf, qd",1,2,10,28,broke,04/09/2015,04/09/2015 17:17:50,Shalane's iPad
BD-5,"sf, qd",1,3,28,35,,04/09/2015,04/09/2015 17:14:29,Shalane's iPad
