Date,Site Name,Fire Name,Observers,Weather,Thickness 1,Thickness 2,Thickness 3,Thickness 4,Thickness 5,Thickness 6,Thickness 7,Thickness 8,Thickness 9,Thickness 10,Notes,Tussoks present?,Tussok HT 1,TH 2,TH 3,TH 4,TH 5,TH 6,TH 7,TH 8,TH 9,TH 10
8/16/2011,BD-1,Big Denver,BC,sunny,12,9,10,7,9,14,11,7,8,9,,no,,,,,,,,,,
8/17/2011,BD-10,Big Denver,BC,sunny,8,5,9,7,12,8,7,9,7,6,,no,,,,,,,,,,
8/16/2011,BD-11,Big Denver,BC,sunny,2,3,4,3,4,4,5,3,3,3,,no,,,,,,,,,,
8/16/2011,BD-2,Big Denver,BC,partly sunny,6,8,9,10,7,9,10,6,11,3,,no,,,,,,,,,,
8/18/2011,BD-3,Big Denver,BC,sunny,8,7,8,6,4,7,8,7,6,9,,no,,,,,,,,,,
8/18/2011,BD-4,Big Denver,BC,sunny,10,9,10,8,10,8,11,13,13,19,,no,,,,,,,,,,
8/16/2011,BD-5,Big Denver,BC,sunny,22,28,35,30,55,41,30,28,35,43,,yes,13,40,28,20,25,10,35,15,10,20
8/17/2011,BD-6,Big Denver,BC,?,11,8,5,10,10,8,9,10,8,7,,no,,,,,,,,,,
8/16/2011,BD-7,Big Denver,BC,sunny,5,5,5,5,6,7,5,8,6,7,,no,,,,,,,,,,
8/17/2011,BD-8,Big Denver,BC,sunny w/ light rain,deep,deep,deep,deep,deep,deep,deep,deep,deep,deep,not done due to thickness,no,,,,,,,,,,
8/17/2011,BD-9,Big Denver,BC,partly sunny,5,7,3,6,4,6,6,4,2,3,,no,,,,,,,,,,
8/31/2011,GR-10,Gerstle River,BC,sunny,29,26,25,24,2,20,18,17,19,15,Thickness 5 is actually 2cm,no,,,,,,,,,,
8/31/2011,GR-2,Gerstle River,BC,overcast,5.5,6,6,17,10,12,17,12,6.5,?,,no,,,,,,,,,,
8/30/2011,GR-3,Gerstle River,BC,?,5,14,15,9,9.5,11.5,14,8,8.5,10,,no,,,,,,,,,,
8/30/2011,GR-4,Gerstle River,BC,sunny,6.5,4,9,10,9.5,6,4,7,7,7,,no,,,,,,,,,,
8/30/2011,GR-5,Gerstle River,BC,sunny,10,13,7.5,11.5,6.5,7,6,5.5,11,13,,no,,,,,,,,,,
8/30/2011,GR-6,Gerstle River,BC,sunny,7,17,9,6,5,11,9,7,6,11,,no,,,,,,,,,,
8/29/2011,GR-7,Gerstle River,BC,sunny,3,5,2,6,3,3,5,3,1,4,,no,,,,,,,,,,
8/29/2011,GR-8,Gerstle River,BC,sunny,22,19,18,50,17,24,16,11,48,35,,no,,,,,,,,,,
8/30/2011,GR-9,Gerstle River,BC,sun,50+,50+,50+,50+,50+,50+,50+,50+,50+,50+,"organics not done because SUPER deep, all 50+cm",no,,,,,,,,,,
8/31/2011,GR-U1,Gerstle River,BC,mostly cloudy,20,18,21,17.5,20,26,22,19,19,19,,no,,,,,,,,,,
8/9/2011,MD-1,Murphy Dome,"BC, JH, CL, CN, LRC",light rain,7,3,6,4,8,4,5,4,6,5,,no,,,,,,,,,,
8/9/2011,MD-2,Murphy Dome,"BC, CN",partly sunny,5,4,4,4,5,5,7,5,4,5,,no,,,,,,,,,,
8/10/2011,MD-3,Murphy Dome,"CL, LRC, BC",cloudy,5,6,4,11,7,8,11,8,6,10,"not counting live moss layer, which is 2-3cm",no,,,,,,,,,,
8/10/2011,MD-4,Murphy Dome,BC,light clouds,5,5,12,8,11,7,5,10,4,3,,no,,,,,,,,,,
8/10/2011,MD-5,Murphy Dome,BC,nice,6,8,7,9,8,12,8,14,8,11,,no,,,,,,,,,,
8/11/2011,MD-6,Murphy Dome,BC,cloudy,4,5,5,5,7,7,11,9,13,7,,no,,,,,,,,,,
8/11/2011,MD-7,Murphy Dome,"BC, CN",nice,6,8,8,4,4,11,9,8,4,5,,no,,,,,,,,,,
8/11/2011,MD-8,Murphy Dome,"BC, CN",nice,30,20,16,16,16,14,18,27,21,30,,no,,,,,,,,,,
