Site,Expanded Name,First Inventory (and Last Disturbance),Age,Class,Ecoregion,Forest Type (general),Number of Plots (in Site),Trees,Last Inventory,Next Inventory,Plot Notes,,CORE (old) sites,RSN (new) sites,Inactive sites
BCEFM2,Bonanza Creek Experimental Forest Mature 2,2013,80+,Mature,TK Lowlands,Black spruce,12,303,2013,2024,,,,,
BDI1,Big Denver Fire Intermediate 1,2014 (1969),54,Intermediate,Ray Mtns,Birch-aspen,12,761,2018,2024,,,,,
BDI2,Big Denver Fire Intermediate 2,2014 (1969),54,Intermediate,Ray Mtns,Birch-spruce,12,1086,2018,2024,,,,,
BDI3,Big Denver Fire Intermediate 3,2014 (1969),54,Intermediate,Ray Mtns,Mixed bspruce-aspen,12,882,2018,2024,,,,,
BDI4,Big Denver Fire Intermediate 4,2014 (1969),54,Intermediate,Ray Mtns,Aspen-birch,12,1084,2018,2024,,,,,
BDI5,Big Denver Fire Intermediate 5,2014 (2015),8,Young,Ray Mtns,Mixed bspruce-aspen,12,218,2018,2024,,,,,
BDI6,Big Denver Fire Intermediate 6,2014 (2015),8,Young,Ray Mtns,Bspruce-birch,12,8,2018,2024,"12 plots measured in 2014, 6 plots measured in 2018",,,,
BDI7,Big Denver Fire Intermediate 7,2013 (1969),54,Intermediate,Ray Mtns,Birch,12,964,2018,2024,,,,,
BDI8,Big Denver Fire Intermediate 8,2013 (1969),54,Intermediate,Ray Mtns,Mixed birch-bspruce,12,990,2018,2024,,,,,
BDM1,Big Denver Fire Mature 1,2013,80+,Mature,Ray Mtns,Black spruce,12,477,2018,2028,,,,,
BFY1,Boundary Fire Young 1,2014 (2004),19,Young,YT Uplands,Birch-aspen,12,348,2023,2028,"4 plots measured in 2014, 8 in 2018, 12 in 2023",,,,
BFY10,Boundary Fire Young 10,2018 (2004),19,Young,YT Uplands,Birch-aspen-wspruce,12,140,2023,2028,"4 plots in 2018, 10 in 2023",,,,
BFY11,Boundary Fire Young 11,2014 (2004),19,Young,YT Uplands,Birch,12,1627,2023,2028,,,,,
BFY12,Boundary Fire Young 12,2014 (2004),19,Young,YT Uplands,Birch,12,1457,2023,2028,"10 in 2014, 12 in 2018 and beyond",,,,
BFY13,Boundary Fire Young 13,2014 (2004),19,Young,YT Uplands,Birch,12,1664,2023,2028,,,,,
BFY4,Boundary Fire Young 4,2014 (2004),19,Young,YT Uplands,Birch,12,1448,2023,2028,,,,,
BFY6,Boundary Fire Young 6 (inactive; hydroaxed),2014 (2004),Exp/Hydroaxed,Young,YT Uplands,Birch,?,195,Hydroaxed,2024,,,,,
BFY7,Boundary Fire Young 7,2014 (2004),19,Young,YT Uplands,Mixed birch-bspruce,12,18,2023,2028,"3 in 2014-2018, 9 in 2023",,,,
BFY8,Boundary Fire Young 8,2014 (2004),19,Young,YT Uplands,,12,0,None yet,2024,,,,,
BFY9,Boundary Fire Young 9,2014 (2004),19,Young,YT Uplands,Bspruce-wspruce,12,22,2023,2028,"8 in 2014, 10 in 2018, 8 in 2023",,,,
DCM1,Dall City Fire Mature 1,2014,80+,Mature,Ray Mtns,Bspruce-wspruce,12,240,2014,2024,,,,,
DCY1,Dall City Fire Young 1,2014 (2004),19,Young,Ray Mtns,,12,0,None yet,2024,,,,,
DCY10,Dall City Fire Young 10,2014 (2004),19,Young,Ray Mtns,,12,0,None yet,2024,,,,,
DCY12,Dall City Fire Young 12,2014 (2004),19,Young,Ray Mtns,Black spruce,12,16,2018,2024,6 in 2014-2018,,,,
DCY13,Dall City Fire Young 13,2018 (2004),19,Young,Ray Mtns,Aspen-birch,12,5,,2024,4 in 2018,,,,
DCY14,Dall City Fire Young 14,2014 (2004),19,Young,Ray Mtns,,12,0,None yet,2024,,,,,
DCY15,Dall City Fire Young 15,2014 (2004),19,Young,Ray Mtns,Aspen,12,130,2018,2024,"11 in 2014, 12 in 2018",,,,
DCY16,Dall City Fire Young 16,2014 (2004),19,Young,Ray Mtns,Aspen,12,77,2018,2024,"6 in 2014, 12 in 2018",,,,
DCY17,Dall City Fire Young 17,2014 (2004),19,Young,Ray Mtns,Aspen,12,616,2018,2024,,,,,
DCY2,Dall City Fire Young 2,2014 (2004),19,Young,Ray Mtns,Mixed bspruce-birch,12,8,2018,2024,"2 in 2014, 4 in 2018",,,,
DCY3,Dall City Fire Young 3,2014 (2004),19,Young,Ray Mtns,Aspen,12,138,2018,2024,"6 in 2014, 8 in 2018",,,,
DCY4,Dall City Fire Young 4,2018 (2004),19,Young,Ray Mtns,White spruce,12,1,2018,2024,1 in 2018,,,,
DCY5,Dall City Fire Young 5,2014 (2004),19,Young,Ray Mtns,Aspen,12,112,2018,2024,,,,,
DCY6,Dall City Fire Young 6,2018 (2004),19,Young,Ray Mtns,Birch,12,1,2018,2024,1 in 2018,,,,
DCY7,Dall City Fire Young 7,2014 (2004),19,Young,Ray Mtns,,12,0,None yet,2024,,,,,
