Site,Sample# ,PlotStake,Core Depth ,Org Depth, Date
BF63,19,19,25,15,9/1/15
BF63,12,12,30,16,9/1/15
BF63,7,7,20,12,9/1/15
BF63,5,5,10,10,9/1/15
BF63,1,1,16,14,9/1/15
BF81,6,6,19.5,4,6/22/15
BF81,10,10,24,6,6/22/15
BF81,17,17,22,4,6/22/15
BF82,17,17,17,2.5,6/22/15
BF82,18,18,16.5,4.5,6/22/15
BF82,7,7,15,5,6/22/15
BF82,2,2,26,13,6/22/15
BF83,5,5,24,5,6/23/15
BF83,11,11,26.5,8.5,6/23/15
BF99,3,3,25,3,6/11/15
BF99,7,7,27,3.5,6/11/15
BF99,11,11,29,14,6/11/15
BF99,15,15,26,6,6/11/15
BF99,19,19,29,14,6/11/15
LG-2,2,2,29.5,28,8/9/15
LG-2,2,2,47,23.5,9/2/15
BD-1,2,2,19,7,8/8/15
BD-1,7,7,27,7,8/8/15
BD-1,9,9,16,6,8/8/15
BD-1,12,12,18,5.5,8/8/15
BD-1,19,19,16,7,8/8/15
BD-2,2,2,24,7.5,8/8/15
BD-2,6,6,24,8.5,8/8/15
BD-2,9,9,24,12,8/8/15
BD-2,11,11,24,10.5,8/8/15
BD-2,19,19,24,10,8/8/15
BF71,2,2,22.5,8.5,6/23/15
BF71,4,4,22.5,10,6/23/15
BF71,5,5,7.5,5.5,6/23/15
BF71,8,8,24.5,8.5,6/23/15
BF71,11,11,29,11,6/23/15
BF71,15,15,23,5,6/23/15
BF77,1,1,24.5,7.5,6/23/15
BF77,4,4,22.5,4.5,6/23/15
BF77,9,9,22.2,4,6/23/15
BF77,14,14,29.5,5.5,6/23/15
BF77,18,18,27.5,8,6/23/15
GS-1,4,4,27,5,6/15/15
GS-1,7,7,27.5,5,6/15/15
GS-1,9,9,25,8,6/15/15
GS-1,13,13,30,6,6/15/15
GS-1,17,17,25,7.5,6/15/15
GR-3,3,3,27,7,6/24/15
GR-3,5,5,28.5,11,6/24/15
GR-3,8,8,24,6,6/24/15
GR-3,10,10,23,5,6/24/15
GR-3,15,15,27.5,4.5,6/24/15
GR-4,3,3,26.5,3.5,6/24/15
GR-4,5,5,27.5,3.5,6/24/15
GR-4,11,11,24.2,4,6/24/15
GR-4,16,16,27.5,4.5,6/24/15
GR-4,19,19,23.5,6.5,6/24/15
