"","UniqueID","DATE","SITE","PLOT","TREE","SPECIES","DBH","DA","TOP","LEAN","BOWED","DOWN","NOTES","STATUS","Year","ReplaceID","ID.Seq","Missing.Place","Decimal.Error","species_growth","dbh_change","year_diff","dbh_year_change","is_spike","is_dip","is_anomalous","anomalous_type","high_spike","extreme_dip","is_anomalous2","anomalous_type2"
"1","FP2A_32_2971",1989-07-06,"FP2A","32","2971","POPBAL",14.5,1,"-99",0,1,"1","","Alive",1989,"FP2A_32_2971_1989",1,"NMis",FALSE,2.7,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"2","FP2A_32_2971",1993-06-11,"FP2A","32","2971","POPBAL",15.6,1,"-99",0,0,"1","","Alive",1993,"FP2A_32_2971_1993",2,"NMis",FALSE,2.7,1.1,4,0.275,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"3","FP2A_32_2971",1997-07-24,"FP2A","32","2971","POPBAL",15.8,1,"4",0,0,"1","","Alive",1997,"FP2A_32_2971_1997",3,"NMis",FALSE,2.7,0.200000000000001,4,0.0500000000000003,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"4","FP2A_32_2971",2000-06-14,"FP2A","32","2971","POPBAL",15.8,1,"4",0,0,"1","","Alive",2000,"FP2A_32_2971_2000",4,"NMis",FALSE,2.7,0,3,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"5","FP2A_32_2971",2004-07-21,"FP2A","32","2971","POPBAL",16,1,"-99",0,1,"1","","Alive",2004,"FP2A_32_2971_2004",5,"NMis",FALSE,2.7,0.199999999999999,4,0.0499999999999998,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"6","FP2A_32_2971",2008-08-21,"FP2A","32","2971","POPBAL",16.9,1,"-99",0,1,"1","new fork, new mark below dbh","Alive",2008,"FP2A_32_2971_2008",6,"NMis",FALSE,2.7,0.899999999999999,4,0.225,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"7","FP2A_32_2971",2018-08-15,"FP2A","32","2971","POPBAL",3.6,1,"-99",0,1,"1","old notes-new fork, new mark below dbh. 2019 notes-","Alive",2018,"FP2A_32_2971_2018",7,"NMis",FALSE,2.7,-13.3,10,-1.33,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip"
"8","FP3C_7_115",1990-08-14,"FP3C","7","115","PICGLA",1.3,1,"-99",0,1,"1","","Alive",1990,"FP3C_7_115_1990",1,"NMis",FALSE,1.1,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"9","FP3C_7_115",1993-07-29,"FP3C","7","115","PICGLA",0.8,1,"-99",0,1,"1","","Alive",1993,"FP3C_7_115_1993",2,"NMis",FALSE,1.1,-0.5,3,-0.166666666666667,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"10","FP3C_7_115",1997-07-10,"FP3C","7","115","PICGLA",2,1,"-99",0,1,"1","","Alive",1997,"FP3C_7_115_1997",3,"NMis",FALSE,1.1,1.2,4,0.3,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"11","FP3C_7_115",2000-07-12,"FP3C","7","115","PICGLA",0.4,1,"-99",0,1,"1","dt2","Alive",2000,"FP3C_7_115_2000",4,"NMis",FALSE,1.1,-1.6,3,-0.533333333333333,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip"
"12","FP3C_7_115",2004-07-29,"FP3C","7","115","PICGLA",NA,0,"-99",0,1,"0","","Standing/Dead",2004,"FP3C_7_115_2004",5,"Last",FALSE,1.1,0,4,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"13","FP3C_7_115",2008-08-27,"FP3C","7","115","PICGLA",NA,0,"-99",0,1,"0","std","Standing/Dead",2008,"FP3C_7_115_2008",6,"Last",FALSE,1.1,0,4,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"14","FP4A_8_905",1989-08-29,"FP4A","8","905","BETNEO",3.9,1,"-99",0,1,"1","was #2859","Alive",1989,"FP4A_8_905_1989",1,"NMis",FALSE,1.8,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"15","FP4A_8_905",1993-07-14,"FP4A","8","905","BETNEO",4.8,1,"-99",0,1,"1","was #2859","Alive",1993,"FP4A_8_905_1993",2,"NMis",FALSE,1.8,0.9,4,0.225,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"16","FP4A_8_905",1997-07-17,"FP4A","8","905","BETNEO",5.6,1,"-99",0,1,"1","was #2859","Alive",1997,"FP4A_8_905_1997",3,"NMis",FALSE,1.8,0.8,4,0.2,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"17","FP4A_8_905",2000-07-06,"FP4A","8","905","BETNEO",5.3,1,"-99",1,1,"1","was #2859","Alive",2000,"FP4A_8_905_2000",4,"NMis",FALSE,1.8,-0.3,3,-0.0999999999999999,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"18","FP4A_8_905",2004-08-14,"FP4A","8","905","BETNEO",2.6,1,"-99",1,1,"1","was #2859","Alive",2004,"FP4A_8_905_2004",5,"NMis",FALSE,1.8,-2.7,4,-0.675,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip"
"19","FP4A_8_905",2008-08-25,"FP4A","8","905","BETNEO",3.2,1,"-99",1,1,"1","now tree #905","Alive",2008,"FP4A_8_905_2008",6,"NMis",FALSE,1.8,0.6,4,0.15,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"20","FP4A_8_905",2018-08-25,"FP4A","8","905","BETNEO",3.5,1,"1.75",1,1,"1","old notes-now tree #905. 2019 notes-","Alive",2018,"FP4A_8_905_2018",7,"NMis",FALSE,1.8,0.3,10,0.03,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"21","FP5C_9_5537",1990-09-06,"FP5C","9","5537","PICMAR",9,1,"-99",0,1,"1","","Alive",1990,"FP5C_9_5537_1990",1,"NMis",FALSE,0.75,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"22","FP5C_9_5537",1993-09-01,"FP5C","9","5537","PICMAR",9.3,1,"-99",0,1,"1","","Alive",1993,"FP5C_9_5537_1993",2,"NMis",FALSE,0.75,0.300000000000001,3,0.1,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"23","FP5C_9_5537",1997-07-25,"FP5C","9","5537","PICMAR",9.6,1,"-99",0,1,"1","","Alive",1997,"FP5C_9_5537_1997",3,"NMis",FALSE,0.75,0.299999999999999,4,0.0749999999999997,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"24","FP5C_9_5537",2000-07-27,"FP5C","9","5537","PICMAR",9.7,1,"-99",0,1,"1","","Alive",2000,"FP5C_9_5537_2000",4,"NMis",FALSE,0.75,0.0999999999999996,3,0.0333333333333332,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"25","FP5C_9_5537",2004-08-05,"FP5C","9","5537","PICMAR",3.1,1,"-99",0,1,"1","budworm","Alive",2004,"FP5C_9_5537_2004",5,"NMis",FALSE,0.75,-6.6,4,-1.65,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip"
"26","FP5C_9_5537",2008-08-27,"FP5C","9","5537","PICMAR",3.4,1,"-99",0,1,"1","","Alive",2008,"FP5C_9_5537_2008",6,"NMis",FALSE,0.75,0.3,4,0.075,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"27","UP1C_1_818",1991-09-25,"UP1C","1","818","POPTRE",2.6,1,"-99",0,1,"1","","Alive",1991,"UP1C_1_818_1991",1,"NMis",FALSE,3.5,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"28","UP1C_1_818",1995-07-20,"UP1C","1","818","POPTRE",3.9,1,"-99",1,1,"1","","Alive",1995,"UP1C_1_818_1995",2,"NMis",FALSE,3.5,1.3,4,0.325,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"29","UP1C_1_818",1997-06-16,"UP1C","1","818","POPTRE",0.4,1,"-99",1,0,"1","dt","Alive",1997,"UP1C_1_818_1997",3,"NMis",FALSE,3.5,-3.5,2,-1.75,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip"
"30","UP1C_1_818",2004-08-05,"UP1C","1","818","POPTRE",0.3,1,"-99",0,1,"1","","Alive",2004,"UP1C_1_818_2004",4,"NMis",FALSE,3.5,-0.1,7,-0.0142857142857143,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"31","UP1C_1_818",2008-08-18,"UP1C","1","818","POPTRE",NA,0,"-99",0,1,"0","","Standing/Dead",2008,"UP1C_1_818_2008",5,"Last",FALSE,3.5,0,4,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"32","UP3A_11_256",1990-06-20,"UP3A","11","256","BETNEO",0.6,1,"-99",0,1,"1","was #620","Alive",1990,"UP3A_11_256_1990",1,"NMis",FALSE,1.8,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"33","UP3A_11_256",1993-09-07,"UP3A","11","256","BETNEO",2.8,0,"-99",0,1,"0","was #620","Fallen/Dead",1993,"UP3A_11_256_1993",2,"NMis",FALSE,1.8,2.2,3,0.733333333333333,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA"
"34","UP3A_11_256",1997-08-12,"UP3A","11","256","BETNEO",5,1,"-99",0,1,"1","was #620","Alive",1997,"UP3A_11_256_1997",3,"NMis",FALSE,1.8,2.2,4,0.55,TRUE,FALSE,TRUE,"Spike",FALSE,FALSE,FALSE,"NA"
"35","UP3A_11_256",2000-07-19,"UP3A","11","256","BETNEO",2.6,1,"-99",0,1,"1","was #620","Alive",2000,"UP3A_11_256_2000",4,"NMis",FALSE,1.8,-2.4,3,-0.8,FALSE,FALSE,FALSE,"NA",FALSE,TRUE,TRUE,"Extreme Dip"
