"","UniqueID","DATE","YEAR","SITE","PLOT","TREE","SPECIES","DBH","DA","TOP","LEAN","BOWED","DOWN","First_Year","Sampled_Years","SiteSeriesNumber","SiteSeriesTotal","NOTES","OfficeNotes"
"1","BDI1_1_863","6/26/2018",2018,"BDI1","1","863","POPBAL",4.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"2","BDI2_7_876","6/27/2018",2018,"BDI2","7","876","PICMAR",2.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"3","BDI2_8_504","6/27/2018",2018,"BDI2","8","504","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"4","BDI2_9_501","6/27/2018",2018,"BDI2","9","501","PICMAR",3.5,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"5","BDI2_11_502","6/27/2018",2018,"BDI2","11","502","PICMAR",2.5,1,"-99",1,1,"1",2014,"2014, 2018",2,2,"",""
"6","BDI2_12_503","6/27/2018",2018,"BDI2","12","503","PICMAR",3.2,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"7","BDI2_12_877","6/27/2018",2018,"BDI2","12","877","PICMAR",2.9,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"8","BDI2_12_878","6/27/2018",2018,"BDI2","12","878","PICMAR",2.9,1,"-99",1,1,"1",2014,"2014, 2018",2,2,"",""
"9","BDI2_12_879","6/27/2018",2018,"BDI2","12","879","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"10","BDI2_12_880","6/27/2018",2018,"BDI2","12","880","PICMAR",2.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"11","BDI2_12_881","6/27/2018",2018,"BDI2","12","881","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"12","BDI2_1_864","6/26/2018",2018,"BDI2","1","864","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"13","BDI2_1_865","6/26/2018",2018,"BDI2","1","865","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"14","BDI2_2_866","6/26/2018",2018,"BDI2","2","866","PICMAR",3.1,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"15","BDI2_2_867","6/26/2018",2018,"BDI2","2","867","PICMAR",3.2,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"16","BDI2_3_868","6/26/2018",2018,"BDI2","3","868","PICMAR",2.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"17","BDI2_3_869","6/26/2018",2018,"BDI2","3","869","PICMAR",2.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"18","BDI2_3_870","6/26/2018",2018,"BDI2","3","870","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"19","BDI2_4_871","6/26/2018",2018,"BDI2","4","871","PICMAR",3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
