"UniqueID","DATE","SITE","PLOT","TREE","SPECIES","DBH","DA","TOP","LEAN","BOWED","DOWN","NOTES","STATUS","Year","ReplaceID","ID.Seq","Missing.Place","Decimal.Error","species_growth","dbh_change","year_diff","dbh_year_change","is_spike","is_dip","is_anomalous","anomalous_type","high_spike","extreme_dip","is_anomalous2","anomalous_type2","Obs.count"
"BDI1_7_381",2014-09-11,"BDI1","7","381","BETNEO",9.3,1,"-99",0,1,"1","","Alive",2014,"BDI1_7_381_2014",1,"NMis",FALSE,1.8,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"BDI1_7_381",2018-06-26,"BDI1","7","381","BETNEO",5.3,1,"-99",0,1,"1","","Alive",2018,"BDI1_7_381_2018",2,"NMis",FALSE,1.8,-4,4,-1,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"BDI2_14_1278",2014-09-14,"BDI2","14","1278","BETNEO",5.9,1,"-99",0,1,"1","","Alive",2014,"BDI2_14_1278_2014",1,"NMis",FALSE,1.8,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"BDI2_14_1278",2018-06-27,"BDI2","14","1278","BETNEO",2.8,1,"-99",0,1,"1","","Alive",2018,"BDI2_14_1278_2018",2,"NMis",FALSE,1.8,-3.1,4,-0.775,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"BDI3_2_137",2014-09-16,"BDI3","2","137","PICMAR",4.8,1,"-99",0,1,"1","","Alive",2014,"BDI3_2_137_2014",1,"NMis",FALSE,0.75,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"BDI3_2_137",2018-06-27,"BDI3","2","137","PICMAR",2.8,1,"-99",0,1,"1","","Alive",2018,"BDI3_2_137_2018",2,"NMis",FALSE,0.75,-2,4,-0.5,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"BDI3_2_140",2014-09-16,"BDI3","2","140","POPTRE",6.8,1,"-99",0,1,"1","","Alive",2014,"BDI3_2_140_2014",1,"NMis",FALSE,3.5,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"BDI3_2_140",2018-06-27,"BDI3","2","140","POPTRE",4,1,"-99",0,1,"1","","Alive",2018,"BDI3_2_140_2018",2,"NMis",FALSE,3.5,-2.8,4,-0.7,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"BDI4_2_186",2014-09-12,"BDI4","2","186","POPTRE",9.1,1,"-99",0,1,"1","","Alive",2014,"BDI4_2_186_2014",1,"NMis",FALSE,3.5,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"BDI4_2_186",2018-06-27,"BDI4","2","186","POPTRE",5.2,1,"-99",0,1,"1","","Alive",2018,"BDI4_2_186_2018",2,"NMis",FALSE,3.5,-3.9,4,-0.975,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
