"UniqueID","DATE","SITE","PLOT","TREE","SPECIES","DBH","DA","TOP","LEAN","BOWED","DOWN","NOTES","STATUS","Year","ReplaceID","ID.Seq","dbh_change","obs.count","high_spike","extreme_dip","New.Growth","Fix.Dip","Fix","Last.obs","is_anomalous2","anomalous_type2","mean.dbh.change"
"BDI1_2_95",2014-09-11,"BDI1","2","95","POPTRE",4.5,1,"-99",0,1,"1","","Alive",2014,"BDI1_2_95_2014",1,0,2,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,"NA",NA
"BDI1_2_95",2018-06-26,"BDI1","2","95","POPTRE",3.2,1,"-99",0,1,"1","","Alive",2018,"BDI1_2_95_2018",2,-1.3,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"BDI1_7_381",2014-09-11,"BDI1","7","381","BETNEO",9.3,1,"-99",0,1,"1","","Alive",2014,"BDI1_7_381_2014",1,0,2,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,"NA",NA
"BDI1_7_381",2018-06-26,"BDI1","7","381","BETNEO",5.3,1,"-99",0,1,"1","","Alive",2018,"BDI1_7_381_2018",2,-4,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"BDI2_14_1278",2014-09-14,"BDI2","14","1278","BETNEO",5.9,1,"-99",0,1,"1","","Alive",2014,"BDI2_14_1278_2014",1,0,2,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,"NA",NA
"BDI2_14_1278",2018-06-27,"BDI2","14","1278","BETNEO",2.8,1,"-99",0,1,"1","","Alive",2018,"BDI2_14_1278_2018",2,-3.1,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"BDI3_2_137",2014-09-16,"BDI3","2","137","PICMAR",4.8,1,"-99",0,1,"1","","Alive",2014,"BDI3_2_137_2014",1,0,2,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,"NA",NA
"BDI3_2_137",2018-06-27,"BDI3","2","137","PICMAR",2.8,1,"-99",0,1,"1","","Alive",2018,"BDI3_2_137_2018",2,-2,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"BDI3_2_140",2014-09-16,"BDI3","2","140","POPTRE",6.8,1,"-99",0,1,"1","","Alive",2014,"BDI3_2_140_2014",1,0,2,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,"NA",NA
"BDI3_2_140",2018-06-27,"BDI3","2","140","POPTRE",4,1,"-99",0,1,"1","","Alive",2018,"BDI3_2_140_2018",2,-2.8,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"BDI4_11_549",2014-09-12,"BDI4","11","549","POPTRE",4.2,1,"-99",0,1,"1","","Alive",2014,"BDI4_11_549_2014",1,0,2,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,"NA",NA
"BDI4_11_549",2018-06-27,"BDI4","11","549","POPTRE",3.2,1,"-99",0,1,"1","","Alive",2018,"BDI4_11_549_2018",2,-1,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"BDI4_2_186",2014-09-12,"BDI4","2","186","POPTRE",9.1,1,"-99",0,1,"1","","Alive",2014,"BDI4_2_186_2014",1,0,2,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,"NA",NA
"BDI4_2_186",2018-06-27,"BDI4","2","186","POPTRE",5.2,1,"-99",0,1,"1","","Alive",2018,"BDI4_2_186_2018",2,-3.9,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"BDI4_8_1391",2014-09-13,"BDI4","8","1391","POPTRE",6.8,1,"-99",0,1,"1","","Alive",2014,"BDI4_8_1391_2014",1,0,2,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,"NA",NA
"BDI4_8_1391",2018-06-27,"BDI4","8","1391","POPTRE",5.3,1,"-99",0,1,"1","","Alive",2018,"BDI4_8_1391_2018",2,-1.5,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"BDI7_14_1050",2013-08-09,"BDI7","14","1050","BETNEO",5.1,1,"-99",0,1,"1","","Alive",2013,"BDI7_14_1050_2013",1,0,2,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,"NA",NA
"BDI7_14_1050",2018-06-28,"BDI7","14","1050","BETNEO",3,1,"-99",0,1,"1","","Alive",2018,"BDI7_14_1050_2018",2,-2.1,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"BDI8_12_358",2013-08-12,"BDI8","12","358","BETNEO",8.7,1,"-99",0,1,"1","","Alive",2013,"BDI8_12_358_2013",1,0,2,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,"NA",NA
"BDI8_12_358",2018-06-28,"BDI8","12","358","BETNEO",7,1,"-99",0,1,"1","","Alive",2018,"BDI8_12_358_2018",2,-1.7,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"BDI8_6_1820",2013-08-11,"BDI8","6","1820","BETNEO",7.7,1,"-99",0,1,"1","","Alive",2013,"BDI8_6_1820_2013",1,0,2,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,"NA",NA
"BDI8_6_1820",2018-06-28,"BDI8","6","1820","BETNEO",6.2,1,"-99",0,1,"1","","Alive",2018,"BDI8_6_1820_2018",2,-1.5,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"BDM1_14_1518",2013-08-10,"BDM1","14","1518","PICMAR",9.6,1,"-99",0,1,"1","","Alive",2013,"BDM1_14_1518_2013",1,0,2,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,"NA",NA
"BDM1_14_1518",2018-06-28,"BDM1","14","1518","PICMAR",6.9,1,"-99",0,1,"1","","Alive",2018,"BDM1_14_1518_2018",2,-2.7,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"DCY17_12_472",2014-09-01,"DCY17","12","472","POPTRE",2.6,1,"-99",0,1,"1","","Alive",2014,"DCY17_12_472_2014",1,0,3,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,"NA",NA
"DCY17_12_472",2018-06-20,"DCY17","12","472","POPTRE",3.7,1,"-99",0,1,"1","","Alive",2018,"DCY17_12_472_2018",2,1.1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"DCY17_12_472",2024-07-25,"DCY17","12","472","POPTRE",2.7,1,"-99",0,1,"1","","Alive",2024,"DCY17_12_472_2024",3,-1,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2A_13_2941",1989-07-06,"FP2A","13","2941","POPBAL",6.3,1,"-99",0,1,"1","b","Alive",1989,"FP2A_13_2941_1989",1,0,8,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,"NA",NA
"FP2A_13_2941",1993-06-11,"FP2A","13","2941","POPBAL",6.3,1,"-99",0,0,"1","b","Alive",1993,"FP2A_13_2941_1993",2,0,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2A_13_2941",1997-07-24,"FP2A","13","2941","POPBAL",6.5,1,"-99",0,0,"1","b","Alive",1997,"FP2A_13_2941_1997",3,0.2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2A_13_2941",2000-06-14,"FP2A","13","2941","POPBAL",6.7,1,"-99",0,0,"1","b","Alive",2000,"FP2A_13_2941_2000",4,0.2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2A_13_2941",2004-07-21,"FP2A","13","2941","POPBAL",6.7,1,"-99",1,1,"1","","Alive",2004,"FP2A_13_2941_2004",5,0,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2A_13_2941",2008-08-21,"FP2A","13","2941","POPBAL",6.8,1,"-99",1,1,"1","","Alive",2008,"FP2A_13_2941_2008",6,0.0999999999999996,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2A_13_2941",2018-08-15,"FP2A","13","2941","POPBAL",5.7,1,"-99",1,1,"1","","Alive",2018,"FP2A_13_2941_2018",7,-1.1,8,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2A_13_2941",2024-07-16,"FP2A","13","2941","POPBAL",NA,1,"-99",1,1,"1","missing","Missing",2024,"FP2A_13_2941_2024",8,0,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2A_32_2971",1989-07-06,"FP2A","32","2971","POPBAL",14.5,1,"-99",0,1,"1","","Alive",1989,"FP2A_32_2971_1989",1,0,8,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,"NA",NA
"FP2A_32_2971",1993-06-11,"FP2A","32","2971","POPBAL",15.6,1,"-99",0,0,"1","","Alive",1993,"FP2A_32_2971_1993",2,1.1,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2A_32_2971",1997-07-24,"FP2A","32","2971","POPBAL",15.8,1,"4",0,0,"1","","Alive",1997,"FP2A_32_2971_1997",3,0.200000000000001,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2A_32_2971",2000-06-14,"FP2A","32","2971","POPBAL",15.8,1,"4",0,0,"1","","Alive",2000,"FP2A_32_2971_2000",4,0,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2A_32_2971",2004-07-21,"FP2A","32","2971","POPBAL",16,1,"-99",0,1,"1","","Alive",2004,"FP2A_32_2971_2004",5,0.199999999999999,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2A_32_2971",2008-08-21,"FP2A","32","2971","POPBAL",16.9,1,"-99",0,1,"1","new fork, new mark below dbh","Alive",2008,"FP2A_32_2971_2008",6,0.899999999999999,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2A_32_2971",2018-08-15,"FP2A","32","2971","POPBAL",3.6,1,"-99",0,1,"1","old notes-new fork, new mark below dbh. 2019 notes-","Alive",2018,"FP2A_32_2971_2018",7,-13.3,8,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2A_32_2971",2024-07-16,"FP2A","32","2971","POPBAL",4.1,1,"-99",0,1,"1","","Alive",2024,"FP2A_32_2971_2024",8,0.5,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2C_12_5154",1990-08-23,"FP2C","12","5154","POPBAL",16.3,1,"-99",0,1,"1","","Alive",1990,"FP2C_12_5154_1990",1,0,8,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,"NA",NA
"FP2C_12_5154",1993-07-15,"FP2C","12","5154","POPBAL",17,1,"-99",0,1,"1","","Alive",1993,"FP2C_12_5154_1993",2,0.699999999999999,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2C_12_5154",1997-07-24,"FP2C","12","5154","POPBAL",17.2,1,"-99",0,1,"1","","Alive",1997,"FP2C_12_5154_1997",3,0.199999999999999,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2C_12_5154",2000-07-20,"FP2C","12","5154","POPBAL",17.3,1,"-99",0,1,"1","","Alive",2000,"FP2C_12_5154_2000",4,0.100000000000001,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2C_12_5154",2004-09-12,"FP2C","12","5154","POPBAL",17.4,1,"-99",0,1,"1","","Alive",2004,"FP2C_12_5154_2004",5,0.0999999999999979,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2C_12_5154",2008-08-26,"FP2C","12","5154","POPBAL",17.7,1,"-99",0,1,"1","","Alive",2008,"FP2C_12_5154_2008",6,0.300000000000001,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2C_12_5154",2018-06-30,"FP2C","12","5154","POPBAL",18,1,"-99",0,1,"1","","Alive",2018,"FP2C_12_5154_2018",7,0.300000000000001,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP2C_12_5154",2024-07-09,"FP2C","12","5154","POPBAL",15.3,1,"-99",0,1,"1","","Alive",2024,"FP2C_12_5154_2024",8,-2.7,8,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP3A_9_1963",1989-07-20,"FP3A","9","1963","POPBAL",6.1,1,"-99",0,1,"1","","Alive",1989,"FP3A_9_1963_1989",1,0,6,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,"NA",NA
"FP3A_9_1963",1993-07-28,"FP3A","9","1963","POPBAL",6.5,1,"-99",0,0,"1","","Alive",1993,"FP3A_9_1963_1993",2,0.4,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP3A_9_1963",1997-07-02,"FP3A","9","1963","POPBAL",7.9,1,"-99",0,0,"1","","Alive",1997,"FP3A_9_1963_1997",3,1.4,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP3A_9_1963",2000-06-28,"FP3A","9","1963","POPBAL",6.8,1,"6",0,0,"1","","Alive",2000,"FP3A_9_1963_2000",4,-1.1,6,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP3A_9_1963",2004-07-29,"FP3A","9","1963","POPBAL",NA,0,"-99",1,1,"0","","Standing/Dead",2004,"FP3A_9_1963_2004",5,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP3A_9_1963",2008-08-21,"FP3A","9","1963","POPBAL",NA,0,"-99",1,1,"0","","Standing/Dead",2008,"FP3A_9_1963_2008",6,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP3A_9_1967",1989-07-20,"FP3A","9","1967","PICGLA",6.1,1,"-99",0,1,"1","","Alive",1989,"FP3A_9_1967_1989",1,0,8,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,"NA",NA
"FP3A_9_1967",1993-07-28,"FP3A","9","1967","PICGLA",5.9,1,"-99",0,1,"1","","Alive",1993,"FP3A_9_1967_1993",2,-0.199999999999999,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP3A_9_1967",1997-07-02,"FP3A","9","1967","PICGLA",6.1,1,"-99",0,1,"1","","Alive",1997,"FP3A_9_1967_1997",3,0.199999999999999,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP3A_9_1967",2000-06-28,"FP3A","9","1967","PICGLA",6,1,"-99",0,1,"1","","Alive",2000,"FP3A_9_1967_2000",4,-0.0999999999999996,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP3A_9_1967",2004-07-29,"FP3A","9","1967","PICGLA",7.2,1,"-99",0,1,"1","","Alive",2004,"FP3A_9_1967_2004",5,1.2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP3A_9_1967",2008-08-21,"FP3A","9","1967","PICGLA",6.2,1,"-99",0,1,"1","","Alive",2008,"FP3A_9_1967_2008",6,-1,8,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA",NA
"FP3A_9_1967",2018-06-30,"FP3A","9","1967","PICGLA",6.4,1,"-99",0,1,"1","","Alive",2018,"FP3A_9_1967_2018",7,0.2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA",NA
