"UniqueID","DATE","SITE","PLOT","TREE","SPECIES","DBH","DA","TOP","LEAN","BOWED","DOWN","NOTES","STATUS","Year","ReplaceID","ID.Seq","Missing.Place","Decimal.Error","species_growth","dbh_change","year_diff","dbh_year_change","is_spike","is_dip","is_anomalous","anomalous_type"
"FP2A_11_1830",1989-07-06,"FP2A","11","1830","POPBAL",14.8,1,"-99",0,1,"1","","Alive",1989,"FP2A_11_1830_1989",1,"NMis",FALSE,2.7,0,0,0,FALSE,FALSE,FALSE,"NA"
"FP2A_11_1830",1993-06-11,"FP2A","11","1830","POPBAL",16.6,1,"-99",0,1,"1","","Alive",1993,"FP2A_11_1830_1993",2,"NMis",FALSE,2.7,1.8,4,0.45,FALSE,FALSE,FALSE,"NA"
"FP2A_11_1830",1997-07-24,"FP2A","11","1830","POPBAL",18.6,1,"-99",0,1,"1","c","Alive",1997,"FP2A_11_1830_1997",3,"NMis",FALSE,2.7,2,4,0.5,FALSE,FALSE,FALSE,"NA"
"FP2A_11_1830",2000-06-14,"FP2A","11","1830","POPBAL",19.1,1,"-99",0,1,"1","c","Alive",2000,"FP2A_11_1830_2000",4,"NMis",FALSE,2.7,0.5,3,0.166666666666667,FALSE,FALSE,FALSE,"NA"
"FP2A_11_1830",2004-07-21,"FP2A","11","1830","POPBAL",19.8,1,"-99",0,1,"1","","Alive",2004,"FP2A_11_1830_2004",5,"NMis",FALSE,2.7,0.699999999999999,4,0.175,FALSE,FALSE,FALSE,"NA"
"FP2A_11_1830",2008-08-21,"FP2A","11","1830","POPBAL",20.7,1,"-99",0,1,"1","","Alive",2008,"FP2A_11_1830_2008",6,"NMis",FALSE,2.7,0.899999999999999,4,0.225,FALSE,FALSE,FALSE,"NA"
"FP2A_11_1830",2018-08-15,"FP2A","11","1830","POPBAL",22.9,1,"-99",0,1,"1","","Alive",2018,"FP2A_11_1830_2018",7,"NMis",FALSE,2.7,2.2,10,0.22,FALSE,FALSE,FALSE,"NA"
"FP2A_13_256",1989-07-06,"FP2A","13","256","POPBAL",6.5,1,"-99",0,1,"1","","Alive",1989,"FP2A_13_256_1989",1,"NMis",FALSE,2.7,0,0,0,FALSE,FALSE,FALSE,"NA"
"FP2A_13_256",1993-06-11,"FP2A","13","256","POPBAL",7.2,1,"-99",0,1,"1","","Alive",1993,"FP2A_13_256_1993",2,"NMis",FALSE,2.7,0.7,4,0.175,FALSE,FALSE,FALSE,"NA"
"FP2A_13_256",1997-07-24,"FP2A","13","256","POPBAL",8.5,1,"-99",0,1,"1","c","Alive",1997,"FP2A_13_256_1997",3,"NMis",FALSE,2.7,1.3,4,0.325,FALSE,FALSE,FALSE,"NA"
"FP2A_13_256",2000-06-14,"FP2A","13","256","POPBAL",9.2,1,"-99",0,1,"1","c","Alive",2000,"FP2A_13_256_2000",4,"NMis",FALSE,2.7,0.699999999999999,3,0.233333333333333,FALSE,FALSE,FALSE,"NA"
"FP2A_13_256",2004-07-21,"FP2A","13","256","POPBAL",10.2,1,"-99",0,1,"1","","Alive",2004,"FP2A_13_256_2004",5,"NMis",FALSE,2.7,1,4,0.25,FALSE,FALSE,FALSE,"NA"
"FP2A_13_256",2008-08-21,"FP2A","13","256","POPBAL",10.8,1,"-99",0,1,"1","","Alive",2008,"FP2A_13_256_2008",6,"NMis",FALSE,2.7,0.600000000000001,4,0.15,FALSE,FALSE,FALSE,"NA"
"FP2A_13_256",2018-08-15,"FP2A","13","256","POPBAL",12.4,1,"-99",0,1,"1","","Alive",2018,"FP2A_13_256_2018",7,"NMis",FALSE,2.7,1.6,10,0.16,FALSE,FALSE,FALSE,"NA"
"FP2A_13_2947",1989-07-06,"FP2A","13","2947","POPBAL",4.8,1,"-99",0,1,"1","c","Alive",1989,"FP2A_13_2947_1989",1,"NMis",FALSE,2.7,0,0,0,FALSE,FALSE,FALSE,"NA"
"FP2A_13_2947",1993-06-11,"FP2A","13","2947","POPBAL",4.9,1,"-99",0,0,"1","c","Alive",1993,"FP2A_13_2947_1993",2,"NMis",FALSE,2.7,0.100000000000001,4,0.0250000000000001,FALSE,FALSE,FALSE,"NA"
"FP2A_13_2947",1997-07-24,"FP2A","13","2947","POPBAL",5.1,1,"-99",0,0,"1","c","Alive",1997,"FP2A_13_2947_1997",3,"NMis",FALSE,2.7,0.199999999999999,4,0.0499999999999998,FALSE,FALSE,FALSE,"NA"
"FP2A_13_2947",2000-06-14,"FP2A","13","2947","POPBAL",5.5,1,"-99",0,0,"1","c","Alive",2000,"FP2A_13_2947_2000",4,"NMis",FALSE,2.7,0.4,3,0.133333333333333,FALSE,FALSE,FALSE,"NA"
"FP2A_13_2947",2004-07-21,"FP2A","13","2947","POPBAL",5.7,1,"-99",1,1,"1","","Alive",2004,"FP2A_13_2947_2004",5,"NMis",FALSE,2.7,0.2,4,0.05,FALSE,FALSE,FALSE,"NA"
"FP2A_13_2947",2008-08-21,"FP2A","13","2947","POPBAL",NA,0,"-99",1,1,"0","","Standing/Dead",2008,"FP2A_13_2947_2008",6,"Last",FALSE,2.7,0,4,0,FALSE,FALSE,FALSE,"NA"
"FP2A_13_2953",1989-07-06,"FP2A","13","2953","POPBAL",11,1,"-99",0,1,"1","","Alive",1989,"FP2A_13_2953_1989",1,"NMis",FALSE,2.7,0,0,0,FALSE,FALSE,FALSE,"NA"
"FP2A_13_2953",1993-06-11,"FP2A","13","2953","POPBAL",11.8,1,"-99",0,1,"1","","Alive",1993,"FP2A_13_2953_1993",2,"NMis",FALSE,2.7,0.800000000000001,4,0.2,FALSE,FALSE,FALSE,"NA"
"FP2A_13_2953",1997-07-24,"FP2A","13","2953","POPBAL",12.6,1,"-99",0,1,"1","c","Alive",1997,"FP2A_13_2953_1997",3,"NMis",FALSE,2.7,0.799999999999999,4,0.2,FALSE,FALSE,FALSE,"NA"
"FP2A_13_2953",2000-06-14,"FP2A","13","2953","POPBAL",13.2,1,"-99",0,1,"1","c","Alive",2000,"FP2A_13_2953_2000",4,"NMis",FALSE,2.7,0.6,3,0.2,FALSE,FALSE,FALSE,"NA"
"FP2A_13_2953",2004-07-21,"FP2A","13","2953","POPBAL",14.4,1,"-99",0,1,"1","","Alive",2004,"FP2A_13_2953_2004",5,"NMis",FALSE,2.7,1.2,4,0.3,FALSE,FALSE,FALSE,"NA"
"FP2A_13_2953",2008-08-21,"FP2A","13","2953","POPBAL",15.2,1,"-99",0,1,"1","","Alive",2008,"FP2A_13_2953_2008",6,"NMis",FALSE,2.7,0.799999999999999,4,0.2,FALSE,FALSE,FALSE,"NA"
"FP2A_13_2953",2018-08-15,"FP2A","13","2953","POPBAL",15.9,1,"-99",0,1,"1","","Alive",2018,"FP2A_13_2953_2018",7,"NMis",FALSE,2.7,0.700000000000001,10,0.0700000000000001,FALSE,FALSE,FALSE,"NA"
"FP2A_23_10",1989-07-06,"FP2A","23","10","POPBAL",13.4,1,"-99",0,1,"1","","Alive",1989,"FP2A_23_10_1989",1,"NMis",FALSE,2.7,0,0,0,FALSE,FALSE,FALSE,"NA"
"FP2A_23_10",1993-06-11,"FP2A","23","10","POPBAL",14.3,1,"-99",1,1,"1","s","Alive",1993,"FP2A_23_10_1993",2,"NMis",FALSE,2.7,0.9,4,0.225,FALSE,FALSE,FALSE,"NA"
"FP2A_23_10",1997-07-24,"FP2A","23","10","POPBAL",NA,0,"-99",1,1,"0","","Standing/Dead",1997,"FP2A_23_10_1997",3,"Last",FALSE,2.7,0,4,0,FALSE,FALSE,FALSE,"NA"
"FP2A_2_20",1989-07-06,"FP2A","2","20","POPBAL",11.8,1,"-99",0,1,"1","","Alive",1989,"FP2A_2_20_1989",1,"NMis",FALSE,2.7,0,0,0,FALSE,FALSE,FALSE,"NA"
"FP2A_2_20",1993-06-11,"FP2A","2","20","POPBAL",13.1,1,"-99",0,1,"1","c","Alive",1993,"FP2A_2_20_1993",2,"NMis",FALSE,2.7,1.3,4,0.325,FALSE,FALSE,FALSE,"NA"
"FP2A_2_20",1997-07-24,"FP2A","2","20","POPBAL",15,1,"-99",0,1,"1","c","Alive",1997,"FP2A_2_20_1997",3,"NMis",FALSE,2.7,1.9,4,0.475,FALSE,FALSE,FALSE,"NA"
"FP2A_2_20",2000-06-14,"FP2A","2","20","POPBAL",14.9,1,"-99",0,1,"1","c","Alive",2000,"FP2A_2_20_2000",4,"NMis",FALSE,2.7,-0.0999999999999996,3,-0.0333333333333332,FALSE,FALSE,FALSE,"NA"
"FP2A_2_20",2004-07-21,"FP2A","2","20","POPBAL",15.9,1,"-99",0,1,"1","","Alive",2004,"FP2A_2_20_2004",5,"NMis",FALSE,2.7,1,4,0.25,FALSE,FALSE,FALSE,"NA"
"FP2A_2_20",2008-08-21,"FP2A","2","20","POPBAL",17,1,"-99",0,1,"1","","Alive",2008,"FP2A_2_20_2008",6,"NMis",FALSE,2.7,1.1,4,0.275,FALSE,FALSE,FALSE,"NA"
"FP2A_2_20",2018-08-15,"FP2A","2","20","POPBAL",19.3,1,"-99",0,1,"1","","Alive",2018,"FP2A_2_20_2018",7,"NMis",FALSE,2.7,2.3,10,0.23,FALSE,FALSE,FALSE,"NA"
"FP2A_32_2971",1989-07-06,"FP2A","32","2971","POPBAL",14.5,1,"-99",0,1,"1","","Alive",1989,"FP2A_32_2971_1989",1,"NMis",FALSE,2.7,0,0,0,FALSE,FALSE,FALSE,"NA"
"FP2A_32_2971",1993-06-11,"FP2A","32","2971","POPBAL",15.6,1,"-99",0,0,"1","","Alive",1993,"FP2A_32_2971_1993",2,"NMis",FALSE,2.7,1.1,4,0.275,FALSE,FALSE,FALSE,"NA"
"FP2A_32_2971",1997-07-24,"FP2A","32","2971","POPBAL",15.8,1,"4",0,0,"1","","Alive",1997,"FP2A_32_2971_1997",3,"NMis",FALSE,2.7,0.200000000000001,4,0.0500000000000003,FALSE,FALSE,FALSE,"NA"
"FP2A_32_2971",2000-06-14,"FP2A","32","2971","POPBAL",15.8,1,"4",0,0,"1","","Alive",2000,"FP2A_32_2971_2000",4,"NMis",FALSE,2.7,0,3,0,FALSE,FALSE,FALSE,"NA"
"FP2A_32_2971",2004-07-21,"FP2A","32","2971","POPBAL",16,1,"-99",0,1,"1","","Alive",2004,"FP2A_32_2971_2004",5,"NMis",FALSE,2.7,0.199999999999999,4,0.0499999999999998,FALSE,FALSE,FALSE,"NA"
"FP2A_32_2971",2008-08-21,"FP2A","32","2971","POPBAL",16.9,1,"-99",0,1,"1","new fork, new mark below dbh","Alive",2008,"FP2A_32_2971_2008",6,"NMis",FALSE,2.7,0.899999999999999,4,0.225,FALSE,FALSE,FALSE,"NA"
"FP2A_32_2971",2018-08-15,"FP2A","32","2971","POPBAL",3.6,1,"-99",0,1,"1","old notes-new fork, new mark below dbh. 2019 notes-","Alive",2018,"FP2A_32_2971_2018",7,"NMis",FALSE,2.7,-13.3,10,-1.33,FALSE,TRUE,TRUE,"Dip"
"FP2A_4_53",1989-07-06,"FP2A","4","53","POPBAL",7.1,1,"-99",0,1,"1","","Alive",1989,"FP2A_4_53_1989",1,"NMis",FALSE,2.7,0,0,0,FALSE,FALSE,FALSE,"NA"
"FP2A_4_53",1993-06-11,"FP2A","4","53","POPBAL",8.2,1,"10",0,1,"1","","Alive",1993,"FP2A_4_53_1993",2,"NMis",FALSE,2.7,1.1,4,0.275,FALSE,FALSE,FALSE,"NA"
"FP2A_4_53",1997-07-24,"FP2A","4","53","POPBAL",9.5,1,"10",0,1,"1","c","Alive",1997,"FP2A_4_53_1997",3,"NMis",FALSE,2.7,1.3,4,0.325,FALSE,FALSE,FALSE,"NA"
"FP2A_4_53",2000-06-14,"FP2A","4","53","POPBAL",9.9,1,"10",0,1,"1","c","Alive",2000,"FP2A_4_53_2000",4,"NMis",FALSE,2.7,0.4,3,0.133333333333333,FALSE,FALSE,FALSE,"NA"
"FP2A_4_53",2004-07-21,"FP2A","4","53","POPBAL",10.6,1,"-99",0,1,"1","","Alive",2004,"FP2A_4_53_2004",5,"NMis",FALSE,2.7,0.699999999999999,4,0.175,FALSE,FALSE,FALSE,"NA"
"FP2A_4_53",2008-08-21,"FP2A","4","53","POPBAL",11.5,1,"-99",0,1,"1","","Alive",2008,"FP2A_4_53_2008",6,"NMis",FALSE,2.7,0.9,4,0.225,FALSE,FALSE,FALSE,"NA"
"FP2A_4_53",2018-08-15,"FP2A","4","53","POPBAL",13.9,1,"-99",0,1,"1","","Alive",2018,"FP2A_4_53_2018",7,"NMis",FALSE,2.7,2.4,10,0.24,FALSE,FALSE,FALSE,"NA"
"FP2C_12_5151",1990-08-23,"FP2C","12","5151","POPBAL",7.3,1,"-99",0,1,"1","c","Alive",1990,"FP2C_12_5151_1990",1,"NMis",FALSE,2.7,0,0,0,FALSE,FALSE,FALSE,"NA"
"FP2C_12_5151",1993-07-15,"FP2C","12","5151","POPBAL",8.2,1,"-99",0,1,"1","","Alive",1993,"FP2C_12_5151_1993",2,"NMis",FALSE,2.7,0.899999999999999,3,0.3,FALSE,FALSE,FALSE,"NA"
"FP2C_12_5151",1997-07-24,"FP2C","12","5151","POPBAL",8.8,1,"-99",0,1,"1","","Alive",1997,"FP2C_12_5151_1997",3,"NMis",FALSE,2.7,0.600000000000001,4,0.15,FALSE,FALSE,FALSE,"NA"
"FP2C_12_5151",2000-07-20,"FP2C","12","5151","POPBAL",8.9,1,"-99",0,1,"1","","Alive",2000,"FP2C_12_5151_2000",4,"NMis",FALSE,2.7,0.0999999999999996,3,0.0333333333333332,FALSE,FALSE,FALSE,"NA"
"FP2C_12_5151",2004-09-12,"FP2C","12","5151","POPBAL",9.2,1,"-99",0,1,"1","","Alive",2004,"FP2C_12_5151_2004",5,"NMis",FALSE,2.7,0.299999999999999,4,0.0749999999999997,FALSE,FALSE,FALSE,"NA"
"FP2C_12_5151",2008-08-26,"FP2C","12","5151","POPBAL",9.5,1,"-99",0,1,"1","","Alive",2008,"FP2C_12_5151_2008",6,"NMis",FALSE,2.7,0.300000000000001,4,0.0750000000000002,FALSE,FALSE,FALSE,"NA"
"FP2C_12_5151",2018-06-30,"FP2C","12","5151","POPBAL",10,1,"-99",0,1,"1","","Alive",2018,"FP2C_12_5151_2018",7,"NMis",FALSE,2.7,0.5,10,0.05,FALSE,FALSE,FALSE,"NA"
"FP2C_13_5178",1990-08-23,"FP2C","13","5178","POPBAL",6.6,1,"-99",0,1,"1","dt","Alive",1990,"FP2C_13_5178_1990",1,"NMis",FALSE,2.7,0,0,0,FALSE,FALSE,FALSE,"NA"
"FP2C_13_5178",1993-07-15,"FP2C","13","5178","POPBAL",7.1,1,"-99",0,1,"1","","Alive",1993,"FP2C_13_5178_1993",2,"NMis",FALSE,2.7,0.5,3,0.166666666666667,FALSE,FALSE,FALSE,"NA"
"FP2C_13_5178",1997-07-24,"FP2C","13","5178","POPBAL",8,1,"-99",0,1,"1","","Alive",1997,"FP2C_13_5178_1997",3,"NMis",FALSE,2.7,0.9,4,0.225,FALSE,FALSE,FALSE,"NA"
"FP2C_13_5178",2000-07-20,"FP2C","13","5178","POPBAL",8.5,1,"-99",0,1,"1","","Alive",2000,"FP2C_13_5178_2000",4,"NMis",FALSE,2.7,0.5,3,0.166666666666667,FALSE,FALSE,FALSE,"NA"
"FP2C_13_5178",2004-09-12,"FP2C","13","5178","POPBAL",8.9,1,"-99",0,1,"1","","Alive",2004,"FP2C_13_5178_2004",5,"NMis",FALSE,2.7,0.4,4,0.1,FALSE,FALSE,FALSE,"NA"
"FP2C_13_5178",2008-08-26,"FP2C","13","5178","POPBAL",9.4,1,"-99",0,1,"1","","Alive",2008,"FP2C_13_5178_2008",6,"NMis",FALSE,2.7,0.5,4,0.125,FALSE,FALSE,FALSE,"NA"
"FP2C_13_5178",2018-06-30,"FP2C","13","5178","POPBAL",10.3,1,"-99",0,1,"1","","Alive",2018,"FP2C_13_5178_2018",7,"NMis",FALSE,2.7,0.9,10,0.09,FALSE,FALSE,FALSE,"NA"
"FP2C_14_5182",1990-08-23,"FP2C","14","5182","POPBAL",7.3,1,"-99",0,1,"1","","Alive",1990,"FP2C_14_5182_1990",1,"NMis",FALSE,2.7,0,0,0,FALSE,FALSE,FALSE,"NA"
"FP2C_14_5182",1993-07-15,"FP2C","14","5182","POPBAL",8.1,1,"-99",0,1,"1","c","Alive",1993,"FP2C_14_5182_1993",2,"NMis",FALSE,2.7,0.8,3,0.266666666666667,FALSE,FALSE,FALSE,"NA"
"FP2C_14_5182",1997-07-24,"FP2C","14","5182","POPBAL",8.7,1,"-99",0,1,"1","c","Alive",1997,"FP2C_14_5182_1997",3,"NMis",FALSE,2.7,0.6,4,0.15,FALSE,FALSE,FALSE,"NA"
"FP2C_14_5182",2000-07-20,"FP2C","14","5182","POPBAL",9.3,1,"-99",0,1,"1","c","Alive",2000,"FP2C_14_5182_2000",4,"NMis",FALSE,2.7,0.600000000000001,3,0.2,FALSE,FALSE,FALSE,"NA"
"FP2C_14_5182",2004-09-12,"FP2C","14","5182","POPBAL",9.9,1,"-99",0,1,"1","","Alive",2004,"FP2C_14_5182_2004",5,"NMis",FALSE,2.7,0.6,4,0.15,FALSE,FALSE,FALSE,"NA"
"FP2C_14_5182",2008-08-26,"FP2C","14","5182","POPBAL",10.7,1,"-99",0,1,"1","","Alive",2008,"FP2C_14_5182_2008",6,"NMis",FALSE,2.7,0.799999999999999,4,0.2,FALSE,FALSE,FALSE,"NA"
"FP2C_14_5182",2018-06-30,"FP2C","14","5182","POPBAL",12.4,1,"-99",0,1,"1","","Alive",2018,"FP2C_14_5182_2018",7,"NMis",FALSE,2.7,1.7,10,0.17,FALSE,FALSE,FALSE,"NA"
