"","UniqueID","SITE","PLOT","SPECIES","TREE","DBH.new","DBH_change","year_difference","Notes"
"1","BDI1_1_27","BDI1","1","BETNEO","27",4.3,-0.100000000000001,4,"4.4 -> 4.3 from 2014-2018"
"2","BDI1_1_31","BDI1","1","POPTRE","31",6.5,-0.0999999999999996,4,"6.6 -> 6.5 from 2014-2018"
"3","BDI1_1_33","BDI1","1","BETNEO","33",4.6,0,4,"4.6 -> 4.6 from 2014-2018"
"4","BDI1_1_35","BDI1","1","BETNEO","35",3.5,0,4,"3.5 -> 3.5 from 2014-2018"
"5","BDI1_1_40","BDI1","1","BETNEO","40",3.4,0,4,"3.4 -> 3.4 from 2014-2018"
"6","BDI1_1_41","BDI1","1","BETNEO","41",4.3,0,4,"4.3 -> 4.3 from 2014-2018"
"7","BDI1_1_43","BDI1","1","BETNEO","43",2.8,0,4,"2.8 -> 2.8 from 2014-2018"
"8","BDI1_1_51","BDI1","1","POPTRE","51",5.4,-0.899999999999999,4,"6.3 -> 5.4 from 2014-2018"
"9","BDI1_1_53","BDI1","1","BETNEO","53",3,0,4,"3 -> 3 from 2014-2018"
"10","BDI1_1_56","BDI1","1","POPTRE","56",3.2,-0.3,4,"3.5 -> 3.2 from 2014-2018"
"11","BDI1_1_59","BDI1","1","BETNEO","59",2.8,0,4,"2.8 -> 2.8 from 2014-2018"
"12","BDI1_1_70","BDI1","1","BETNEO","70",3.4,0,4,"3.4 -> 3.4 from 2014-2018"
"13","BDI1_1_72","BDI1","1","BETNEO","72",2.8,0,4,"2.8 -> 2.8 from 2014-2018"
"14","BDI1_1_82","BDI1","1","BETNEO","82",3.4,0,4,"3.4 -> 3.4 from 2014-2018"
"15","BDI1_11_667","BDI1","11","POPTRE","667",4.7,0,4,"4.7 -> 4.7 from 2014-2018"
"16","BDI1_11_670","BDI1","11","POPTRE","670",4,-0.0999999999999996,4,"4.1 -> 4 from 2014-2018"
"17","BDI1_11_700","BDI1","11","BETNEO","700",6.3,-0.7,4,"7 -> 6.3 from 2014-2018"
"18","BDI1_11_704","BDI1","11","BETNEO","704",5.4,0,4,"5.4 -> 5.4 from 2014-2018"
"19","BDI1_11_707","BDI1","11","BETNEO","707",2.6,0,4,"2.6 -> 2.6 from 2014-2018"
"20","BDI1_11_710","BDI1","11","BETNEO","710",3.5,0,4,"3.5 -> 3.5 from 2014-2018"
"21","BDI1_11_714","BDI1","11","BETNEO","714",2.6,0,4,"2.6 -> 2.6 from 2014-2018"
"22","BDI1_11_716","BDI1","11","BETNEO","716",2.8,0,4,"2.8 -> 2.8 from 2014-2018"
"23","BDI1_11_718","BDI1","11","BETNEO","718",3,0,4,"3 -> 3 from 2014-2018"
"24","BDI1_12_744","BDI1","12","BETNEO","744",3.3,0,4,"3.3 -> 3.3 from 2014-2018"
"25","BDI1_12_748","BDI1","12","BETNEO","748",3.3,0,4,"3.3 -> 3.3 from 2014-2018"
"26","BDI1_12_749","BDI1","12","BETNEO","749",5.3,0,4,"5.3 -> 5.3 from 2014-2018"
"27","BDI1_12_755","BDI1","12","BETNEO","755",5,0,4,"5 -> 5 from 2014-2018"
"28","BDI1_12_759","BDI1","12","BETNEO","759",6,0,4,"6 -> 6 from 2014-2018"
"29","BDI1_12_767","BDI1","12","BETNEO","767",6.1,0,4,"6.1 -> 6.1 from 2014-2018"
"30","BDI1_12_768","BDI1","12","BETNEO","768",5.7,0,4,"5.7 -> 5.7 from 2014-2018"
"31","BDI1_12_770","BDI1","12","BETNEO","770",4.5,0,4,"4.5 -> 4.5 from 2014-2018"
"32","BDI1_12_772","BDI1","12","BETNEO","772",3.7,0,4,"3.7 -> 3.7 from 2014-2018"
"33","BDI1_12_774","BDI1","12","BETNEO","774",5.5,-0.0999999999999996,4,"5.6 -> 5.5 from 2014-2018"
"34","BDI1_12_780","BDI1","12","PICMAR","780",6.5,-0.4,4,"6.9 -> 6.5 from 2014-2018"
"35","BDI1_12_784","BDI1","12","POPTRE","784",3.4,0,4,"3.4 -> 3.4 from 2014-2018"
"36","BDI1_12_795","BDI1","12","BETNEO","795",6.3,0,4,"6.3 -> 6.3 from 2014-2018"
"37","BDI1_12_800","BDI1","12","BETNEO","800",3.2,0,4,"3.2 -> 3.2 from 2014-2018"
"38","BDI1_12_803","BDI1","12","POPTRE","803",3,0,4,"3 -> 3 from 2014-2018"
"39","BDI1_12_817","BDI1","12","BETNEO","817",2.7,0,4,"2.7 -> 2.7 from 2014-2018"
"40","BDI1_13_1413","BDI1","13","BETNEO","1413",5.2,0,4,"5.2 -> 5.2 from 2014-2018"
"41","BDI1_13_827","BDI1","13","BETNEO","827",6.1,0,4,"6.1 -> 6.1 from 2014-2018"
"42","BDI1_13_828","BDI1","13","BETNEO","828",5.1,0,4,"5.1 -> 5.1 from 2014-2018"
"43","BDI1_13_829","BDI1","13","BETNEO","829",4.2,0,4,"4.2 -> 4.2 from 2014-2018"
"44","BDI1_13_831","BDI1","13","BETNEO","831",13.5,-0.0999999999999996,4,"13.6 -> 13.5 from 2014-2018"
"45","BDI1_13_847","BDI1","13","BETNEO","847",2.5,0,4,"2.5 -> 2.5 from 2014-2018"
"46","BDI1_13_848","BDI1","13","BETNEO","848",4.6,0,4,"4.6 -> 4.6 from 2014-2018"
