sitename,prelimID
BCEFM2,Apex Beta
BDI1,BD-6
BDI2,BD-10
BDI3,BD-9
BDI4,BD-11
BDI5,BD-7
BDI6,BD-5
BDI7,BD-2
BDI8,BD-1
BDM1,BD69T2
BFY1,BF71
BFY10,BF73
BFY11,BF82
BFY12,BF83
BFY13,BF99
BFY4,BF81
BFY6,BF77
BFY7,BF84
BFY8,BF61
BFY9,BF63
DCM1,Dalton
DCY1,DC54
DCY10,DC37
DCY12,DC33
DCY13,DC41
DCY14,DC47
DCY15,DC48
DCY16,DC52
DCY17,DC55
DCY2,DC36
DCY3,DC53
DCY4,DC49
DCY5,DC46
DCY6,DC44
DCY7,DC42
DCY8,DC40
DCY9,DC39
DDM1,TKN0126
DDM2,TKN0124
FP5A,FP5A
FP5C,FP5C
FP5D,FP5D
GRI1,GR-9
GRI2,GR-2
GRI3,GR-1
GRI4,GR-6
GRI5,GR-5
GRI6,GR-3
GRI7,GR-4
GRM1,TKN0118
GRM2,GR-10
GRM3,TKN0120
GRM4,TKN0119
GSI1,GS-3
GSI2,GS-2
GSI3,GS-1
GSM1,TKN0131L
GSM2,TKN0131
GSM3,TKN0040
GSM4,TKN0043
GSM5,TKN0024
HR1A,HR1A
LGI1,LG-2
LGI2,LG-3
MDI1,MD-5
MDI2,MD-7
MDI3,MD-6
MDI4,MD-2
MDI5,MD-8
MDM1,MD-3
NRM1,Nenana Ridge Bottom
NRM2,Nenana Ridge
SL1A,SL1A
SL1B,SL1B
TRM1,TKN0139
TRM2,Tatalina River 1
TRM3,Tatalina River 2
TRM4,TKN0137
UP4A,TKN0001
UP4B,TKN0103
UP4C,TKN0110
UP4D,TKN0134
WCM1,Washington Creek 1
WCM2,Washington Creek 3
WCM3,TKN0015
WCM4,TKN0012
WDI1,WD-1
WDI2,WD-2
WDI3,WD-3
WDI4,WD-4
WDI5,WD-6
WDI6,WD-8
YRM1,TKN0148
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
