,UniqueID,SITE,PLOT,TREE,SPECIES,First_Appearance,Dead_Year,Last_Appearance,Sampled_Years,Last_Status,Trend,Year,NOTES
1,BDI411_565,BDI4,11,565,BETNEO/POPTRE,2014,2018,2018,"2018, 2014",dead,2 trees with same UniqueID,,"1 is BETNEO, the other is POPTRE. BETNEO dies in 2018, while POPTRE is still alive. Could consider deleting the BETNEO record since it only has a single live data point, and then use the POPTRE, just be careful when distinguishing this."
5,BFY412_433,BFY4,12,433,BETNEO,2018,2018,2023,"2023, 2018, 2014",persistent,Back to life,,"First recorded as dead in 2018, but was alive in 2023. Could just be considered a new data point in 2023."
6,FP1C13_143,FP1C,13,143,POPBAL,1998,2008,2018,"2018, 2008, 2004, 2000, 1998",persistent,Back to life,,"DBH of 1 in 2004, dead in 2008, DBH of 6.6 in 2018"
7,FP1C7_116,FP1C,7,116,POPBAL,1998,2004,2018,"2018, 2008, 2004, 2000, 1998",persistent,Back to life,2004,Fix as missing
8,FP1C8_119,FP1C,8,119,POPBAL,1998,2008,2018,"2018, 2008, 2004, 2000, 1998",persistent,Back to life,,"DBH of 2.2 in 2004, dead in 2008, DBH of 9.1 in 2018"
9,FP2B1_2145,FP2B,1,2145,POPBAL,1998,2000,2008,"2018, 2008, 2004, 2000, 1998, 1992, 1990",dead,Back to life (and death),2000,Fix as missing
10,FP2B1_2146,FP2B,1,2146,POPBAL,1998,2000,2018,"2018, 2008, 2004, 2000, 1998, 1992, 1990",dead,Back to life (and death),2000,Fix as missing
11,FP2B11_598,FP2B,11,598,POPBAL,1998,2000,2008,"2018, 2008, 2004, 2000, 1998, 1992, 1990",dead,Back to life (and death),2000,Fix as missing
12,FP2B11_599,FP2B,11,599,POPBAL,1998,2000,2008,"2018, 2008, 2004, 2000, 1998, 1992, 1990",dead,Back to life (and death),2000,Fix as missing
13,FP2B11_616,FP2B,11,616,POPBAL,1998,2000,2008,"2018, 2008, 2004, 2000, 1998, 1992, 1990",dead,Back to life (and death),2000,Fix as missing
14,FP2B12_622,FP2B,12,622,POPBAL,1998,2000,2018,"2018, 2008, 2004, 2000, 1998, 1992, 1990",dead,Back to life (and death),2000,Fix as missing
15,FP2B12_627,FP2B,12,627,POPBAL,1998,2000,2018,"2018, 2008, 2004, 2000, 1998, 1992, 1990",dead,Back to life (and death),2000,Fix as missing
16,FP2B12_628,FP2B,12,628,POPBAL,1998,2000,2018,"2018, 2008, 2004, 2000, 1998, 1992, 1990",dead,Back to life (and death),2000,"DBH of 1.4 in 1998, dead/missing in 2000, DBH of 4.3 in 2004, 7.2 in 2008, dead in 2018"
17,FP2B12_631,FP2B,12,631,POPBAL,1998,2000,2018,"2018, 2008, 2004, 2000, 1998, 1992, 1990",dead,Back to life (and death),2000,Fix as missing
18,FP2B12_637,FP2B,12,637,POPBAL,1998,2000,2008,"2018, 2008, 2004, 2000, 1998, 1992, 1990",dead,Back to life (and death),2000,Fix as missing
19,FP2B12_638,FP2B,12,638,POPBAL,1998,2000,2018,"2018, 2008, 2004, 2000, 1998, 1992, 1990",dead,Back to life (and death),2000,Fix as missing
20,FP2B12_640,FP2B,12,640,POPBAL,1998,2000,2008,"2018, 2008, 2004, 2000, 1998, 1992, 1990",dead,Back to life (and death),2000,Fix as missing
21,FP2B12_644,FP2B,12,644,POPBAL,1998,2000,2018,"2018, 2008, 2004, 2000, 1998, 1992, 1990",dead,Back to life (and death),2000,Fix as missing
22,FP2B12_645,FP2B,12,645,POPBAL,1998,2000,2018,"2018, 2008, 2004, 2000, 1998, 1992, 1990",dead,Back to life (and death),,"DBH of 0.3 in 1998, dead/missing in 2000/2004, DBH of 4.5 in 2008, dead in 2018"
23,FP2B12_646,FP2B,12,646,POPBAL,1998,2000,2008,"2018, 2008, 2004, 2000, 1998, 1992, 1990",dead,Back to life (and death),2000,Fix as missing
24,FP2B12_648,FP2B,12,648,POPBAL,1998,2000,2008,"2018, 2008, 2004, 2000, 1998, 1992, 1990",dead,Back to life (and death),2000,Fix as missing
25,FP2B14_664,FP2B,14,664,POPBAL,1998,2000,2018,"2018, 2008, 2004, 2000, 1998, 1992, 1990",persistent,Back to life,2000,Fix as missing
