sitename,n_dd,w_dd,age,age_ave,decid.bio,decid.dens,d.index,class
BCEFM2,64.69516,-148.32324,mature,90,7.6628285832946625,8.333333333333334e-4,0.00527729287807882,spruce
BDI1,65.063454,-150.403119,intermediate,48,12076.252798019575,0.6091666666666666,0.9741780643205136,decid
BDI2,65.070412,-150.368877,intermediate,54,7815.11774646122,0.785,0.8762626351952574,decid
BDI3,65.073548,-150.349093,intermediate,53,2387.3504455660764,0.3525,0.5254483296567137,mixed
BDI4,65.078379,-150.325606,intermediate,47,6367.575255270118,0.835,0.9456270197759146,decid
BDI5,65.095197,-150.282723,intermediate,53,581.7144842997773,0.0625,0.3774750102779864,mixed
BDI6,65.10084,-150.269876,intermediate,55,7.318294394568173,0.00166666666666666,0.1030011346604051,spruce
BDI7,65.161836,-150.063616,intermediate,52,7177.024894881129,0.8575,0.9940473670166432,decid
BDI8,65.163552,-150.049912,intermediate,53,2836.834139691231,0.435,0.5312422849812591,mixed
BDM1,65.15799,-150.13574,mature,90,0,0,0,spruce
BFY1,65.119979,-147.429158,young,20,77.73339398017995,0.03375,1,decid
BFY10,65.118669,-147.449411,young,20,52.375614399352315,0.02,1,decid
BFY11,65.148476,-147.471686,young,20,2109.998969961316,0.8491666666666666,0.9974503216336992,decid
BFY12,65.147741,-147.470284,young,20,1062.1804380873446,0.46,1,decid
BFY13,65.143817,-147.460553,young,20,2079.744224328777,0.8216666666666667,1,decid
BFY4,65.14981,-147.47274,young,20,4048.34217515931,1.2466666666666666,0.761509545,decid
BFY6,65.130069,-147.477168,young,20,330.91400092440085,0.16333333333333333,1,decid
BFY7,65.153652,-147.47723,young,20,0,0,0.290351813,spruce
BFY8,65.349339,-146.667829,young,20,NA,NA,0.321522734,spruce
BFY9,65.353058,-146.675377,young,20,0,0,0,spruce
DCM1,66.240395,-150.312493,mature,90,NA,NA,1,decid
DCY1,65.910596,-149.77952,young,20,NA,NA,0.065340292,spruce
DCY10,66.207444,-150.236443,young,20,NA,NA,0.707973066,decid
DCY12,66.265542,-150.333539,young,20,0,0,0,spruce
DCY13,66.15537,-150.184437,young,20,22.202318594264984,0.0125,1,decid
DCY14,66.120336,-150.1632,young,20,NA,NA,1,decid
DCY15,66.109119,-150.155465,young,20,219.48159362588856,0.10833333333333334,1,decid
DCY16,66.073353,-150.168267,young,20,209.97514111622277,0.06416666666666666,1,decid
DCY17,65.896067,-149.752832,young,20,1003.8873271935488,0.5133333333333333,1,decid
DCY2,66.215182,-150.257716,young,20,18.06529648983671,0.01,0.5,mixed
DCY3,66.072254,-150.167891,young,20,371.4135646108015,0.1725,0.84869218,decid
DCY4,66.105262,-150.151326,young,20,0,0,0.149247305,spruce
DCY5,66.109679,-150.156852,young,20,181.91347270070173,0.09333333333333334,0.578569155,mixed
DCY6,66.140521,-150.170408,young,20,14.642297218344984,0.01,0.486520727,mixed
DCY7,66.151718,-150.179563,young,20,NA,NA,0.85962807,decid
DCY8,66.163658,-150.203584,young,20,17.50617799892764,0.015,0.88399653,decid
DCY9,66.168628,-150.20114,young,20,48.3552921087101,0.03,0.528292766,mixed
DDM1,63.84662,-145.723333,mature,135,0,0,0,spruce
DDM2,63.89178,-145.74101,mature,92,6.535051657450478,0.00166666666666666,0.00295852541714416,spruce
FP5A,64.681479,-148.249062,mature,200,9.240818154890144,0.00166666666666666,0.01054742319688758,spruce
FP5C,64.713614,-148.147263,young,14,NA,NA,1,decid
FP5D,64.72541,-148.19274,mature,90,23.38835585587332,0.00583333333333333,0.01839895762886362,spruce
GRI1,63.772116,-145.079202,intermediate,82,375.9109215017064,0.035,0.2618338222576485,spruce
GRI2,63.787588,-145.055334,intermediate,57,11256.937485365394,0.36833333333333335,0.986041399565273,decid
GRI3,63.791346,-145.041859,intermediate,61,11262.933261501024,0.19583333333333333,0.7504376535487036,decid
GRI4,63.793417,-145.054202,intermediate,61,9585.3580664267,0.31,0.6755002799256262,decid
GRI5,63.795019,-145.076628,intermediate,53,9549.422346318304,0.23333333333333336,0.8983832286269646,decid
GRI6,63.800401,-145.055548,intermediate,64,7049.517407927587,0.21,0.622084478210704,mixed
GRI7,63.801791,-145.061443,intermediate,74,11532.357602143276,0.25416666666666665,0.9376181190852272,decid
GRM1,63.695772,-144.331784,mature,204,0,0,0,spruce
GRM2,63.787641,-145.063916,mature,53,0,0,0,spruce
