ID,sitename,age_ave,d.index,class
RSN,BCEFM2,90,0.00527729287807882,spruce
RSN,BDI1,48,0.9741780643205136,decid
RSN,BDI2,54,0.8762626351952574,decid
RSN,BDI3,53,0.5254483296567137,mixed
RSN,BDI4,47,0.9456270197759146,decid
RSN,BDI5,53,0.3774750102779864,mixed
RSN,BDI6,55,0.1030011346604051,spruce
RSN,BDI7,52,0.9940473670166432,decid
RSN,BDI8,53,0.5312422849812591,mixed
RSN,BDM1,90,0,spruce
RSN,BFY1,20,1,decid
RSN,BFY10,20,1,decid
RSN,BFY11,20,0.9974503216336992,decid
RSN,BFY12,20,1,decid
RSN,BFY13,20,1,decid
RSN,BFY4,20,0.761509545,decid
RSN,BFY6,20,1,decid
RSN,BFY7,20,0.290351813,spruce
RSN,BFY8,20,0.321522734,spruce
RSN,BFY9,20,0,spruce
RSN,DCM1,90,1,decid
RSN,DCY1,20,0.065340292,spruce
RSN,DCY10,20,0.707973066,decid
RSN,DCY12,20,0,spruce
RSN,DCY13,20,1,decid
RSN,DCY14,20,1,decid
RSN,DCY15,20,1,decid
RSN,DCY16,20,1,decid
RSN,DCY17,20,1,decid
RSN,DCY2,20,0.5,mixed
RSN,DCY3,20,0.84869218,decid
RSN,DCY4,20,0.149247305,spruce
RSN,DCY5,20,0.578569155,mixed
RSN,DCY6,20,0.486520727,mixed
RSN,DCY7,20,0.85962807,decid
RSN,DCY8,20,0.88399653,decid
RSN,DCY9,20,0.528292766,mixed
RSN,DDM1,135,0,spruce
RSN,DDM2,92,0.00295852541714416,spruce
RSN,FP5A,200,0.01054742319688758,spruce
RSN,FP5C,14,1,decid
RSN,FP5D,90,0.01839895762886362,spruce
RSN,GRI1,82,0.2618338222576485,spruce
RSN,GRI2,57,0.986041399565273,decid
RSN,GRI3,61,0.7504376535487036,decid
RSN,GRI4,61,0.6755002799256262,decid
RSN,GRI5,53,0.8983832286269646,decid
RSN,GRI6,64,0.622084478210704,mixed
RSN,GRI7,74,0.9376181190852272,decid
RSN,GRM1,204,0,spruce
RSN,GRM2,53,0,spruce
RSN,GRM3,232,0,spruce
RSN,GRM4,346,0.00680324417050159,spruce
RSN,GSI1,58,0,spruce
RSN,GSI2,58,0,spruce
RSN,GSI3,58,0.26593746437604066,spruce
RSN,GSM1,185,0,spruce
RSN,GSM2,185,0,spruce
RSN,GSM3,190,0,spruce
RSN,GSM4,107,0.02131032877252123,spruce
RSN,GSM5,184,0.00362727540065777,spruce
RSN,HR1A,25,1,decid
RSN,LGI1,66,0,spruce
RSN,LGI2,66,0.3082030729932448,spruce
RSN,MDI1,58,0.385309785348059,mixed
RSN,MDI2,53,0.512885902664577,mixed
RSN,MDI3,58,0.7350325999636467,decid
RSN,MDI4,53,0.4917221507686235,mixed
RSN,MDI5,71,0.02419022884108075,spruce
RSN,MDM1,115,0,spruce
RSN,NRM1,90,0,spruce
RSN,NRM2,90,0,spruce
RSN,SL1A,23,0.5,mixed
RSN,SL1B,23,1,decid
RSN,TRM1,112,0,spruce
RSN,TRM2,90,0,spruce
RSN,TRM3,90,0,spruce
RSN,TRM4,118,0.00547344515167122,spruce
RSN,UP4A,111,0.00260931076354594,spruce
RSN,UP4B,197,0,spruce
RSN,UP4C,148,0,spruce
RSN,UP4D,116,0.01246825471619647,spruce
RSN,WCM1,90,0,spruce
RSN,WCM2,90,0,spruce
RSN,WCM3,178,0,spruce
RSN,WCM4,243,0.00750087029169294,spruce
RSN,WDI1,90,0.00370334383591836,spruce
RSN,WDI2,39,0.8863811153184601,decid
RSN,WDI3,37,0.3235230288341832,spruce
RSN,WDI4,39,0.66056153666731,decid
RSN,WDI5,64,0.568070204752679,mixed
RSN,WDI6,46,0.9728647862730384,decid
RSN,YRM1,119,0.01236049941132968,spruce
CAFI,1001,55,0.9130365177858584,decid
CAFI,1002,35,0.24734589401073015,spruce
CAFI,1003,45,0.7373091604144684,decid
CAFI,1004,83,0.36118759384776983,mixed
CAFI,1005,83,0.9606566753255212,decid
CAFI,1006,55,0.953112061422698,decid
CAFI,1007,NA,0.8618089029108598,decid
CAFI,1008,NA,0.45084532672791944,mixed
CAFI,1009,NA,0.6710759028485364,decid
CAFI,1010,NA,0.5192802750823758,mixed
CAFI,1011,NA,0.9068606387515707,decid
CAFI,1012,113,0.4161374602901206,mixed
CAFI,1013,NA,0.6672697611036833,decid
