site,Longitude,Latitude,StdAge,D.Index,Class
1001,-148.257,64.80426,55,0.9130365177858584,Decid
1002,-146.82965,64.85097,35,0.24734589401073015,Spruce
1003,-148.63641,64.78607,45,0.7373091604144684,Decid
1004,-142.98146,63.35302,83,0.36118759384776983,Mixed
1005,-146.80496,64.54585,83,0.9606566753255213,Decid
1006,-148.27142,65.3138,55,0.9531120614226981,Decid
1007,-147.86777,64.87632,NA,0.8618089029108598,Decid
1008,-148.18036,64.79243,NA,0.45084532672791944,Mixed
1009,-148.69842,64.63525,NA,0.6710759028485364,Decid
1010,-148.68374,64.65542,NA,0.5192802750823758,Mixed
1011,-148.55757,64.67472,NA,0.9068606387515707,Decid
1012,-146.58097,64.30339,113,0.4161374602901206,Mixed
1013,-141.12389,62.68649,NA,0.6672697611036833,Decid
1014,-141.10787,62.68204,NA,0.24745608653504836,Spruce
1015,-146.59181,65.28023,56,0.7549678296439476,Decid
1016,-146.57515,65.28421,80,0.8482874656407551,Decid
1017,-148.30717,64.90083,132.5,0.40667701129048023,Mixed
1018,-142.25517,63.75761,NA,0.6415230201779362,Mixed
1019,-143.00532,63.25935,NA,0.5432206629057041,Mixed
1020,-143.29387,63.12823,NA,0.7901158515323511,Decid
1021,-149.04247,64.63117,51,0.9336739515747592,Decid
1022,-146.48333,64.29184,53,0.6707841608090094,Decid
1023,-148.25399,64.90437,63,0.9274228304609918,Decid
1024,-145.83425,64.19545,NA,0.2231885999588316,Spruce
1025,-145.83773,64.19499,49,0.7661346212331692,Decid
1027,-142.98391,63.35625,108,0.26489162588190546,Spruce
1028,-148.33092,64.72475,147,0.15505158671390668,Spruce
1029,-143.23957,63.11073,60,0,Spruce
1030,-143.23079,63.11139,NA,0,Spruce
1031,-145.42118,62.04148,80,0.8449704270840515,Decid
1032,-145.41307,62.04165,76,0.6901345821052554,Decid
1033,-143.24731,63.31257,85,0.8917114430158872,Decid
1034,-143.15525,63.2793,NA,0.48939202782091223,Mixed
1035,-145.43995,62.07857,NA,0.473365256078973,Mixed
1036,-147.34171,64.82239,NA,0.8066712001775849,Decid
1037,-144.01255,61.48414,NA,0.10178507922976299,Spruce
