site,core,core_type,core_depth,location,analysis,C/N,notes,,,,
Apex Beta,1,pf,153,LTER conex at Forestry,y,n,,,,,
Apex Beta,2,pf,88,LTER conex at Forestry,y,n,,,Core summary,,
Apex Beta,3,pf,264,LTER conex at Forestry,y,n,,,Number of pf,Processed,
Apex Beta,4,pf,81,LTER conex at Forestry,y,n,,,118,80,
BD-5,1,pf,44,LTER conex at Forestry,y,n,,,Number of short,,
BD-5,2,pf,65,LTER conex at Forestry,y,n,,,210,0,
BD-5,3,pf,62,LTER conex at Forestry,y,n,,,,,
BD-5,4,pf,57,LTER conex at Forestry,y,n,,,Site summary,,
BD69T2,1,pf,55,LTER conex at Forestry,y,n,,,num pf sites,num short sites,sites shared between pf and short
BD69T2,2,pf,60,LTER conex at Forestry,y,n,,,33,48,2
BD69T2,3,pf,60,LTER conex at Forestry,y,n,,,,,
BF61,1,pf,45,?,,,trashed?,,,,
BF61,2,pf,57,?,,,trashed?,,,,
BF61,3,pf,49,LTER conex at Forestry,y,n,,,,,
BF61,4,pf,41,LTER conex at Forestry,y,n,,,,,
BF84,1,pf,66,LTER conex at Forestry,y,n,,,,,
BF84,2,pf,76,LTER conex at Forestry,y,n,,,,,
BF84,3,pf,51,LTER conex at Forestry,y,n,,,,,
Dalton,1,pf,74,LTER conex at Forestry,y,n,,,,,
Dalton,2,pf,65,LTER conex at Forestry,y,n,,,,,
Dalton,3,pf,50,LTER conex at Forestry,y,n,,,,,
Dalton,4,pf,55,LTER conex at Forestry,y,n,,,,,
DC33,1,pf,46,LTER conex at Forestry,y,n,,,,,
DC33,2,pf,38,LTER conex at Forestry,y,n,,,,,
DC33,3,pf,33,LTER conex at Forestry,y,n,,,,,
DC47,1,pf,71,LTER conex at Forestry,y,n,,,,,
DC47,2,pf,76,LTER conex at Forestry,y,n,,,,,
DC47,3,pf,80,LTER conex at Forestry,y,n,,,,,
DC47,4,pf,89,LTER conex at Forestry,y,n,,,,,
DC47,5,pf,88,LTER conex at Forestry,y,n,,,,,
DC49,1,pf,52,LTER conex at Forestry,y,n,,,,,
DC49,2,pf,62,LTER conex at Forestry,y,n,,,,,
DC49,3,pf,40,LTER conex at Forestry,y,n,,,,,
FP5D,1,pf,55,LTER conex at Forestry,y,n,,,,,
FP5D,2,pf,114,LTER conex at Forestry,y,n,,,,,
FP5D,3,pf,253,?,,,trashed?,,,,
GS-2,1,pf,55,LTER conex at Forestry,y,n,,,,,
GS-2,2,pf,63,LTER conex at Forestry,y,n,,,,,
GS-2,3,pf,44,LTER conex at Forestry,y,n,,,,,
GS-2,4,pf,65,?,,,trashed?,,,,
GS-2,5,pf,37,?,,,trashed?,,,,
GS-3,1,pf,57,LTER conex at Forestry,y,n,,,,,
GS-3,2,pf,78,LTER conex at Forestry,y,n,,,,,
GS-3,3,pf,76,?,,,trashed?,,,,
GS-3,4,pf,70,LTER conex at Forestry,y,n,,,,,
MD-3,1,pf,57,LTER conex at Forestry,y,n,,,,,
MD-3,2,pf,87,?,,,trashed?,,,,
MD-3,3,pf,77,?,,,trashed?,,,,
MD-8,1,pf,92,?,,,trashed?,,,,
MD-8,2,pf,54,LTER conex at Forestry,y,n,,,,,
Nenana Ridge,1,pf,94,LTER conex at Forestry,y,n,,,,,
Nenana Ridge,2,pf,103,LTER conex at Forestry,y,n,,,,,
Nenana Ridge,3,pf,105,LTER conex at Forestry,y,n,,,,,
Nenana Ridge Bottom,1,pf,212,LTER conex at Forestry,y,n,,,,,
Nenana Ridge Bottom,2,pf,163,LTER conex at Forestry,y,n,,,,,
Nenana Ridge Bottom,3,pf,237,LTER conex at Forestry,y,n,,,,,
SL1B,1,pf,88,LTER conex at Forestry,y,n,,,,,
SL1B,2,pf,83,LTER conex at Forestry,y,n,,,,,
SL1B,3,pf,74,LTER conex at Forestry,y,n,,,,,
TKN0015,1,pf,46,LTER conex at Forestry,y,n,,,,,
TKN0015,2,pf,65,LTER conex at Forestry,y,n,,,,,
TKN0015,3,pf,54,LTER conex at Forestry,y,n,,,,,
TKN0040,1,pf,188,LTER conex at Forestry,y,n,,,,,
TKN0040,2,pf,165,LTER conex at Forestry,y,n,,,,,
TKN0040,3,pf,210,LTER conex at Forestry,y,n,,,,,
TKN0040,4,pf,363,LTER conex at Forestry,y,n,,,,,
TKN0131,1,pf,75,LTER conex at Forestry,y,n,,,,,
TKN0131,2,pf,91,LTER conex at Forestry,y,n,,,,,
TKN0131,3,pf,51,LTER conex at Forestry,y,n,,,,,
TKN0131L,1,pf,85,LTER conex at Forestry,y,n,,,,,
TKN0131L,2,pf,78,LTER conex at Forestry,y,n,,,,,
TKN0131L,3,pf,71,LTER conex at Forestry,y,n,,,,,
TKN0131L,4,pf,79,LTER conex at Forestry,y,n,,,,,
TKN0137,1,pf,62,LTER conex at Forestry,y,n,,,,,
TKN0137,2,pf,76,LTER conex at Forestry,y,n,,,,,
TKN0137,3,pf,64,LTER conex at Forestry,y,n,,,,,
TKN0137,4,pf,59,?,,,trashed?,,,,
TKN0139,1,pf,49,LTER conex at Forestry,y,n,,,,,
TKN0139,2,pf,76,LTER conex at Forestry,y,n,,,,,
TKN0139,3,pf,60,LTER conex at Forestry,y,n,,,,,
TKN0139,4,pf,73,LTER conex at Forestry,y,n,,,,,
TKN0148,1,pf,62,LTER conex at Forestry,y,n,,,,,
TKN0148,2,pf,47,LTER conex at Forestry,y,n,,,,,
TKN0148,3,pf,46,LTER conex at Forestry,y,n,,,,,
UP4C,1,pf,61,LTER conex at Forestry,y,n,,,,,
UP4C,2,pf,78,LTER conex at Forestry,y,n,,,,,
UP4C,3,pf,56,LTER conex at Forestry,y,n,,,,,
UP4C,4,pf,43,LTER conex at Forestry,y,n,,,,,
UP4C,5,pf,110,?,,,trashed?,,,,
UP4C,6,pf,88,LTER conex at Forestry,y,n,,,,,
UP4C,7,pf,146,LTER conex at Forestry,y,n,,,,,
GR-2,1,pf,?,?,n,n,trashed?,,,,
Tatalina River 1,1,pf,117,,n,n,,,,,
Tatalina River 1,2,pf,104,,n,n,,,,,
Tatalina River 1,3,pf,167,,n,n,,,,,
Tatalina River 1,4,pf,149,,n,n,,,,,
Tatalina River 2,1,pf,143,,n,n,,,,,
