Date,Fire_Name,Site_Name,Observers,Weather,cohort,Species,tree_num,core_ht,dch,dbh,sample_type,Condition_of_Core,fire_scar,age_count,Age_1,Age_2,Age_3,ave_age,field_notes,Counting_Notes,Age_Notes
8/16/11,Big Denver,BD-1,CN,sunny,1,BENE,1,14,6.1,4.4,core,good,no,1,34,NA,NA,34,NA,hard to see pith,NA
8/16/11,Big Denver,BD-1,CN,sunny,1,BENE,2,19.3,12,8.2,core,good,no,1,31,NA,NA,31,NA,NA,NA
8/16/11,Big Denver,BD-1,CN,sunny,1,BENE,3,15.5,9.5,6.2,core,good,no,1,31,NA,NA,31,NA,NA,NA
8/16/11,Big Denver,BD-1,CN,sunny,1,BENE,4,22.3,12.3,7,core,good,no,1,32,NA,NA,32,NA,NA,NA
8/16/11,Big Denver,BD-1,CN,sunny,1,BENE,5,19,9,5.5,core,good,no,0,NA,NA,NA,NA,NA,"incomplete core, on same mount with BD1PM2-4",TRASH
8/16/11,Big Denver,BD-1,CN,sunny,2,PIMA,1,21.3,23,13.2,core,?,no,1,33,NA,NA,33,BIG TREE- took two cores to make sure I got pith,NA,"both way off pith, only counted one"
8/16/11,Big Denver,BD-1,CN,sunny,2,PIMA,1,25,20.5,13.2,core,?,no,1,33,NA,NA,33,BIG TREE- took two cores to make sure I got pith,NA,"both way off pith, only counted one"
8/16/11,Big Denver,BD-1,CN,sunny,2,PIMA,2,22.5,6.3,4.9,core,good,no,2,23,25,NA,24,NA,NA,NA
8/16/11,Big Denver,BD-1,CN,sunny,2,PIMA,3,20.3,3,2.5,core,good,no,2,25,24,NA,24.5,NA,core broken before pith,NA
8/16/11,Big Denver,BD-1,CN,sunny,2,PIMA,4,24,4,3.3,core,good,no,1,31,NA,NA,31,NA,NA,NA
8/16/11,Big Denver,BD-1,CN,sunny,2,PIMA,5,23.2,5.3,4,core,good,no,0,NA,NA,NA,NA,incomplete core… not mounted,NA,NA
8/16/11,Big Denver,BD-1,CN,sunny,3,PIMA,1,10,2.2,<DBH,cookie,good,no,1,27,NA,NA,27,NA,NA,NA
8/16/11,Big Denver,BD-1,CN,sunny,3,PIMA,2,10,2.4,<DBH,cookie,good,no,3,25,29,28,27.33,NA,NA,NA
8/16/11,Big Denver,BD-1,CN,sunny,3,PIMA,3,10,2.7,<DBH,cookie,good,no,1,32,NA,NA,32,NA,NA,NA
8/16/11,Big Denver,BD-1,CN,sunny,3,PIMA,4,10,2.3,<DBH,cookie,good,no,1,28,NA,NA,28,NA,NA,NA
8/16/11,Big Denver,BD-1,CN,sunny,3,PIMA,5,10,1.2,<DBH,cookie,good,no,0,NA,NA,NA,NA,NA,missing,NA
8/16/11,Big Denver,BD-1,CN,sunny,5,CBSNBC PIMA,1,35,11.4,8.4,cookie,good,yes,2,72,74,NA,73,NA,NA,NA
8/17/11,Big Denver,BD-10,BC,partly sunny,1,BENE,1,10,10.5,6.6,core,good,no,1,33,NA,NA,33,NA,NA,NA
8/17/11,Big Denver,BD-10,BC,partly sunny,1,BENE,2,10,11.2,7.1,core,good,no,0,NA,NA,NA,NA,NA,can't see pith,TRASH
8/17/11,Big Denver,BD-10,BC,partly sunny,1,BENE,3,10,7.3,4.9,core,good,no,1,30,NA,NA,30,NA,few years off pith,NA
8/17/11,Big Denver,BD-10,BC,partly sunny,1,BENE,4,10,11.3,7.2,core,good,no,1,34,NA,NA,34,NA,few years off pith,NA
8/17/11,Big Denver,BD-10,BC,partly sunny,1,BENE,5,10,7.9,5.3,core,good,no,1,34,NA,NA,34,NA,NA,NA
8/17/11,Big Denver,BD-10,BC,partly sunny,2,PICEASP,1,10,7.6,6.2,core,good,no,1,37,NA,NA,37,NA,NA,NA
8/17/11,Big Denver,BD-10,BC,partly sunny,2,PICEASP,2,10,7.5,5.9,core,good,no,1,32,NA,NA,32,NA,NA,NA
8/17/11,Big Denver,BD-10,BC,partly sunny,2,PICEASP,3,10,7.1,5.2,core,good,no,0,NA,NA,NA,NA,NA,NA,TRASH
8/17/11,Big Denver,BD-10,BC,partly sunny,2,PICEASP,4,10,11.3,8.7,core,good,no,1,36,NA,NA,36,NA,NA,NA
8/17/11,Big Denver,BD-10,BC,partly sunny,2,PICEASP,5,10,8.9,7.1,core,good,no,1,34,NA,NA,34,NA,NA,NA
8/17/11,Big Denver,BD-10,BC,partly sunny,3,PICEASP,1,10,1.4,<DBH,cookie,good,no,2,22,21,NA,21.5,NA,NA,NA
8/17/11,Big Denver,BD-10,BC,partly sunny,3,PICEASP,2,10,1.6,<DBH,cookie,good,no,2,31,32,NA,31.5,NA,NA,NA
8/17/11,Big Denver,BD-10,BC,partly sunny,3,PICEASP,3,10,2.5,<DBH,cookie,good,no,2,23,23,NA,23,NA,NA,NA
8/17/11,Big Denver,BD-10,BC,partly sunny,3,PICEASP,4,10,2.8,<DBH,cookie,good,no,2,30,30,NA,30,NA,NA,NA
8/17/11,Big Denver,BD-10,BC,partly sunny,3,PICEASP,5,10,1.7,<DBH,cookie,good,no,2,29,30,NA,29.5,NA,NA,NA
8/17/11,Big Denver,BD-10,BC,partly sunny,4,CBSNBC,1,15,7.2,5,cookie,good,no,2,70,69,NA,69.5,NA,NA,NA
8/17/11,Big Denver,BD-10,BC,partly sunny,4,CBSNBC,2,20,7.9,5.9,cookie,good,no,2,70,72,NA,71,NA,NA,NA
8/16/11,Big Denver,BD-11,BC,sunny,1,POTR,1,14,12,10.2,core,good,no,2,34,36,NA,35,NA,NA,NA
8/16/11,Big Denver,BD-11,BC,sunny,1,POTR,2,14,11.4,9.7,core,good,no,2,40,38,NA,39,NA,NA,NA
8/16/11,Big Denver,BD-11,BC,sunny,1,POTR,3,16,13,10.4,core,good,no,2,35,37,NA,36,NA,NA,NA
8/16/11,Big Denver,BD-11,BC,sunny,1,POTR,4,18,14,10.7,core,good,no,1,39,NA,NA,39,NA,NA,NA
8/16/11,Big Denver,BD-11,BC,sunny,1,POTR,5,20,14.2,11.8,core,good,no,1,38,NA,NA,38,NA,really hard to tell where pith is,NA
8/16/11,Big Denver,BD-11,BC,sunny,2,BENE,1,10,7.1,4.7,core,good,no,0,NA,NA,NA,NA,NA,can't tell where pith is,TRASH
8/16/11,Big Denver,BD-11,BC,sunny,2,BENE,2,16,13.8,8.9,core,good,no,1,32,NA,NA,32,NA,scar at pith,NA
8/16/11,Big Denver,BD-11,BC,sunny,2,BENE,3,15,11.5,8.5,core,good,no,1,32,NA,NA,32,NA,NA,NA
8/16/11,Big Denver,BD-11,BC,sunny,2,BENE,4,12,13.2,8,core,good,no,1,34,NA,NA,34,NA,NA,NA
8/16/11,Big Denver,BD-11,BC,sunny,2,BENE,5,12,13.5,8.9,core,good,no,1,28,NA,NA,28,NA,really hard to read,NA
8/16/11,Big Denver,BD-11,BC,sunny,3,PIMA,1,16,2.7,1.3,?,good,no,1,32,NA,NA,32,NA,NA,NA
8/16/11,Big Denver,BD-11,BC,sunny,3,PIMA,2,15,3.7,1.4,?,good,no,1,33,NA,NA,33,NA,NA,NA
8/16/11,Big Denver,BD-11,BC,sunny,3,PIMA,3,12,2.4,1.1,?,good,no,2,31,32,NA,31.5,NA,NA,NA
8/16/11,Big Denver,BD-11,BC,sunny,3,PIMA,4,12,4.4,2.2,?,good,no,1,32,NA,NA,32,NA,NA,NA
8/16/11,Big Denver,BD-11,BC,sunny,3,PIMA,5,15,3.8,1.9,?,good,no,1,36,NA,NA,36,NA,NA,NA
8/16/11,Big Denver,BD-2,BC,partly sunny,1,BEPA,1,20,9.8,7.2,core,good,no,1,40,NA,NA,40,NA,NA,NA
8/16/11,Big Denver,BD-2,BC,partly sunny,1,BEPA,2,18,9.5,6.5,core,good,no,1,36,NA,NA,36,NA,NA,NA
8/16/11,Big Denver,BD-2,BC,partly sunny,1,BEPA,3,20,12.7,8.2,core,good,no,1,38,NA,NA,38,NA,beginning is really hard to read,NA
8/16/11,Big Denver,BD-2,BC,partly sunny,1,BEPA,4,20,10.5,7.3,core,good,no,1,39,NA,NA,39,NA,NA,NA
8/16/11,Big Denver,BD-2,BC,partly sunny,1,BEPA,5,18,12.9,8.7,core,good,no,1,36,NA,NA,36,NA,NA,NA
8/16/11,Big Denver,BD-2,BC,partly sunny,2,PIMA,1,13,2.3,<DBH,cookie,good,no,1,29,NA,NA,29,NA,NA,NA
8/16/11,Big Denver,BD-2,BC,partly sunny,2,PIMA,2,13,2.3,<DBH,cookie,good,no,1,28,NA,NA,28,NA,NA,NA
8/16/11,Big Denver,BD-2,BC,partly sunny,2,PIMA,3,13,1.5,<DBH,cookie,good,no,1,25,NA,NA,25,NA,NA,NA
8/16/11,Big Denver,BD-2,BC,partly sunny,2,PIMA,4,13,1.5,<DBH,cookie,good,no,2,29,32,NA,30.5,NA,NA,NA
8/16/11,Big Denver,BD-2,BC,partly sunny,2,PIMA,5,13,1.2,<DBH,cookie,good,no,3,13,16,17,15.33,NA,teeny tiny core,NA
8/16/11,Big Denver,BD-2,BC,partly sunny,4,POTR,1,20,14.9,11.5,core,good,no,2,32,32,NA,32,NA,labeled PT3 on cores and in J2X,NA
8/16/11,Big Denver,BD-2,BC,partly sunny,4,POTR,2,20,9.4,7.7,core,good,no,2,36,38,NA,37,NA,labeled PT3 on cores and in J2X,NA
8/16/11,Big Denver,BD-2,BC,partly sunny,4,POTR,3,19,8.8,7.6,core,good,no,2,29,31,NA,30,NA,labeled PT3 on cores and in J2X,NA
