Name,Latitude,Longitude,objectid_1,objectid,real_name,age,site_id,gps_lat,gps_lon,owner1,lsown,mtr,location,permitted,chosen,notes,replicate,last_edit_,last_edito,geoname_fu,location_l,location_a,rsn_name
GRI6,63.800401,-145.055548,13,13,EI14,Intermediate,GR-3,63.800401,-145.055548,State of Alaska DNR State Patented/LAS 19708,3101,F013S014E09,NA,NA,NA,NA,6,20151204,GIS_USER,GRI6,Gerstle River,GR,GRI6
GRI5,63.795019,-145.076628,15,15,EI16,Intermediate,GR-5,63.795019,-145.076628,Military,1600,F013S014E17,Gerstle River training area,NA,NA,Training area 600.,5,20151204,GIS_USER,GRI5,Gerstle River,GR,GRI5
GSI3,64.80951,-148.49298,18,18,EI19,Intermediate,GS-1,64.80951,-148.49298,State of Alaska DNR State Patented,3101,F001S005W24,NA,NA,NA,NA,3,20151204,GIS_USER,GSI3,Goldstream,GS,GSI3
GSI2,64.80255,-148.42039,19,19,EI20,Intermediate,GS-2,64.80255,-148.42039,State of Alaska DNR State Patented,3101,F001S004W30,NA,NA,NA,NA,2,20151204,GIS_USER,GSI2,Goldstream,GS,GSI2
GSI1,64.80004,-148.41375,20,20,EI21,Intermediate,GS-3,64.80004,-148.41375,State of Alaska DNR State Patented,3101,F001S004W29,NA,NA,NA,NA,1,20151204,GIS_USER,GSI1,Goldstream,GS,GSI1
LGI1,65.42936,-148.86419,21,21,EI22,Intermediate,LG-2,65.42936,-148.86419,State of Alaska DNR State Patented,3101,F007N006W18,Elliot close to Dalton Turn off,NA,NA,NA,1,20151204,GIS_USER,LGI1,Livengood,LG,LGI1
LGI2,65.44649,-148.7609,22,22,EI23,Intermediate,LG-3,65.44649,-148.7609,State of Alaska DNR Land Disposals,5102,F007N006W10,Elliot close to Dalton Turn off,NA,NA,NA,2,20151204,GIS_USER,LGI2,Livengood,LG,LGI2
BCEFM2,64.69516,-148.32324,35,35,EM1,Mature,Apex Beta,64.69516,-148.32324,BCEF,0,NA,NA,y,y,Stake = NE corner,2,20151204,GIS_USER,BCEFM2,BCEF,BCEF,BCEFM2
BDM1,65.15799,-150.13574,36,36,EM2,Mature,BD69T2,65.15799,-150.13574,BLM private,5101,F004N013W23,"Elliot, before the Eureka Turnoff",NA,y,"Location updated 8/4/2013. RR, SF and JH laid out perimeter stakes 8/02. Perimeter stakes have no paint. Prime flaged and sharpied. No center stake",1,20151204,GIS_USER,BDM1,Big Denver,BD,BDM1
TRM1,65.25333,-148.13914,55,55,EM24,Mature,TKN0139,65.25333,-148.13914,ALASKA STATE OF DNR state patented,3101,F005N003W15,"Elliot, halfway between wickersham and the trading post",NA,y,Location updated based on rogers notebook 7/31. Stake represents center of easern site boundary,1,20151204,GIS_USER,TRM1,Tatalina River,TR,TRM1
