Site,Core_number,depth
Apex Beta,1,153
Apex Beta,2,88
Apex Beta,3,264
Apex Beta,4,81
BD-5,1,44
BD-5,2,65
BD-5,3,62
BD-5,4,57
BD69T2,1,55
BD69T2,2,60
BD69T2,3,60
BF61,1,45
BF61,2,57
BF61,3,49
BF61,4,41
BF84,1,66
BF84,2,76
BF84,3,51
DC33,1,46
DC33,2,38
DC33,3,33
DC47,1,71
DC47,2,76
DC47,3,80
DC47,4,89
DC47,5,88
DC49,1,52
DC49,2,62
DC49,3,40
Dalton,1,74
Dalton,2,65
Dalton,3,50
Dalton,4,55
FP5D,1,55
FP5D,2,114
FP5D,3,253
GS-2,1,55
GS-2,2,63
GS-2,3,44
GS-2,4,65
GS-2,5,37
GS-3,1,57
GS-3,2,78
GS-3,3,76
GS-3,4,70
MD-3,1,57
MD-3,2,87
MD-3,3,77
MD-8,1,92
MD-8,2,54
Nenana Ridge,1,94
Nenana Ridge,2,103
Nenana Ridge,3,105
Nenana Ridge Bottom,1,212
Nenana Ridge Bottom,2,163
Nenana Ridge Bottom,3,237
SL1B,1,88
SL1B,2,83
SL1B,3,74
TKN0015,1,46
TKN0015,2,65
TKN0015,3,54
TKN0040,1,188
TKN0040,2,165
TKN0040,3,210
TKN0040,4,363
TKN0118,1,99
TKN0118,2,89
TKN0118,3,162
TKN0119,1,102
TKN0119,2,92
TKN0119,3,32
TKN0119,4,53
TKN0120,1,90
TKN0120,2,68
TKN0120,3,41
TKN0120,4,123
TKN0131,1,75
TKN0131,2,91
TKN0131,3,51
TKN0131L,1,85
TKN0131L,2,78
TKN0131L,3,71
TKN0131L,4,79
TKN0137,1,62
TKN0137,2,76
TKN0137,3,64
TKN0137,4,59
TKN0139,1,49
TKN0139,2,76
TKN0139,3,60
TKN0139,4,73
TKN0148,1,62
TKN0148,2,47
TKN0148,3,46
Tatalina River 1,1,117
Tatalina River 1,2,104
Tatalina River 1,3,167
Tatalina River 1,4,149
Tatalina River 2,1,143
Tatalina River 2,2,148
Tatalina River 2,3,160
UP4C,1,61
UP4C,2,78
UP4C,3,56
UP4C,4,43
UP4C,5,110
UP4C,6,88
UP4C,7,146
Washington Creek 1,1,72
Washington Creek 1,2,70
Washington Creek 1,3,83
Washington Creek 1,4,84
Washington Creek 3,1,88
Washington Creek 3,2,94
Washington Creek 3,3,113
Washington Creek 3,4,78
