Whirlpak_A_ID,LOI,site_id,_TO_Cores_forSectionsExport::RSN_name,core_number,bag_number,HorizonSection_ID,Section_top,Section_bottom,Horizon,Secondary_Horizon,Secondary_Horizon_Orientation,organic_material,Burned,Ice_primary,Ice_secondary,Ice_thickness,MacroFossilBagID,Notes,timestamp_creation,thickness,diameter_whole,segment_width,WetMass,DryMass,Whirlpak_B_ID,RootClass,MunsellColor,SoilTexture,_TO_Cores_forSectionsExport::Date,Device::Device_name,UUID
6788,93.21484328,Tatalina River 2,TRM3,3,1,98,0,3.5,F,NA,Vertical,Woody debris,No,Onv,NA,NA,NA,"Break at 8 cm by SIPRE core
Lichen on surface",04/05/2017 13:53:01,3.5,6,3.32,30.2826,4.2181,6789,NA,NA,NA,04/22/2015,BNZ-3,D4C9C420-39BD-4C3B-A86B-F9316F5CB108
6790,90.2991933,Tatalina River 2,TRM3,3,1,NA,3.5,8.07,F,NA,Vertical,Woody debris,No,Onv,NA,NA,NA,"Break at 8 cm by SIPRE core
Lichen on surface",04/05/2017 15:18:00,4.57,7,4.57,46.7439,7.5089,6791,NA,NA,NA,04/22/2015,BNZ-3,86939731-F3F0-4819-9343-CE5529B0A812
6792,89.79243959,Tatalina River 2,TRM3,3,2,NA,8.07,11.86,F,NA,Vertical,Sphagnum,No,Onv,NA,NA,NA,"Break at 29.5 cm by SIPRE core
",04/05/2017 15:18:03,3.79,7.47,3.79,64.3807,8.1019,6793,NA,NA,NA,04/22/2015,BNZ-3,3BAEDF0C-21B0-42A5-A2E1-DED84E4C3B38
6794,94.20079739,Tatalina River 2,TRM3,3,2,NA,11.86,15.36,F,NA,Vertical,Sphagnum,No,Onv,NA,NA,NA,"Break at 29.5 cm by SIPRE core
",04/05/2017 15:36:08,3.5,7.39,3.78,69.6945,7.1658,6795,NA,NA,NA,04/22/2015,BNZ-3,5CC81548-C7FB-490F-94DA-2D7071545A0C
6796,93.63082112,Tatalina River 2,TRM3,3,2,NA,15.36,19.21,F,NA,Vertical,Sphagnum,No,Onv,NA,NA,NA,"Break at 29.5 cm by SIPRE core
",04/05/2017 15:40:38,3.85,7.12,3.49,74.2359,7.4817,6797,NA,NA,NA,04/22/2015,BNZ-3,A1642610-5C38-41BA-B2D0-6BB8D2220904
6798,92.13833752,Tatalina River 2,TRM3,3,2,NA,19.21,23.07,F,NA,Vertical,Sphagnum,No,Onv,NA,NA,NA,"Break at 29.5 cm by SIPRE core
",04/05/2017 15:45:26,3.86,7.27,3.77,83.5713,10.6879,6799,NA,NA,NA,04/22/2015,BNZ-3,919A4F5A-8F79-4B55-A0AE-3265DBCD36D6
6800,94.03860712,Tatalina River 2,TRM3,3,2,NA,23.07,26.61,F,NA,Vertical,Sphagnum,No,Onv,NA,NA,NA,"Break at 29.5 cm by SIPRE core
",04/05/2017 15:49:56,3.54,7.24,3.27,62.0006,7.027,6801,NA,NA,NA,04/22/2015,BNZ-3,0B3FAE6E-51DF-4F99-83F9-700DC7A5F362
6802,94.21487603,Tatalina River 2,TRM3,3,2,NA,26.61,29.59,F,NA,Vertical,Sphagnum,No,Onv,NA,NA,NA,"Break at 29.5 cm by SIPRE core
",04/05/2017 15:53:49,2.98,7.24,4.05,44.5833,6.145,6803,NA,NA,NA,04/22/2015,BNZ-3,B92B5410-548D-457D-B563-9B453A2ED964
6804,94.04618584,Tatalina River 2,TRM3,3,3,NA,29.59,32.84,F,NA,Vertical,Sphagnum,No,Onv,NA,NA,NA,"Break at 59.79 cm by SIPRE core
",04/06/2017 13:21:53,3.25,7.113,3.342,26.2844,7.0366,6805,NA,NA,NA,04/22/2015,BNZ-3,02A83BEB-5DE8-49E9-B592-691D3F90A9FB
6806,94.69107332,Tatalina River 2,TRM3,3,3,NA,32.84,36.129,F,NA,Vertical,Sphagnum,No,Onv,NA,NA,NA,"Break at 59.79 cm by SIPRE core
",04/06/2017 13:57:30,3.289,6.916,3.556,64.2398,10.8776,6807,NA,NA,NA,04/22/2015,BNZ-3,CF9FAF57-F903-4BD2-91C9-7168DDE97C60
