ecoregion,sitename,prelimID,n_dd,w_dd,slope,aspect,elevation,canopy_typ,topo,moist,severity,ph,org_depth,treeden,treeba,seedlingde,burn_year,age,age_ave,age_source,class,decid.bio,decid.dens,d.index
Yukon-Tanana Uplands,BCEFM2,Apex Beta,64.69516,-148.32324,0,0,141,black spruce,NA,subhygric,NA,0,135.2,17909.09,2275,2.64,1930,mature,NA,disturbance,spruce,7.6628285832946625,8.333333333333334e-4,0.00527729287807882
Ray Mountains,BDI1,BD-6,65.063454,-150.403119,5,193,241,birch,shoulder,subxeric,NA,5.79,7,6258.33,28.06,22636.36,1969,intermediate,48,core,decid,12076.252798019575,0.6091666666666666,0.9741780643205136
Ray Mountains,BDI2,BD-10,65.070412,-150.368877,4,209,254,birch,shoulder,subxeric-mesic,NA,5.71,8.8,8791.67,16.71,8363.64,1969,intermediate,54,core,decid,7815.11774646122,0.785,0.8762626351952574
Ray Mountains,BDI3,BD-9,65.073548,-150.349093,15,199,290,aspen,side slope,subxeric,NA,5.08,4.3,6625,11.93,6772.73,1969,intermediate,53,core,mixed,2387.3504455660764,0.3525,0.5254483296567137
Ray Mountains,BDI4,BD-11,65.078379,-150.325606,8,60,203,aspen,side slope,subxeric,NA,4.85,6.3,8691.67,20.6,11772.73,1969,intermediate,47,core,decid,6367.575255270118,0.835,0.9456270197759146
Ray Mountains,BDI5,BD-7,65.095197,-150.282723,0,358,145,aspen,lowland,mesic,NA,5.84,3,2866.67,5.12,18954.55,1969,intermediate,53,core,mixed,581.7144842997773,0.0625,0.3774750102779864
Ray Mountains,BDI6,BD-5,65.10084,-150.269876,0,0,146,black spruce,lowland,subhygric,NA,6.48,55.5,66.67,0.06,35954.55,1969,intermediate,55,core,spruce,7.318294394568173,0.00166666666666666,0.1030011346604051
Ray Mountains,BDI7,BD-2,65.161836,-150.063616,6,195,358,birch,side slope,subxeric-mesic,NA,5.53,9.1,7975,16.92,21681.82,1969,intermediate,52,core,decid,7177.024894881129,0.8575,0.9940473670166432
Ray Mountains,BDI8,BD-1,65.163552,-150.049912,8,203,389,birch,side slope,subxeric-mesic,NA,5.61,9.5,7783.33,10.97,24681.82,1969,intermediate,53,core,mixed,2836.834139691231,0.435,0.5312422849812591
Ray Mountains,BDM1,BD69T2,65.15799,-150.13574,0,0,217,black spruce,NA,mesic,NA,0,27,22818.18,3783.33,7.15,1930,mature,NA,disturbance,spruce,0,0,0
Yukon-Tanana Uplands,BFY1,BF71,65.119979,-147.429158,4,55,500,hardwood,upper slope,subxeric,2,4.1,6.3,33.33,0.02,37272.73,2004,young,20,disturbance,decid,77.73339398017995,0.03375,1
Yukon-Tanana Uplands,BFY10,BF73,65.118669,-147.449411,11,347,445,mixed,upper slope,subxeric-mesic,2,3.7,8.1,0,0,16045.45,2004,young,20,disturbance,decid,52.375614399352315,0.02,1
Yukon-Tanana Uplands,BFY11,BF82,65.148476,-147.471686,13,280,260,birch,middle slope,subxeric,3,3.5,4,1516.67,0.99,162545.45,2004,young,20,disturbance,decid,2109.998969961316,0.8491666666666666,0.9974503216336992
Yukon-Tanana Uplands,BFY12,BF83,65.147741,-147.470284,15,260,260,birch,upper slope,subxeric,2,6.4,5.1,583.33,0.36,166681.82,2004,young,20,disturbance,decid,1062.1804380873446,0.46,1
Yukon-Tanana Uplands,BFY13,BF99,65.143817,-147.460553,12,170,280,birch,NA,subxeric-mesic,3,0,5.8,525,0.32,225409.09,2004,young,20,disturbance,decid,2079.744224328777,0.8216666666666667,1
Yukon-Tanana Uplands,BFY4,BF81,65.14981,-147.47274,9,272,260,birch,middle slope,subxeric-mesic,3,4.9,4.2,5491.67,3.97,155363.64,2004,young,20,disturbance,decid,4048.34217515931,1.2466666666666666,1
Yukon-Tanana Uplands,BFY6,BF77,65.130069,-147.477168,6,267,205,birch,flat,mesic,2,3.7,6.3,25,0.01,136045.45,2004,young,20,disturbance,decid,330.91400092440085,0.16333333333333333,1
Yukon-Tanana Uplands,BFY7,BF84,65.153652,-147.47723,4,258,240,black spruce,toe slope,mesic-subhygric,1,4.8,25.9,41.67,0.04,73818.18,2004,young,20,disturbance,spruce,0,0,0
Yukon-Tanana Uplands,BFY8,BF61,65.349339,-146.667829,1,185,695,black spruce,flat,mesic,1,4.9,20.3,0,0,1181.82,2004,young,20,disturbance,NA,NA,NA,NA
Yukon-Tanana Uplands,BFY9,BF63,65.353058,-146.675377,10,170,770,black spruce,upper slope,subxeric-mesic,1,4.6,8.9,183.33,0.5,90.91,2004,young,20,disturbance,spruce,0,0,0
Ray Mountains,DCM1,Dalton,66.240395,-150.312493,6,294,485,black spruce,NA,mesic,NA,0,27.7,3545.45,1675,7.92,1930,mature,NA,disturbance,NA,NA,NA,NA
Ray Mountains,DCY1,DC54,65.910596,-149.77952,2,215,135,black spruce,flat,subxeric-mesic,1,6.6,18.3,0,0,54590.91,2004,young,20,disturbance,NA,NA,NA,NA
Ray Mountains,DCY10,DC37,66.207444,-150.236443,3,75,390,birch,flat,mesic,3,5.6,2.6,0,0,73318.18,2004,young,20,disturbance,NA,NA,NA,NA
Ray Mountains,DCY12,DC33,66.265542,-150.333539,4,355,520,black spruce,middle slope,subxeric-mesic,1,3.7,18.1,133.33,0.22,4000,2004,young,20,disturbance,spruce,0,0,0
Ray Mountains,DCY13,DC41,66.15537,-150.184437,0,90,270,mixed,flat,mesic-subhygric,1,5.6,6.8,0,0,65000,2004,young,20,disturbance,decid,22.202318594264984,0.0125,1
Ray Mountains,DCY14,DC47,66.120336,-150.1632,0,90,170,black spruce,flat,subhygric,1,5,62.9,0,0,20318.18,2004,young,20,disturbance,NA,NA,NA,NA
Ray Mountains,DCY15,DC48,66.109119,-150.155465,1,104,215,aspen,upper slope,subxeric-mesic,3,4.1,1.3,416.67,0.28,35590.91,2004,young,20,disturbance,decid,219.48159362588856,0.10833333333333334,1
Ray Mountains,DCY16,DC52,66.073353,-150.168267,4,210,220,aspen,upper slope,xeric,3,5.6,2.3,216.67,0.19,15590.91,2004,young,20,disturbance,decid,209.97514111622277,0.06416666666666666,1
Ray Mountains,DCY17,DC55,65.896067,-149.752832,5,186,150,aspen,middle slope,subxeric-mesic,2,6.5,3.7,2383.33,1.64,64727.27,2004,young,20,disturbance,decid,1003.8873271935488,0.5133333333333333,1
Ray Mountains,DCY2,DC36,66.215182,-150.257716,5,85,445,mixed,toe slope,mesic-subhygric,1,3.8,6.8,25,0.05,19909.09,2004,young,20,disturbance,mixed,18.06529648983671,0.01,0.5
Ray Mountains,DCY3,DC53,66.072254,-150.167891,7,155,206,mixed,toe slope,subxeric-mesic,3,7.7,3.1,358.33,0.25,51090.91,2004,young,20,disturbance,decid,371.4135646108015,0.1725,1
Ray Mountains,DCY4,DC49,66.105262,-150.151326,2,15,220,mixed,flat,subhygric,1,6.1,19,0,0,19636.36,2004,young,20,disturbance,spruce,0,0,0
Ray Mountains,DCY5,DC46,66.109679,-150.156852,0,90,220,aspen,upper slope,xeric,3,4.7,1.6,525,0.36,56090.91,2004,young,20,disturbance,decid,181.91347270070173,0.09333333333333334,1
Ray Mountains,DCY6,DC44,66.140521,-150.170408,0,90,250,black spruce,upper slope,subxeric-mesic,2,6.1,5.6,0,0,114090.91,2004,young,20,disturbance,decid,14.642297218344984,0.01,1
Ray Mountains,DCY7,DC42,66.151718,-150.179563,0,90,260,mixed,flat,subxeric-mesic,3,6.2,2.4,0,0,119681.82,2004,young,20,disturbance,NA,NA,NA,NA
Ray Mountains,DCY8,DC40,66.163658,-150.203584,0,90,280,aspen,flat,mesic,3,6.3,1.7,0,0,91000,2004,young,20,disturbance,decid,17.50617799892764,0.015,1
Ray Mountains,DCY9,DC39,66.168628,-150.20114,1,231,300,mixed,flat,mesic,3,5.7,9,0,0,150409.09,2004,young,20,disturbance,decid,48.3552921087101,0.03,1
Tanana-Kuskokwim Lowlands,DDM1,TKN0126,63.84662,-145.723333,4,324,533,black spruce,toe slope,mesic-subhygric,NA,5.3,17,52954.55,3716.67,10.11,1930,mature,135,core,spruce,0,0,0
Tanana-Kuskokwim Lowlands,DDM2,TKN0124,63.89178,-145.74101,0,0,500,black spruce,summit,xeric,NA,5.92,2.5,24954.55,3716.67,11.46,1930,mature,92,core,spruce,6.535051657450478,0.00166666666666666,0.00295852541714416
Tanana-Kuskokwim Lowlands,FP5A,FP5A,64.681479,-148.249062,0,0,133,black spruce,NA,subxeric-mesic,NA,0,21.1,5909.09,1283.33,12.15,1930,mature,NA,disturbance,spruce,9.240818154890144,0.00166666666666666,0.01054742319688758
Tanana-Kuskokwim Lowlands,FP5C,FP5C,64.713614,-148.147263,0,0,135,birch,NA,subxeric-mesic,3,0,NA,0,0,53227.27,2010,young,14,disturbance,NA,NA,NA,NA
Yukon-Tanana Uplands,FP5D,FP5D,64.72541,-148.19274,0,0,135,black spruce,NA,mesic,NA,0,41.3,28636.36,3025,8.58,1930,mature,NA,disturbance,spruce,23.38835585587332,0.00583333333333333,0.01839895762886362
Tanana-Kuskokwim Lowlands,GRI1,GR-9,63.772116,-145.079202,0,0,552,black spruce,depression,subhygric,NA,7.09,50,1866.67,2.71,9954.55,1947,intermediate,82,core,spruce,375.9109215017064,0.035,0.2618338222576485
Tanana-Kuskokwim Lowlands,GRI2,GR-2,63.787588,-145.055334,1,14,575,aspen,flat,mesic,NA,8.15,10.22,1766.67,23.56,62590.91,1947,intermediate,57,core,decid,11256.937485365394,0.36833333333333335,0.986041399565273
Tanana-Kuskokwim Lowlands,GRI3,GR-1,63.791346,-145.041859,1,14,504,aspen,toe slope,mesic,NA,7.45,10.45,2575,27.9,41772.73,1947,intermediate,61,core,decid,11262.933261501024,0.19583333333333333,0.7504376535487036
