core_num,core_type,sitename
1,permafrost,BCEFM2
2,permafrost,BCEFM2
3,permafrost,BCEFM2
4,permafrost,BCEFM2
1,permafrost,BDI6
2,permafrost,BDI6
3,permafrost,BDI6
4,permafrost,BDI6
1,permafrost,BDM1
2,permafrost,BDM1
3,permafrost,BDM1
3,permafrost,BFY8
4,permafrost,BFY8
1,permafrost,BFY7
2,permafrost,BFY7
3,permafrost,BFY7
1,permafrost,DCM1
2,permafrost,DCM1
3,permafrost,DCM1
4,permafrost,DCM1
1,permafrost,DCY12
2,permafrost,DCY12
3,permafrost,DCY12
1,permafrost,DCY14
2,permafrost,DCY14
3,permafrost,DCY14
4,permafrost,DCY14
5,permafrost,DCY14
1,permafrost,DCY4
2,permafrost,DCY4
3,permafrost,DCY4
1,permafrost,GSI2
2,permafrost,GSI2
3,permafrost,GSI2
1,permafrost,GSI1
2,permafrost,GSI1
4,permafrost,GSI1
1,permafrost,NRM2
2,permafrost,NRM2
3,permafrost,NRM2
1,permafrost,NRM1
2,permafrost,NRM1
3,permafrost,NRM1
1,permafrost,SL1B
2,permafrost,SL1B
3,permafrost,SL1B
1,permafrost,WCM3
2,permafrost,WCM3
3,permafrost,WCM3
1,permafrost,GSM3
2,permafrost,GSM3
3,permafrost,GSM3
4,permafrost,GSM3
1,permafrost,GSM2
2,permafrost,GSM2
3,permafrost,GSM2
1,permafrost,GSM1
2,permafrost,GSM1
3,permafrost,GSM1
4,permafrost,GSM1
1,permafrost,TRM4
2,permafrost,TRM4
3,permafrost,TRM4
1,permafrost,TRM1
2,permafrost,TRM1
3,permafrost,TRM1
4,permafrost,TRM1
1,permafrost,YRM1
2,permafrost,YRM1
3,permafrost,YRM1
1,permafrost,UP4C
2,permafrost,UP4C
3,permafrost,UP4C
4,permafrost,UP4C
6,permafrost,UP4C
7,permafrost,UP4C
1,permafrost,FP5D
2,permafrost,FP5D
1,permafrost,MDM1
2,permafrost,MDI5
1,short,BFY9
2,short,BFY9
3,short,BFY9
4,short,BFY9
5,short,BFY9
1,short,BFY4
2,short,BFY4
3,short,BFY4
1,short,BFY11
2,short,BFY11
3,short,BFY11
4,short,BFY11
1,short,BFY12
2,short,BFY12
1,short,BFY13
2,short,BFY13
3,short,BFY13
4,short,BFY13
5,short,BFY13
1,short,LGI1
2,short,LGI1
1,short,BDI8
2,short,BDI8
3,short,BDI8
4,short,BDI8
5,short,BDI8
1,short,BDI7
2,short,BDI7
3,short,BDI7
4,short,BDI7
5,short,BDI7
1,short,BFY1
2,short,BFY1
3,short,BFY1
4,short,BFY1
5,short,BFY1
6,short,BFY1
1,short,BFY6
2,short,BFY6
3,short,BFY6
4,short,BFY6
5,short,BFY6
1,short,GSI3
2,short,GSI3
3,short,GSI3
4,short,GSI3
5,short,GSI3
1,short,GRI6
2,short,GRI6
3,short,GRI6
4,short,GRI6
5,short,GRI6
1,short,GRI7
2,short,GRI7
3,short,GRI7
4,short,GRI7
5,short,GRI7
1,short,WDI1
2,short,WDI1
3,short,WDI1
4,short,WDI1
1,short,WDI2
2,short,WDI2
3,short,WDI2
4,short,WDI2
5,short,WDI2
1,short,WDI3
2,short,WDI3
1,short,WDI4
2,short,WDI4
3,short,WDI4
4,short,WDI4
5,short,WDI4
1,short,BDI2
2,short,BDI2
3,short,BDI2
4,short,BDI2
5,short,BDI2
1,short,BDI4
2,short,BDI4
3,short,BDI4
4,short,BDI4
5,short,BDI4
1,short,BDI1
2,short,BDI1
3,short,BDI1
4,short,BDI1
5,short,BDI1
1,short,BDI5
2,short,BDI5
3,short,BDI5
4,short,BDI5
5,short,BDI5
1,short,BDI3
2,short,BDI3
3,short,BDI3
4,short,BDI3
5,short,BDI3
1,short,DCY16
2,short,DCY16
3,short,DCY16
4,short,DCY16
5,short,DCY16
1,short,DCY3
2,short,DCY3
3,short,DCY3
4,short,DCY3
5,short,DCY3
1,short,HR1A
2,short,HR1A
3,short,HR1A
4,short,HR1A
5,short,HR1A
1,short,MDI3
1,short,GSI2
2,short,GSI2
1,short,DCY12
2,short,DCY12
1,short,DCY2
2,short,DCY2
3,short,DCY2
1,short,DCY10
2,short,DCY10
1,short,DCY9
2,short,DCY9
3,short,DCY9
4,short,DCY9
5,short,DCY9
1,short,DCY8
2,short,DCY8
3,short,DCY8
4,short,DCY8
5,short,DCY8
1,short,DCY13
2,short,DCY13
3,short,DCY13
4,short,DCY13
5,short,DCY13
1,short,DCY15
2,short,DCY15
3,short,DCY15
4,short,DCY15
1,short,BFY10
2,short,BFY10
3,short,BFY10
4,short,BFY10
5,short,BFY10
1,short,MDI4
2,short,MDI4
3,short,MDI4
4,short,MDI4
5,short,MDI4
1,short,MDI3
2,short,MDI3
3,short,MDI3
4,short,MDI3
5,short,MDI3
1,short,SL1A
2,short,SL1A
3,short,SL1A
4,short,SL1A
1,short,WDI5
2,short,WDI5
1,short,WDI6
2,short,WDI6
3,short,WDI6
1,short,DCY7
2,short,DCY7
3,short,DCY7
4,short,DCY7
1,short,DCY6
2,short,DCY6
3,short,DCY6
4,short,DCY6
5,short,DCY6
1,short,DCY5
2,short,DCY5
3,short,DCY5
4,short,DCY5
5,short,DCY5
1,short,DCY1
2,short,DCY1
3,short,DCY1
1,short,DCY17
2,short,DCY17
3,short,DCY17
4,short,DCY17
5,short,DCY17
1,short,LGI2
2,short,LGI2
3,short,LGI2
4,short,LGI2
1,short,MDI1
