prelimID,core_num,sitename
Apex Beta,1,BCEFM2
Apex Beta,2,BCEFM2
Apex Beta,3,BCEFM2
Apex Beta,4,BCEFM2
BD-5,1,BDI6
BD-5,2,BDI6
BD-5,3,BDI6
BD-5,4,BDI6
BD69T2,1,BDM1
BD69T2,2,BDM1
BD69T2,3,BDM1
BF61,3,BFY8
BF61,4,BFY8
BF84,1,BFY7
BF84,2,BFY7
BF84,3,BFY7
Dalton,1,DCM1
Dalton,2,DCM1
Dalton,3,DCM1
Dalton,4,DCM1
DC33,1,DCY12
DC33,2,DCY12
DC33,3,DCY12
DC47,1,DCY14
DC47,2,DCY14
DC47,3,DCY14
DC47,4,DCY14
DC47,5,DCY14
DC49,1,DCY4
DC49,2,DCY4
DC49,3,DCY4
GS-2,1,GSI2
GS-2,2,GSI2
GS-2,3,GSI2
GS-3,1,GSI1
GS-3,2,GSI1
GS-3,4,GSI1
Nenana Ridge,1,NRM2
Nenana Ridge,2,NRM2
Nenana Ridge,3,NRM2
Nenana Ridge Bottom,1,NRM1
Nenana Ridge Bottom,2,NRM1
Nenana Ridge Bottom,3,NRM1
SL1B,1,SL1B
SL1B,2,SL1B
SL1B,3,SL1B
TKN0015,1,WCM3
TKN0015,2,WCM3
TKN0015,3,WCM3
TKN0040,1,GSM3
TKN0040,2,GSM3
TKN0040,3,GSM3
TKN0040,4,GSM3
TKN0131,1,GSM2
TKN0131,2,GSM2
TKN0131,3,GSM2
TKN0131L,1,GSM1
TKN0131L,2,GSM1
TKN0131L,3,GSM1
TKN0131L,4,GSM1
TKN0137,1,TRM4
TKN0137,2,TRM4
TKN0137,3,TRM4
TKN0139,1,TRM1
TKN0139,2,TRM1
TKN0139,3,TRM1
TKN0139,4,TRM1
TKN0148,1,YRM1
TKN0148,2,YRM1
TKN0148,3,YRM1
UP4C,1,UP4C
UP4C,2,UP4C
UP4C,3,UP4C
UP4C,4,UP4C
UP4C,6,UP4C
UP4C,7,UP4C
FP5D,1,FP5D
FP5D,2,FP5D
MD-3,1,MDM1
MD-8,2,MDI5
