Site,age_ave,age_min,age_max,age_median
TKN0001,111,105,117,110
TKN0002,124,110,130,128
TKN0003,122,118,125,122
TKN0004,114,104,126,111
TKN0005,119,112,125,120
TKN0006,124,118,126,124
TKN0007,99,96,102,99
TKN0008,112,106,115,114
TKN0009,137,105,197,110
TKN0010,102,97,111,100
TKN0011,178,134,207,182
TKN0012,243,189,331,219
TKN0013,108,105,111,108
TKN0014,112,108,116,111
TKN0015,178,119,216,186
TKN0016,205,192,220,202
TKN0017,221,200,264,217
TKN0018,191,177,211,191
TKN0019,199,180,211,202
TKN0021,112,100,138,105
TKN0022,137,107,191,125
TKN0023,174,132,197,182
TKN0024,184,125,211,196
TKN0025,230,205,259,232
TKN0026,166,158,183,161
TKN0027,223,178,294,207
TKN0028,234,167,325,202
TKN0029,108,103,114,106
TKN0030,130,110,182,115
TKN0031,106,104,109,106
TKN0032,165,158,173,164
TKN0033,169,162,175,168
TKN0034,147,104,171,149
TKN0035,142,94,196,138
TKN0036,140,133,150,141
TKN0037,132,109,141,137
TKN0038,200,137,258,198
TKN0039,170,141,216,153
TKN0040,190,110,232,209
TKN0041,132,108,215,112
TKN0042,172,106,204,187
TKN0043,107,103,111,109
TKN0051,90,84,107,86
TKN0052,87,75,92,89
TKN0053,90,83,96,92
TKN0054,118,99,147,116
TKN0055,102,72,172,91
TKN0056,101,95,107,102
TKN0057,148,70,226,148
TKN0058,192,101,282,194
TKN0059,143,94,223,128
TKN0102,179,162,192,183
TKN0103,197,170,228,198
TKN0104,115,84,167,103
TKN0105,95,79,113,94
TKN0106,97,76,108,101
TKN0107,125,91,174,107
TKN0108,106,99,113,106
TKN0109,111,103,120,110
TKN0110,148,99,200,146
TKN0111,191,172,219,192
TKN0112,190,168,212,191
TKN0113,108,96,115,109
TKN0114,138,123,146,141
TKN0115,261,143,323,296
TKN0116,118,90,163,110
TKN0117,175,161,184,177
TKN0118,204,196,210,207
TKN0119,346,292,431,330
TKN0120,232,207,295,212
TKN0121,142,135,152,139
TKN0122,110,103,118,110
TKN0123,116,113,118,116
TKN0124,92,86,95,92
TKN0126,135,126,147,130
TKN0127,120,113,130,117
TKN0128,111,96,120,111
TKN0129,104,98,115,102
TKN0130,188,181,192,189
TKN0131,185,164,200,190
TKN0132,187,130,211,194
TKN0133,109,105,113,108
TKN0134,116,106,128,114
Tkn0134,111,111,111,111
Tkn0135,105,101,110,104
TKN0135,113,113,113,113
TKN0136,177,166,191,172
TKN0137,118,98,159,108
TKN0138,188,153,218,190
TKN0139,112,105,129,108
TKN0140,115,96,127,115
TKN0141,132,98,201,115
TKN0142,120,105,126,124
TKN0143,120,115,125,120
TKN0144,148,97,178,169
TKN0145,141,113,169,141
TKN0146,110,103,116,110
TKN0147,109,98,120,109
TKN0148,119,105,176,105
TKN0149,194,151,227,200
TKN0150,160,109,195,159
TKN0151,110,101,119,109
TKN0152,146,114,227,120
TKN0153,202,191,212,202
TKN0154,203,158,291,161
TKN0155,193,165,221,193
TKN0156,158,126,273,129
TKN0157,122,115,129,123
TKN0201,86,78,91,87
TKN0202,102,86,114,105
TKN0203,84,76,95,81
TKN0204,60,60,61,60
TKN0205,99,91,106,100
TKN0206,198,141,236,207
TKN0207,101,94,107,101
TKN0208,143,130,163,138
TKN0210,76,66,83,76
TKN0211,218,207,232,218
TKN0212,138,102,204,132
TKN0213,87,75,98,88
TKN0214,101,87,113,104
TKN0215,192,135,256,183
TKN0216,235,233,238,233
TKN0217,108,94,142,101
TKN0218,98,66,142,94
TKN0219,124,106,188,110
TKN0221,141,96,192,138
TKN0222,104,91,113,106
TKN0223,143,101,195,128
TKN0224,94,84,102,96
TKN0225,89,80,97,90
TKN0226,156,141,185,149
TKN0227,148,108,198,156
TKN0228,138,75,168,148
TKN0229,144,87,233,146
TKN0230,102,84,133,100
TKN0231,89,71,113,89
TKN0232,97,85,107,101
TKN0233,314,290,378,304
TKN0234,104,57,151,114
TKN0235,104,98,114,102
TKN0236,79,59,94,80
TKN0237,104,89,121,102
TKN0238,166,68,222,176
